"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":1413},{""page_index"":1,""viewing_time"":2592}]","4006","instructions","0","4006","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","5123","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4872","audio-keyboard-response","2","10279","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","22720","audio-keyboard-response","3","33270","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1491","audio-keyboard-response","4","35030","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1051","audio-keyboard-response","5","36342","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","891","audio-keyboard-response","6","37510","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1040","audio-keyboard-response","7","38822","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","909","audio-keyboard-response","8","40006","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","41273","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","811","audio-keyboard-response","10","42374","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1141","audio-keyboard-response","11","43781","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1240","audio-keyboard-response","12","45302","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","880","audio-keyboard-response","13","46453","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","720","audio-keyboard-response","14","47445","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","960","audio-keyboard-response","15","48677","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","680","audio-keyboard-response","16","49622","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1269","audio-keyboard-response","17","51174","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","20804","html-keyboard-response","18","72229","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":3293}]","3293","instructions","19","76037","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","77164","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1091","audio-keyboard-response","21","78549","0.0-3.0-1.0","../audio/69-1-fem.mp3"," ","","A","","","",""
"","1229","audio-keyboard-response","22","80053","0.0-3.0-1.1","../audio/69-2-fem.mp3"," ","","loja","","","",""
"","1251","audio-keyboard-response","23","81573","0.0-3.0-1.2","../audio/69-3-fem.mp3"," ","","recebeu","","","",""
"","1632","audio-keyboard-response","24","83477","0.0-3.0-1.3","../audio/69-4-fem.mp3"," ","","uma","","","",""
"","1669","audio-keyboard-response","25","85413","0.0-3.0-1.4","../audio/69-5-fem.mp3"," ","","poltrona","","","",""
"","1040","audio-keyboard-response","26","86725","0.0-3.0-1.5","../audio/69-6-fem.mp3"," ","","de","","","",""
