"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":7317}]","7317","instructions","0","7318","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","7944","0.0-1.0-0.0","+","null","","","","","",""
"","39917","html-keyboard-response","2","47861","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","48362","0.0-1.0-0.1","+","null","","","","","",""
"","13467","html-keyboard-response","4","61829","0.0-1.0-1.1","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","62332","0.0-1.0-0.2","+","null","","","","","",""
"","2680","html-keyboard-response","6","65013","0.0-1.0-1.2","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","65514","0.0-1.0-0.3","+","null","","","","","",""
"","2202","html-keyboard-response","8","67717","0.0-1.0-1.3","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","68218","0.0-1.0-0.4","+","null","","","","","",""
"","6618","html-keyboard-response","10","74837","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","75339","0.0-1.0-0.5","+","null","","","","","",""
"","2282","html-keyboard-response","12","77621","0.0-1.0-1.5","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","78122","0.0-1.0-0.6","+","null","","","","","",""
"","2411","html-keyboard-response","14","80533","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":8793}]","8793","instructions","15","89326","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","89929","0.0-3.0-0.0","+","null","","","","","",""
"","3612","html-keyboard-response","17","93541","0.0-3.0-1.0","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","18","94042","0.0-3.0-0.1","+","null","","","","","",""
"","1131","html-keyboard-response","19","95174","0.0-3.0-1.1","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","20","95674","0.0-3.0-0.2","+","null","","","","","",""
"","2122","html-keyboard-response","21","97797","0.0-3.0-1.2","atitro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","98303","0.0-3.0-0.3","+","null","","","","","",""
"","2166","html-keyboard-response","23","100470","0.0-3.0-1.3","extravagante","s","a","cog","word","S","exp","12"
"","null","html-keyboard-response","24","100976","0.0-3.0-0.4","+","null","","","","","",""
"","2309","html-keyboard-response","25","103285","0.0-3.0-1.4","bibarconato","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","103800","0.0-3.0-0.5","+","null","","","","","",""
"","1117","html-keyboard-response","27","104917","0.0-3.0-1.5","revear","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","105418","0.0-3.0-0.6","+","null","","","","","",""
"","1307","html-keyboard-response","29","106725","0.0-3.0-1.6","cirado","s","null","noncog","pseudo","N","exp","null"
