"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":4646}]","4646","instructions","0","4647","0.0-0.0","",""
"","14654","survey-text","1","19416","0.0-1.0","{""age"":""33 ANOS""}",""
"","5571","survey-multi-choice","2","25103","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","8340","survey-multi-choice","3","33552","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","9353","survey-multi-choice","4","43007","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","9658","survey-multi-choice","5","52767","0.0-5.0","{""father_schooling"":""Ensino Médio completo""}","[0]"
"","560219","survey-html-form","6","613085","0.0-6.0","{""language_0"":""KREYOL"",""listening_0"":""1 ANO"",""speaking_0"":""2 ANOS"",""reading_0"":""3 ANOS"",""writing_0"":""4 ANO"",""language_1"":""FRANCÊS"",""listening_1"":""1 ANO"",""speaking_1"":""2ANO"",""reading_1"":""3 ANO"",""writing_1"":""4 ANO"",""language_2"":""iNGLES"",""listening_2"":""13"",""speaking_2"":""14"",""reading_2"":""14"",""writing_2"":""15"",""language_3"":""PORTUGES"",""listening_3"":""24"",""speaking_3"":""24"",""reading_3"":""25"",""writing_3"":""25""}",""
"","200681","survey-html-form","7","813867","0.0-7.0","{""language_3"":""PORTUGES"",""listening_3"":""2"",""speaking_3"":""2"",""reading_3"":""2"",""writing_3"":""2"",""language_1"":""FRANCES"",""listening_1"":""1"",""speaking_1"":""1"",""reading_1"":""3"",""writing_1"":""5"",""language_2"":""INGLES"",""listening_2"":""2"",""speaking_2"":""2"",""reading_2"":""2"",""writing_2"":""2""}",""
"","6257","survey-text","8","820227","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","8482","survey-text","9","828811","0.0-9.0","{""country_of_residence"":""BRESIL""}",""
"","152633","survey-html-form","10","981546","0.0-10.0","{""country_0"":""BRESIL"",""duration_0"":""1 "",""language_0"":""PORTUGUES"",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","161234","survey-html-form","11","1142881","0.0-11.0","{""language_0"":""KREYOL"",""context_0"":""1"",""language_1"":""FRANCES"",""context_1"":""2"",""language_2"":""ANGLAIS"",""context_2"":""2"",""language_3"":""PORTUGUES"",""context_3"":""1""}",""
