"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":37111},{""page_index"":1,""viewing_time"":22896}]","60008","instructions","0","60009","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","61113","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3086","html-keyboard-response","2","64451","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","2016","html-keyboard-response","3","66721","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1644","html-keyboard-response","4","68617","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1236","html-keyboard-response","5","70105","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","892","html-keyboard-response","6","71249","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1277","html-keyboard-response","7","72777","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","1028","html-keyboard-response","8","74057","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","75308","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6328","html-keyboard-response","10","81889","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","4604","html-keyboard-response","11","86744","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","2156","html-keyboard-response","12","89153","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","4197","html-keyboard-response","13","93602","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","1059","html-keyboard-response","14","94913","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","1421","html-keyboard-response","15","96585","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","1141","html-keyboard-response","16","97977","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","3004","html-keyboard-response","17","101233","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","19829","html-keyboard-response","18","121314","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":32793}]","32793","instructions","19","154608","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","155711","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2270","html-keyboard-response","21","158233","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","2429","html-keyboard-response","22","160913","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">força</span>"," ","","exp-sent","força","","",""
"","1461","html-keyboard-response","23","162625","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">d'água</span>"," ","","exp-sent","d'água","","",""
"","1885","html-keyboard-response","24","164761","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","2852","html-keyboard-response","25","167865","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">normal</span>"," ","","exp-sent","normal","","",""
"","1645","html-keyboard-response","26","169761","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">naquele</span>"," ","","exp-sent","naquele","","",""
"","4396","html-keyboard-response","27","174408","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","28","175660","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","98","html-keyboard-response","29","176009","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","3452","html-keyboard-response","30","179713","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">médica</span>"," ","","exp-sent","médica","","",""
"","1547","html-keyboard-response","31","181513","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">ofereceu</span>"," ","","exp-sent","ofereceu","","",""
"","1300","html-keyboard-response","32","183064","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1829","html-keyboard-response","33","185144","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">pomada</span>"," ","","exp-sent","pomada","","",""
"","3301","html-keyboard-response","34","188697","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","708","html-keyboard-response","35","189656","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1668","html-keyboard-response","36","191576","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">avô.</span>"," ","","exp-sent","avô.","","",""
"","null","html-keyboard-response","37","192828","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1953","html-keyboard-response","38","195033","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","1797","html-keyboard-response","39","197080","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">conversou</span>"," ","","exp-sent","conversou","","",""
"","781","html-keyboard-response","40","198113","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","892","html-keyboard-response","41","199257","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1884","html-keyboard-response","42","201392","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">patrão</span>"," ","","exp-sent","patrão","","",""
"","1141","html-keyboard-response","43","202784","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","565","html-keyboard-response","44","203600","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","797","html-keyboard-response","45","204648","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">tarde.</span>"," ","","exp-sent","tarde.","","",""
"","null","html-keyboard-response","46","205900","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3215","html-keyboard-response","47","209369","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">Algumas</span>"," ","","exp-sent","Algumas","","",""
"","1092","html-keyboard-response","48","210712","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">pessoas</span>"," ","","exp-sent","pessoas","","",""
"","1740","html-keyboard-response","49","212704","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">acreditam</span>"," ","","exp-sent","acreditam","","",""
"","884","html-keyboard-response","50","213840","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">em</span>"," ","","exp-sent","em","","",""
"","7780","html-keyboard-response","51","221872","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">espíritos</span>"," ","","exp-sent","espíritos","","",""
"","652","html-keyboard-response","52","222776","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","629","html-keyboard-response","53","223656","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">em</span>"," ","","exp-sent","em","","",""
"","995","html-keyboard-response","54","224904","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">outras</span>"," ","","exp-sent","outras","","",""
"","1605","html-keyboard-response","55","226760","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">vidas.</span>"," ","","exp-sent","vidas.","","",""
"","null","html-keyboard-response","56","228013","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6248","html-keyboard-response","57","234512","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">Ela</span>"," ","","exp-sent","Ela","","",""
"","940","html-keyboard-response","58","235704","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">gosta</span>"," ","","exp-sent","gosta","","",""
"","637","html-keyboard-response","59","236592","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1788","html-keyboard-response","60","238632","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">estudar</span>"," ","","exp-sent","estudar","","",""
"","2468","html-keyboard-response","61","241352","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">matemática</span>"," ","","exp-sent","matemática","","",""
"","781","html-keyboard-response","62","242384","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","1845","html-keyboard-response","63","244480","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">colegas.</span>"," ","","comp","colegas.","","",""
"","10460","html-keyboard-response","64","255192","0.0-3.0-2.38-0.38","<span style=""font-size:30px; font-family: monospace"">Ela gosta de estudar física?</span>","n","","comp","","Ela gosta de estudar física?","não","false"
"","null","html-keyboard-response","65","256694","0.0-3.0-0.39-0.39","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2190","html-keyboard-response","66","259136","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","1933","html-keyboard-response","67","261320","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">texto</span>"," ","","exp-sent","texto","","",""
"","5645","html-keyboard-response","68","267216","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">trazia</span>"," ","","exp-sent","trazia","","",""
"","764","html-keyboard-response","69","268232","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","2372","html-keyboard-response","70","270856","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">argumento</span>"," ","","exp-sent","argumento","","",""
"","2133","html-keyboard-response","71","273240","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">central</span>"," ","","exp-sent","central","","",""
"","877","html-keyboard-response","72","274368","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","5460","html-keyboard-response","73","280080","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2509","html-keyboard-response","74","282840","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">conversa.</span>"," ","","exp-sent","conversa.","","",""
"","null","html-keyboard-response","75","284092","0.0-3.0-0.48-0.48","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3008","html-keyboard-response","76","287352","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">Ontem</span>"," ","","exp-sent","Ontem","","",""
"","756","html-keyboard-response","77","288360","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1717","html-keyboard-response","78","290328","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">temperatura</span>"," ","","exp-sent","temperatura","","",""
"","1004","html-keyboard-response","79","291584","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","6692","html-keyboard-response","80","298528","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">amena</span>"," ","","exp-sent","amena","","",""
"","1061","html-keyboard-response","81","299840","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","517","html-keyboard-response","82","300608","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1396","html-keyboard-response","83","302256","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","84","303508","0.0-3.0-0.56-0.56","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5681","html-keyboard-response","85","309440","0.0-3.0-1.56","<span style=""font-size:30px; font-family: monospace"">Havia</span>"," ","","exp-sent","Havia","","",""
"","773","html-keyboard-response","86","310464","0.0-3.0-1.57","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1709","html-keyboard-response","87","312424","0.0-3.0-1.58","<span style=""font-size:30px; font-family: monospace"">machucado</span>"," ","","exp-sent","machucado","","",""
"","628","html-keyboard-response","88","313304","0.0-3.0-1.59","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","1356","html-keyboard-response","89","314912","0.0-3.0-1.60","<span style=""font-size:30px; font-family: monospace"">dedo</span>"," ","","exp-sent","dedo","","",""
"","689","html-keyboard-response","90","315864","0.0-3.0-1.61","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","2037","html-keyboard-response","91","318152","0.0-3.0-1.62","<span style=""font-size:30px; font-family: monospace"">criança.</span>"," ","","exp-sent","criança.","","",""
"","null","html-keyboard-response","92","319404","0.0-3.0-0.63-0.63","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","777","html-keyboard-response","93","320432","0.0-3.0-1.63","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","2620","html-keyboard-response","94","323304","0.0-3.0-1.64","<span style=""font-size:30px; font-family: monospace"">borboleta</span>"," ","","exp-sent","borboleta","","",""
"","1109","html-keyboard-response","95","324664","0.0-3.0-1.65","<span style=""font-size:30px; font-family: monospace"">pousou</span>"," ","","exp-sent","pousou","","",""
"","461","html-keyboard-response","96","325376","0.0-3.0-1.66","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","957","html-keyboard-response","97","326584","0.0-3.0-1.67","<span style=""font-size:30px; font-family: monospace"">ombro</span>"," ","","exp-sent","ombro","","",""
"","1581","html-keyboard-response","98","328416","0.0-3.0-1.68","<span style=""font-size:30px; font-family: monospace"">daquela</span>"," ","","exp-sent","daquela","","",""
"","3741","html-keyboard-response","99","332408","0.0-3.0-1.69","<span style=""font-size:30px; font-family: monospace"">moça.</span>"," ","","exp-sent","moça.","","",""
"","null","html-keyboard-response","100","333660","0.0-3.0-0.70-0.70","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1169","html-keyboard-response","101","335080","0.0-3.0-1.70","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","884","html-keyboard-response","102","336216","0.0-3.0-1.71","<span style=""font-size:30px; font-family: monospace"">quero</span>"," ","","exp-sent","quero","","",""
"","573","html-keyboard-response","103","337040","0.0-3.0-1.72","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","4917","html-keyboard-response","104","342208","0.0-3.0-1.73","<span style=""font-size:30px; font-family: monospace"">namorado</span>"," ","","exp-sent","namorado","","",""
"","1989","html-keyboard-response","105","344448","0.0-3.0-1.74","<span style=""font-size:30px; font-family: monospace"">honesto</span>"," ","","exp-sent","honesto","","",""
"","571","html-keyboard-response","106","345272","0.0-3.0-1.75","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","1428","html-keyboard-response","107","346952","0.0-3.0-1.76","<span style=""font-size:30px; font-family: monospace"">compreensivo.</span>"," ","","comp","compreensivo.","","",""
"","50820","html-keyboard-response","108","398024","0.0-3.0-2.76-0.76","<span style=""font-size:30px; font-family: monospace"">Eu quero um namorado honesto?</span>","s","","comp","","Eu quero um namorado honesto?","sim","false"
"","null","html-keyboard-response","109","399526","0.0-3.0-0.77-0.77","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","710","html-keyboard-response","110","400488","0.0-3.0-1.77","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1580","html-keyboard-response","111","402320","0.0-3.0-1.78","<span style=""font-size:30px; font-family: monospace"">motorista</span>"," ","","exp-sent","motorista","","",""
"","578","html-keyboard-response","112","403152","0.0-3.0-1.79","<span style=""font-size:30px; font-family: monospace"">fez</span>"," ","","exp-sent","fez","","",""
"","619","html-keyboard-response","113","404024","0.0-3.0-1.80","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","2132","html-keyboard-response","114","406408","0.0-3.0-1.81","<span style=""font-size:30px; font-family: monospace"">retorno</span>"," ","","exp-sent","retorno","","",""
"","1356","html-keyboard-response","115","408016","0.0-3.0-1.82","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","1245","html-keyboard-response","116","409512","0.0-3.0-1.83","<span style=""font-size:30px; font-family: monospace"">cuidado.</span>"," ","","exp-sent","cuidado.","","",""
"","null","html-keyboard-response","117","410765","0.0-3.0-0.84-0.84","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2544","html-keyboard-response","118","413560","0.0-3.0-1.84","<span style=""font-size:30px; font-family: monospace"">Contos</span>"," ","","exp-sent","Contos","","",""
"","565","html-keyboard-response","119","414376","0.0-3.0-1.85","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1500","html-keyboard-response","120","416127","0.0-3.0-1.86","<span style=""font-size:30px; font-family: monospace"">ação</span>"," ","","exp-sent","ação","","",""
"","629","html-keyboard-response","121","417008","0.0-3.0-1.87","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","3940","html-keyboard-response","122","421208","0.0-3.0-1.88","<span style=""font-size:30px; font-family: monospace"">chantagem</span>"," ","","exp-sent","chantagem","","",""
"","652","html-keyboard-response","123","422112","0.0-3.0-1.89","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","1340","html-keyboard-response","124","423704","0.0-3.0-1.90","<span style=""font-size:30px; font-family: monospace"">muita</span>"," ","","exp-sent","muita","","",""
"","11805","html-keyboard-response","125","435760","0.0-3.0-1.91","<span style=""font-size:30px; font-family: monospace"">luta.</span>"," ","","exp-sent","luta.","","",""
"","null","html-keyboard-response","126","437011","0.0-3.0-0.92-0.92","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","897","html-keyboard-response","127","438160","0.0-3.0-1.92","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","3437","html-keyboard-response","128","441848","0.0-3.0-1.93","<span style=""font-size:30px; font-family: monospace"">bisavó</span>"," ","","exp-sent","bisavó","","",""
"","1277","html-keyboard-response","129","443376","0.0-3.0-1.94","<span style=""font-size:30px; font-family: monospace"">recebeu</span>"," ","","exp-sent","recebeu","","",""
"","1012","html-keyboard-response","130","444640","0.0-3.0-1.95","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1437","html-keyboard-response","131","446328","0.0-3.0-1.96","<span style=""font-size:30px; font-family: monospace"">benefício</span>"," ","","exp-sent","benefício","","",""
"","1413","html-keyboard-response","132","447992","0.0-3.0-1.97","<span style=""font-size:30px; font-family: monospace"">temporário</span>"," ","","exp-sent","temporário","","",""
"","573","html-keyboard-response","133","448816","0.0-3.0-1.98","<span style=""font-size:30px; font-family: monospace"">do</span>"," ","","exp-sent","do","","",""
"","1044","html-keyboard-response","134","450112","0.0-3.0-1.99","<span style=""font-size:30px; font-family: monospace"">governo.</span>"," ","","exp-sent","governo.","","",""
"","null","html-keyboard-response","135","451376","0.0-3.0-0.100-0.100","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","965","html-keyboard-response","136","452592","0.0-3.0-1.100","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","957","html-keyboard-response","137","453800","0.0-3.0-1.101","<span style=""font-size:30px; font-family: monospace"">crianças</span>"," ","","exp-sent","crianças","","",""
"","1509","html-keyboard-response","138","455560","0.0-3.0-1.102","<span style=""font-size:30px; font-family: monospace"">brincaram</span>"," ","","exp-sent","brincaram","","",""
"","549","html-keyboard-response","139","456360","0.0-3.0-1.103","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","1868","html-keyboard-response","140","458480","0.0-3.0-1.104","<span style=""font-size:30px; font-family: monospace"">balanço</span>"," ","","exp-sent","balanço","","",""
"","1180","html-keyboard-response","141","459912","0.0-3.0-1.105","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1613","html-keyboard-response","142","461776","0.0-3.0-1.106","<span style=""font-size:30px; font-family: monospace"">tarde</span>"," ","","exp-sent","tarde","","",""
"","3861","html-keyboard-response","143","465888","0.0-3.0-1.107","<span style=""font-size:30px; font-family: monospace"">toda.</span>"," ","","exp-sent","toda.","","",""
"","null","html-keyboard-response","144","467140","0.0-3.0-0.108-0.108","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","897","html-keyboard-response","145","468288","0.0-3.0-1.108","<span style=""font-size:30px; font-family: monospace"">Ela</span>"," ","","exp-sent","Ela","","",""
"","1066","html-keyboard-response","146","469616","0.0-3.0-1.109","<span style=""font-size:30px; font-family: monospace"">gosta</span>"," ","","exp-sent","gosta","","",""
"","533","html-keyboard-response","147","470400","0.0-3.0-1.110","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1557","html-keyboard-response","148","472208","0.0-3.0-1.111","<span style=""font-size:30px; font-family: monospace"">comida</span>"," ","","exp-sent","comida","","",""
"","2373","html-keyboard-response","149","474832","0.0-3.0-1.112","<span style=""font-size:30px; font-family: monospace"">natural</span>"," ","","exp-sent","natural","","",""
"","580","html-keyboard-response","150","475664","0.0-3.0-1.113","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","1565","html-keyboard-response","151","477480","0.0-3.0-1.114","<span style=""font-size:30px; font-family: monospace"">almoço.</span>"," ","","comp","almoço.","","",""
