"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":1757},{""page_index"":1,""viewing_time"":1144}]","2901","instructions","0","2902","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","4030","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1688","audio-keyboard-response","2","6010","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","14189","audio-keyboard-response","3","20495","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","3720","audio-keyboard-response","4","24511","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","4011","audio-keyboard-response","5","28823","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1931","audio-keyboard-response","6","31055","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","8640","audio-keyboard-response","7","39991","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","2741","audio-keyboard-response","8","43039","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","44292","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","12419","audio-keyboard-response","10","57007","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2531","audio-keyboard-response","11","59831","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1139","audio-keyboard-response","12","61287","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","979","audio-keyboard-response","13","62567","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","651","audio-keyboard-response","14","63503","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1091","audio-keyboard-response","15","64871","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","680","audio-keyboard-response","16","65831","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2632","audio-keyboard-response","17","68759","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","12698","html-keyboard-response","18","81728","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":20079}]","20079","instructions","19","102319","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","103422","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2360","audio-keyboard-response","21","106104","0.0-3.0-1.0","../audio/24-1-fem.mp3"," ","","As","","","",""
"","1051","audio-keyboard-response","22","107471","0.0-3.0-1.1","../audio/24-2-fem.mp3"," ","","crianças","","","",""
"","661","audio-keyboard-response","23","108423","0.0-3.0-1.2","../audio/24-3-fem.mp3"," ","","vão","","","",""
"","1461","audio-keyboard-response","24","110175","0.0-3.0-1.3","../audio/24-4-fem.mp3"," ","","ao","","","",""
"","1611","audio-keyboard-response","25","112087","0.0-3.0-1.4","../audio/24-5-fem.mp3"," ","","cinema","","","",""
"","1219","audio-keyboard-response","26","113608","0.0-3.0-1.5","../audio/24-6-fem.mp3"," ","","mais","","","",""
"","1589","audio-keyboard-response","27","115487","0.0-3.0-1.6","../audio/24-7-fem.mp3"," ","","tarde.","","","",""
"","null","html-keyboard-response","28","116762","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2032","audio-keyboard-response","29","119103","0.0-3.0-1.7","../audio/23-1-masc.mp3"," ","","Português","","","",""
"","731","audio-keyboard-response","30","120127","0.0-3.0-1.8","../audio/23-2-masc.mp3"," ","","é","","","",""
