"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":30150}]","30150","instructions","0","30150","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","30755","0.0-1.0-0.0","+","null","","","","","",""
"","4659","html-keyboard-response","2","35417","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","35920","0.0-1.0-0.1","+","null","","","","","",""
"","1949","html-keyboard-response","4","37870","0.0-1.0-1.1","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","38372","0.0-1.0-0.2","+","null","","","","","",""
"","8016","html-keyboard-response","6","46390","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","46892","0.0-1.0-0.3","+","null","","","","","",""
"","3072","html-keyboard-response","8","49966","0.0-1.0-1.3","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","50469","0.0-1.0-0.4","+","null","","","","","",""
"","11488","html-keyboard-response","10","61959","0.0-1.0-1.4","oliva","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","62461","0.0-1.0-0.5","+","null","","","","","",""
"","2143","html-keyboard-response","12","64606","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","65109","0.0-1.0-0.6","+","null","","","","","",""
"","4791","html-keyboard-response","14","69902","0.0-1.0-1.6","daja","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":36382}]","36382","instructions","15","106286","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","106889","0.0-3.0-0.0","+","null","","","","","",""
"","5589","html-keyboard-response","17","112479","0.0-3.0-1.0","motre","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","112987","0.0-3.0-0.1","+","null","","","","","",""
"","5732","html-keyboard-response","19","118720","0.0-3.0-1.1","suipestar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","119221","0.0-3.0-0.2","+","null","","","","","",""
"","2328","html-keyboard-response","21","121551","0.0-3.0-1.2","delirar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","22","122060","0.0-3.0-0.3","+","null","","","","","",""
"","2593","html-keyboard-response","23","124655","0.0-3.0-1.3","protas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","125157","0.0-3.0-0.4","+","null","","","","","",""
"","1457","html-keyboard-response","25","126615","0.0-3.0-1.4","grave","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","26","127121","0.0-3.0-0.5","+","null","","","","","",""
"","1365","html-keyboard-response","27","128487","0.0-3.0-1.5","trair","s","v","cog","word","S","exp","5"
"","null","html-keyboard-response","28","128988","0.0-3.0-0.6","+","null","","","","","",""
"","1665","html-keyboard-response","29","130655","0.0-3.0-1.6","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","30","131157","0.0-3.0-0.7","+","null","","","","","",""
"","1544","html-keyboard-response","31","132703","0.0-3.0-1.7","prantal","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","133205","0.0-3.0-0.8","+","null","","","","","",""
"","1232","html-keyboard-response","33","134439","0.0-3.0-1.8","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","34","134955","0.0-3.0-0.9","+","null","","","","","",""
"","2026","html-keyboard-response","35","136983","0.0-3.0-1.9","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","36","137484","0.0-3.0-0.10","+","null","","","","","",""
"","801","html-keyboard-response","37","138287","0.0-3.0-1.10","azul","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","38","138790","0.0-3.0-0.11","+","null","","","","","",""
"","3983","html-keyboard-response","39","142775","0.0-3.0-1.11","manais","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","143277","0.0-3.0-0.12","+","null","","","","","",""
"","1952","html-keyboard-response","41","145231","0.0-3.0-1.12","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","42","145733","0.0-3.0-0.13","+","null","","","","","",""
"","4016","html-keyboard-response","43","149751","0.0-3.0-1.13","enedro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","150253","0.0-3.0-0.14","+","null","","","","","",""
"","1137","html-keyboard-response","45","151391","0.0-3.0-1.14","fogão","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","46","151893","0.0-3.0-0.15","+","null","","","","","",""
"","1313","html-keyboard-response","47","153207","0.0-3.0-1.15","pimada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","153709","0.0-3.0-0.16","+","null","","","","","",""
"","689","html-keyboard-response","49","154399","0.0-3.0-1.16","mal","s","a","cog","word","S","exp","3"
"","null","html-keyboard-response","50","154902","0.0-3.0-0.17","+","null","","","","","",""
"","1487","html-keyboard-response","51","156391","0.0-3.0-1.17","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","52","156893","0.0-3.0-0.18","+","null","","","","","",""
"","2497","html-keyboard-response","53","159391","0.0-3.0-1.18","faínas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","159894","0.0-3.0-0.19","+","null","","","","","",""
"","4256","html-keyboard-response","55","164152","0.0-3.0-1.19","costra","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","164667","0.0-3.0-0.20","+","null","","","","","",""
"","2227","html-keyboard-response","57","166895","0.0-3.0-1.20","francês","s","a","cog","word","S","exp","7"
"","null","html-keyboard-response","58","167397","0.0-3.0-0.21","+","null","","","","","",""
"","3264","html-keyboard-response","59","170663","0.0-3.0-1.21","ênclio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","171165","0.0-3.0-0.22","+","null","","","","","",""
"","1105","html-keyboard-response","61","172271","0.0-3.0-1.22","jantar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","62","172773","0.0-3.0-0.23","+","null","","","","","",""
"","4274","html-keyboard-response","63","177047","0.0-3.0-1.23","alpica","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","177550","0.0-3.0-0.24","+","null","","","","","",""
"","6184","html-keyboard-response","65","183735","0.0-3.0-1.24","burtos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","184237","0.0-3.0-0.25","+","null","","","","","",""
"","1585","html-keyboard-response","67","185823","0.0-3.0-1.25","sábio","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","68","186325","0.0-3.0-0.26","+","null","","","","","",""
"","1041","html-keyboard-response","69","187367","0.0-3.0-1.26","civil","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","70","187869","0.0-3.0-0.27","+","null","","","","","",""
"","1504","html-keyboard-response","71","189375","0.0-3.0-1.27","nacional","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","72","189877","0.0-3.0-0.28","+","null","","","","","",""
"","1521","html-keyboard-response","73","191399","0.0-3.0-1.28","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","74","191901","0.0-3.0-0.29","+","null","","","","","",""
"","2049","html-keyboard-response","75","193951","0.0-3.0-1.29","macras","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","76","194466","0.0-3.0-0.30","+","null","","","","","",""
"","6740","html-keyboard-response","77","201207","0.0-3.0-1.30","uchães","n","null","noncog","pseudo","N","exp","null"
