"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":19700}]","19701","instructions","0","19703","0.0-0.0","","","",""
"","null","html-keyboard-response","1","20316","0.0-1.0-0.0","+","null","",""
"","23491","audio-keyboard-response","2","43858","0.0-1.0-1.0","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","3","44375","0.0-1.0-0.1","+","null","",""
"","4360","audio-keyboard-response","4","48799","0.0-1.0-1.1","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","5","49306","0.0-1.0-0.2","+","null","",""
"","3651","audio-keyboard-response","6","53035","0.0-1.0-1.2","../audio/teste-vocab--103.mp3","s","utensílio","istansil"
"","null","html-keyboard-response","7","53541","0.0-1.0-0.3","+","null","",""
"","2131","audio-keyboard-response","8","55747","0.0-1.0-1.3","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","9","56261","0.0-1.0-0.4","+","null","",""
"","4901","audio-keyboard-response","10","61235","0.0-1.0-1.4","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","11","61741","0.0-1.0-0.5","+","null","",""
"","1709","audio-keyboard-response","12","63507","0.0-1.0-1.5","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","13","64011","0.0-1.0-0.6","+","null","",""
"","2549","audio-keyboard-response","14","66627","0.0-1.0-1.6","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","15","67131","0.0-1.0-0.7","+","null","",""
"","2451","audio-keyboard-response","16","69635","0.0-1.0-1.7","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","17","70151","0.0-1.0-0.8","+","null","",""
"","1901","audio-keyboard-response","18","72107","0.0-1.0-1.8","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","19","72611","0.0-1.0-0.9","+","null","",""
"","2232","audio-keyboard-response","20","74915","0.0-1.0-1.9","../audio/teste-vocab--109.mp3","s","anfíbio","anfibyen"
"","null","html-keyboard-response","21","75431","0.0-1.0-0.10","+","null","",""
"","3469","audio-keyboard-response","22","78963","0.0-1.0-1.10","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","23","79481","0.0-1.0-0.11","+","null","",""
"","1989","audio-keyboard-response","24","81523","0.0-1.0-1.11","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","25","82030","0.0-1.0-0.12","+","null","",""
"","1811","audio-keyboard-response","26","83899","0.0-1.0-1.12","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","27","84410","0.0-1.0-0.13","+","null","",""
"","1309","audio-keyboard-response","28","85779","0.0-1.0-1.13","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","29","86280","0.0-1.0-0.14","+","null","",""
"","2440","audio-keyboard-response","30","88763","0.0-1.0-1.14","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","31","89271","0.0-1.0-0.15","+","null","",""
"","2459","audio-keyboard-response","32","91803","0.0-1.0-1.15","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","33","92311","0.0-1.0-0.16","+","null","",""
"","1901","audio-keyboard-response","34","94275","0.0-1.0-1.16","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","35","94780","0.0-1.0-0.17","+","null","",""
"","1389","audio-keyboard-response","36","96227","0.0-1.0-1.17","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","37","96731","0.0-1.0-0.18","+","null","",""
"","1469","audio-keyboard-response","38","98251","0.0-1.0-1.18","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","39","98760","0.0-1.0-0.19","+","null","",""
"","6968","audio-keyboard-response","40","105811","0.0-1.0-1.19","../audio/teste-vocab--80.mp3","n","binóculo","longvi"
"","null","html-keyboard-response","41","106331","0.0-1.0-0.20","+","null","",""
"","1968","audio-keyboard-response","42","108371","0.0-1.0-1.20","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","43","108880","0.0-1.0-0.21","+","null","",""
"","2189","audio-keyboard-response","44","111139","0.0-1.0-1.21","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","45","111650","0.0-1.0-0.22","+","null","",""
"","2240","audio-keyboard-response","46","113945","0.0-1.0-1.22","../audio/teste-vocab--34.mp3","s","tronco","twon"
"","null","html-keyboard-response","47","114449","0.0-1.0-0.23","+","null","",""
"","5179","audio-keyboard-response","48","119681","0.0-1.0-1.23","../audio/teste-vocab--105.mp3","n","cítrico","sitrik"
"","null","html-keyboard-response","49","120189","0.0-1.0-0.24","+","null","",""
"","1632","audio-keyboard-response","50","121873","0.0-1.0-1.24","../audio/teste-vocab--21.mp3","s","baleia","balèn"
"","null","html-keyboard-response","51","122379","0.0-1.0-0.25","+","null","",""
"","1749","audio-keyboard-response","52","124185","0.0-1.0-1.25","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","53","124699","0.0-1.0-0.26","+","null","",""
"","1800","audio-keyboard-response","54","126569","0.0-1.0-1.26","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","55","127079","0.0-1.0-0.27","+","null","",""
"","2051","audio-keyboard-response","56","129185","0.0-1.0-1.27","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","57","129699","0.0-1.0-0.28","+","null","",""
"","1619","audio-keyboard-response","58","131370","0.0-1.0-1.28","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","59","131879","0.0-1.0-0.29","+","null","",""
"","1469","audio-keyboard-response","60","133401","0.0-1.0-1.29","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","61","133909","0.0-1.0-0.30","+","null","",""
"","5291","audio-keyboard-response","62","139257","0.0-1.0-1.30","../audio/teste-vocab--107.mp3","n","elo","emay"
"","null","html-keyboard-response","63","139771","0.0-1.0-0.31","+","null","",""
"","1672","audio-keyboard-response","64","141473","0.0-1.0-1.31","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","65","141975","0.0-1.0-0.32","+","null","",""
"","1739","audio-keyboard-response","66","143777","0.0-1.0-1.32","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","67","144279","0.0-1.0-0.33","+","null","",""
"","2320","audio-keyboard-response","68","146665","0.0-1.0-1.33","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","69","147179","0.0-1.0-0.34","+","null","",""
"","2448","audio-keyboard-response","70","149681","0.0-1.0-1.34","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","71","150199","0.0-1.0-0.35","+","null","",""
"","1941","audio-keyboard-response","72","152193","0.0-1.0-1.35","../audio/teste-vocab--95.mp3","s","submergir","plonje"
"","null","html-keyboard-response","73","152695","0.0-1.0-0.36","+","null","",""
"","1432","audio-keyboard-response","74","154193","0.0-1.0-1.36","../audio/teste-vocab--68.mp3","s","surpreendido","sezi"
"","null","html-keyboard-response","75","154699","0.0-1.0-0.37","+","null","",""
"","2109","audio-keyboard-response","76","156865","0.0-1.0-1.37","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","77","157379","0.0-1.0-0.38","+","null","",""
"","1789","audio-keyboard-response","78","159225","0.0-1.0-1.38","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","79","159729","0.0-1.0-0.39","+","null","",""
"","1571","audio-keyboard-response","80","161377","0.0-1.0-1.39","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","81","161879","0.0-1.0-0.40","+","null","",""
"","1560","audio-keyboard-response","82","163497","0.0-1.0-1.40","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","83","164009","0.0-1.0-0.41","+","null","",""
"","1629","audio-keyboard-response","84","165697","0.0-1.0-1.41","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","85","166199","0.0-1.0-0.42","+","null","",""
"","2760","audio-keyboard-response","86","169033","0.0-1.0-1.42","../audio/teste-vocab--12.mp3","s","jaula","kaj"
"","null","html-keyboard-response","87","169539","0.0-1.0-0.43","+","null","",""
"","2189","audio-keyboard-response","88","171785","0.0-1.0-1.43","../audio/teste-vocab--104.mp3","s","ira","pwal"
"","null","html-keyboard-response","89","172299","0.0-1.0-0.44","+","null","",""
"","1589","audio-keyboard-response","90","173937","0.0-1.0-1.44","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","91","174445","0.0-1.0-0.45","+","null","",""
"","12331","audio-keyboard-response","92","186839","0.0-1.0-1.45","../audio/teste-vocab--61.mp3","n","iluminação","iliminasyon"
"","null","html-keyboard-response","93","187345","0.0-1.0-0.46","+","null","",""
"","2640","audio-keyboard-response","94","190039","0.0-1.0-1.46","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","95","190544","0.0-1.0-0.47","+","null","",""
"","1821","audio-keyboard-response","96","192430","0.0-1.0-1.47","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","97","192944","0.0-1.0-0.48","+","null","",""
"","1491","audio-keyboard-response","98","194463","0.0-1.0-1.48","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","99","194985","0.0-1.0-0.49","+","null","",""
"","1859","audio-keyboard-response","100","196903","0.0-1.0-1.49","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","101","197415","0.0-1.0-0.50","+","null","",""
"","1259","audio-keyboard-response","102","198735","0.0-1.0-1.50","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","103","199255","0.0-1.0-0.51","+","null","",""
"","7259","audio-keyboard-response","104","206567","0.0-1.0-1.51","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","105","207075","0.0-1.0-0.52","+","null","",""
"","2021","audio-keyboard-response","106","209159","0.0-1.0-1.52","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","107","209665","0.0-1.0-0.53","+","null","",""
"","1872","audio-keyboard-response","108","211599","0.0-1.0-1.53","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","109","212105","0.0-1.0-0.54","+","null","",""
"","2261","audio-keyboard-response","110","214431","0.0-1.0-1.54","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","111","214935","0.0-1.0-0.55","+","null","",""
"","2168","audio-keyboard-response","112","217175","0.0-1.0-1.55","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","113","217684","0.0-1.0-0.56","+","null","",""
"","1709","audio-keyboard-response","114","219447","0.0-1.0-1.56","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","115","219955","0.0-1.0-0.57","+","null","",""
"","1560","audio-keyboard-response","116","221567","0.0-1.0-1.57","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","117","222075","0.0-1.0-0.58","+","null","",""
"","1989","audio-keyboard-response","118","224127","0.0-1.0-1.58","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","119","224635","0.0-1.0-0.59","+","null","",""
"","3051","audio-keyboard-response","120","227743","0.0-1.0-1.59","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","121","228255","0.0-1.0-0.60","+","null","",""
"","7960","audio-keyboard-response","122","236284","0.0-1.0-1.60","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","123","236802","0.0-1.0-0.61","+","null","",""
"","3029","audio-keyboard-response","124","239884","0.0-1.0-1.61","../audio/teste-vocab--73.mp3","s","ângulo","ang"
"","null","html-keyboard-response","125","240402","0.0-1.0-0.62","+","null","",""
"","1581","audio-keyboard-response","126","242036","0.0-1.0-1.62","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","127","242552","0.0-1.0-0.63","+","null","",""
"","1960","audio-keyboard-response","128","244572","0.0-1.0-1.63","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","129","245082","0.0-1.0-0.64","+","null","",""
"","1819","audio-keyboard-response","130","246964","0.0-1.0-1.64","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","131","247478","0.0-1.0-0.65","+","null","",""
"","2640","audio-keyboard-response","132","250196","0.0-1.0-1.65","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","133","250712","0.0-1.0-0.66","+","null","",""
"","1320","audio-keyboard-response","134","252084","0.0-1.0-1.66","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","135","252602","0.0-1.0-0.67","+","null","",""
"","1589","audio-keyboard-response","136","254252","0.0-1.0-1.67","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","137","254762","0.0-1.0-0.68","+","null","",""
"","2389","audio-keyboard-response","138","257204","0.0-1.0-1.68","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","139","257712","0.0-1.0-0.69","+","null","",""
"","1869","audio-keyboard-response","140","259644","0.0-1.0-1.69","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","141","260162","0.0-1.0-0.70","+","null","",""
"","1699","audio-keyboard-response","142","261924","0.0-1.0-1.70","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","143","262432","0.0-1.0-0.71","+","null","",""
"","1691","audio-keyboard-response","144","264188","0.0-1.0-1.71","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","145","264702","0.0-1.0-0.72","+","null","",""
"","1549","audio-keyboard-response","146","266308","0.0-1.0-1.72","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","147","266812","0.0-1.0-0.73","+","null","",""
"","1400","audio-keyboard-response","148","268268","0.0-1.0-1.73","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","149","268782","0.0-1.0-0.74","+","null","",""
