"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":4148}]","4149","instructions","0","4151","0.0-0.0","",""
"","29320","survey-text","1","33583","0.0-1.0","{""age"":""33""}",""
"","9968","survey-multi-choice","2","43655","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","17705","survey-multi-choice","3","61463","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","25800","survey-multi-choice","4","87366","0.0-4.0","{""mother_schooling"":""Outro""}","[0]"
"","11225","survey-multi-choice","5","98695","0.0-5.0","{""father_schooling"":""Outro""}","[0]"
"","398193","survey-html-form","6","496991","0.0-6.0","{""language_0"":""CRIOLO"",""listening_0"":""1"",""speaking_0"":""2"",""reading_0"":""4"",""writing_0"":""4"",""language_1"":""FRANCES"",""listening_1"":""4"",""speaking_1"":""5"",""reading_1"":""4"",""writing_1"":""4"",""language_2"":""ESPANHOL"",""listening_2"":""10"",""speaking_2"":""12"",""reading_2"":""12"",""writing_2"":""12"",""language_3"":""PORTUGUES"",""listening_3"":""24"",""speaking_3"":""24"",""reading_3"":""24"",""writing_3"":""24""}",""
"","783591","survey-html-form","7","1280685","0.0-7.0","{""language_3"":""PORTUGUES"",""listening_3"":""5MESES"",""speaking_3"":""1ANO"",""reading_3"":""5MESES"",""writing_3"":""MESES"",""language_1"":""FRANCES"",""listening_1"":""2ANOS"",""speaking_1"":""18MESES"",""reading_1"":""18MESES"",""writing_1"":""18MESES"",""language_2"":""ESPANHOL"",""listening_2"":""2ANOS"",""speaking_2"":""12MESES"",""reading_2"":""12MESES"",""writing_2"":""12MESES""}",""
"","11815","survey-text","8","1292604","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","20584","survey-text","9","1313291","0.0-9.0","{""country_of_residence"":""BRASIL""}",""
"","49705","survey-html-form","10","1363100","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","173705","survey-html-form","11","1536907","0.0-11.0","{""language_0"":""FRANCES"",""context_0"":""2"",""language_1"":""ESPANHOL"",""context_1"":""2"",""language_2"":""PORTUGUES"",""context_2"":""1E2"",""language_3"":"""",""context_3"":""""}",""
"","610575","survey-html-form","12","2147588","0.0-12.0","{""language_0"":""CRIOLO"",""home_0"":""2ANOS"",""friends_0"":""3ANOS"",""school_0"":""3ANO"",""work_0"":""15ANOS"",""computer_0"":""24ANOS"",""games_0"":""-"",""language_1"":""FRANCES"",""home_1"":""5ANOS"",""friends_1"":""5ANOS"",""school_1"":""5ANOS"",""work_1"":""18ANOS"",""computer_1"":""24ANOS"",""games_1"":""-"",""language_2"":""ESPANHOL"",""home_2"":""-"",""friends_2"":""-"",""school_2"":""10ANOS"",""work_2"":""-"",""computer_2"":""-"",""games_2"":""-"",""language_3"":""PORTUGUES"",""home_3"":""24ANOS"",""friends_3"":""24ANOS"",""school_3"":""25ANO"",""work_3"":""25ANOS"",""computer_3"":""24ANOS"",""games_3"":""-""}",""
"","31870","survey-likert","13","2179562","0.0-13.0","{""new_languages"":4}","[0]"
"","283936","survey-html-form","14","2463602","0.0-14.0","{""language_0"":""CRIOLO"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""FRANCES"",""listen_1"":""5"",""talk_1"":""4"",""read_1"":""6"",""write_1"":""5"",""language_2"":""ESPANHOL"",""listen_2"":""4"",""talk_2"":""3"",""read_2"":""3"",""write_2"":""3"",""language_3"":""PORTUGUES"",""listen_3"":""6"",""talk_3"":""6"",""read_3"":""6"",""write_3"":""5""}",""
"","343559","survey-html-form","15","2807265","0.0-15.0","{""language_0"":""CRIOLO"",""tv_0"":""-"",""radio_0"":""-"",""read_fun_0"":""1"",""read_work_0"":""-"",""write_0"":""-"",""social_nets_0"":""1"",""language_1"":""FRANCES"",""tv_1"":""-"",""radio_1"":""-"",""read_fun_1"":""1"",""read_work_1"":""-"",""write_1"":""-"",""social_nets_1"":""1"",""language_2"":""ESPANHOL"",""tv_2"":""-"",""radio_2"":""-"",""read_fun_2"":""-"",""read_work_2"":""-"",""write_2"":""-"",""social_nets_2"":""-"",""language_3"":""PORTUGUES"",""tv_3"":""3"",""radio_3"":""5"",""read_fun_3"":""6"",""read_work_3"":""1"",""write_3"":""1"",""social_nets_3"":""8""}",""
"","230839","survey-html-form","16","3038209","0.0-16.0","{""language_0"":""CRIOLO"",""family_0"":""2"",""friends_0"":""2"",""work_0"":""-"",""school_0"":""-"",""language_1"":""FR"",""family_1"":""2"",""friends_1"":""2"",""work_1"":""-"",""school_1"":""-"",""language_2"":""ESP"",""family_2"":""-"",""friends_2"":""-"",""work_2"":""-"",""school_2"":""-"",""language_3"":""POR"",""family_3"":""8"",""friends_3"":""10"",""work_3"":""10"",""school_3"":""2""}",""
"","244567","survey-html-form","17","3282879","0.0-17.0","{""language_0_0"":""POR"",""language_0_1"":""POR FR CR "",""language_0_2"":""POR FR CR"",""language_0_3"":""POR FR CR "",""language_1_0"":""POR"",""language_1_1"":""POR CR"",""language_1_2"":""POR CR FR"",""language_1_3"":""POR CR"",""language_2_0"":""-"",""language_2_1"":""-"",""language_2_2"":""-"",""language_2_3"":""-"",""language_3_0"":""POR"",""language_3_1"":""POR"",""language_3_2"":""POR"",""language_3_3"":""POR""}",""
"","265067","survey-html-form","18","3548055","0.0-18.0","{""language_2"":""ESP"",""think_2"":""1"",""selftalk_2"":""1"",""emotions_2"":""1"",""dream_2"":""1"",""math_2"":""1"",""remember_2"":""2"",""pray_2"":""1"",""language_1"":""FR"",""think_1"":""4"",""selftalk_1"":""3"",""emotions_1"":""2"",""dream_1"":""3"",""math_1"":""6"",""remember_1"":""5"",""pray_1"":""3"",""language_3"":""POR"",""think_3"":""7"",""selftalk_3"":""7"",""emotions_3"":""7"",""dream_3"":""7"",""math_3"":""6"",""remember_3"":""6"",""pray_3"":""7""}",""
"","29728","survey-multi-choice","19","3577886","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","110841","survey-text","20","3688847","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""TENHO PERDA DE AUDITIVA DO OUVIDO DIREITTO""}",""
"","194359","survey-text","21","3883310","0.0-21.0","{""additional_info"":""USO AS LINGUAS CONFORME AS PESSOAS OU ANBIENTE""}",""
