"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":132535}]","132535","instructions","0","132539","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","133160","0.0-1.0-0.0","+","null","","","","","",""
"","4963","html-keyboard-response","2","138127","0.0-1.0-1.0","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","138643","0.0-1.0-0.1","+","null","","","","","",""
"","4455","html-keyboard-response","4","143100","0.0-1.0-1.1","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","143603","0.0-1.0-0.2","+","null","","","","","",""
"","2303","html-keyboard-response","6","145906","0.0-1.0-1.2","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","146422","0.0-1.0-0.3","+","null","","","","","",""
"","2480","html-keyboard-response","8","148905","0.0-1.0-1.3","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","149414","0.0-1.0-0.4","+","null","","","","","",""
"","2347","html-keyboard-response","10","151763","0.0-1.0-1.4","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","152278","0.0-1.0-0.5","+","null","","","","","",""
"","2060","html-keyboard-response","12","154338","0.0-1.0-1.5","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","154842","0.0-1.0-0.6","+","null","","","","","",""
"","4711","html-keyboard-response","14","159555","0.0-1.0-1.6","calmaria","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":89317}]","89317","instructions","15","248873","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","249492","0.0-3.0-0.0","+","null","","","","","",""
"","1547","html-keyboard-response","17","251041","0.0-3.0-1.0","gruja","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","251556","0.0-3.0-0.1","+","null","","","","","",""
"","1520","html-keyboard-response","19","253077","0.0-3.0-1.1","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","20","253582","0.0-3.0-0.2","+","null","","","","","",""
"","1922","html-keyboard-response","21","255505","0.0-3.0-1.2","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","22","256022","0.0-3.0-0.3","+","null","","","","","",""
"","2582","html-keyboard-response","23","258606","0.0-3.0-1.3","manfa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","259113","0.0-3.0-0.4","+","null","","","","","",""
"","2518","html-keyboard-response","25","261632","0.0-3.0-1.4","selir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","262145","0.0-3.0-0.5","+","null","","","","","",""
"","1244","html-keyboard-response","27","263390","0.0-3.0-1.5","carro","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","28","263892","0.0-3.0-0.6","+","null","","","","","",""
"","2553","html-keyboard-response","29","266448","0.0-3.0-1.6","senareta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","266956","0.0-3.0-0.7","+","null","","","","","",""
"","2299","html-keyboard-response","31","269257","0.0-3.0-1.7","resmungar","n","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","32","269759","0.0-3.0-0.8","+","null","","","","","",""
"","2939","html-keyboard-response","33","272699","0.0-3.0-1.8","pneucania","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","273208","0.0-3.0-0.9","+","null","","","","","",""
"","1462","html-keyboard-response","35","274671","0.0-3.0-1.9","revista","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","36","275183","0.0-3.0-0.10","+","null","","","","","",""
"","1953","html-keyboard-response","37","277137","0.0-3.0-1.10","fusbão","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","277651","0.0-3.0-0.11","+","null","","","","","",""
"","2632","html-keyboard-response","39","280285","0.0-3.0-1.11","berquesa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","280799","0.0-3.0-0.12","+","null","","","","","",""
"","1597","html-keyboard-response","41","282398","0.0-3.0-1.12","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","42","282903","0.0-3.0-0.13","+","null","","","","","",""
"","1959","html-keyboard-response","43","284863","0.0-3.0-1.13","jastor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","285370","0.0-3.0-0.14","+","null","","","","","",""
"","1653","html-keyboard-response","45","287023","0.0-3.0-1.14","ilhure","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","287537","0.0-3.0-0.15","+","null","","","","","",""
"","1552","html-keyboard-response","47","289090","0.0-3.0-1.15","crolatário","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","289605","0.0-3.0-0.16","+","null","","","","","",""
"","1584","html-keyboard-response","49","291189","0.0-3.0-1.16","bandido","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","50","291693","0.0-3.0-0.17","+","null","","","","","",""
"","1863","html-keyboard-response","51","293557","0.0-3.0-1.17","oper","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","294070","0.0-3.0-0.18","+","null","","","","","",""
"","1095","html-keyboard-response","53","295165","0.0-3.0-1.18","ótimo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","54","295681","0.0-3.0-0.19","+","null","","","","","",""
"","1983","html-keyboard-response","55","297665","0.0-3.0-1.19","pantufa","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","56","298178","0.0-3.0-0.20","+","null","","","","","",""
"","2690","html-keyboard-response","57","300869","0.0-3.0-1.20","manais","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","301371","0.0-3.0-0.21","+","null","","","","","",""
"","3016","html-keyboard-response","59","304388","0.0-3.0-1.21","esprotiar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","304897","0.0-3.0-0.22","+","null","","","","","",""
