"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":1155},{""page_index"":1,""viewing_time"":687}]","1842","instructions","0","1845","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","2973","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6531","audio-keyboard-response","2","10276","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1491","audio-keyboard-response","3","12202","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1309","audio-keyboard-response","4","13879","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1069","audio-keyboard-response","5","15313","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","851","audio-keyboard-response","6","16518","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1491","audio-keyboard-response","7","18375","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1131","audio-keyboard-response","8","19911","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","21182","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","840","audio-keyboard-response","10","22490","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1240","audio-keyboard-response","11","24090","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1189","audio-keyboard-response","12","25662","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1000","audio-keyboard-response","13","27019","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","888","audio-keyboard-response","14","28259","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1051","audio-keyboard-response","15","29670","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","829","audio-keyboard-response","16","30863","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1032","audio-keyboard-response","17","32256","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","3510","html-keyboard-response","18","36027","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":5407}]","5407","instructions","19","41940","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","43067","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1139","audio-keyboard-response","21","44626","0.0-3.0-1.0","../audio/22-1-masc.mp3"," ","","Eu","","","",""
"","1109","audio-keyboard-response","22","46098","0.0-3.0-1.1","../audio/22-2-masc.mp3"," ","","detesto","","","",""
"","1051","audio-keyboard-response","23","47555","0.0-3.0-1.2","../audio/22-3-masc.mp3"," ","","fumaça","","","",""
"","861","audio-keyboard-response","24","48767","0.0-3.0-1.3","../audio/22-4-masc.mp3"," ","","de","","","",""
"","1181","audio-keyboard-response","25","50277","0.0-3.0-1.4","../audio/22-5-masc.mp3"," ","","cachimbo","","","",""
"","901","audio-keyboard-response","26","51534","0.0-3.0-1.5","../audio/22-6-masc.mp3"," ","","e","","","",""
"","851","audio-keyboard-response","27","52715","0.0-3.0-1.6","../audio/22-7-masc.mp3"," ","","de","","","",""
"","1061","audio-keyboard-response","28","54136","0.0-3.0-1.7","../audio/22-8-masc.mp3"," ","","cigarro.","","","",""
"","null","html-keyboard-response","29","55397","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1109","audio-keyboard-response","30","56924","0.0-3.0-1.8","../audio/24-1-fem.mp3"," ","","As","","","",""
"","960","audio-keyboard-response","31","58260","0.0-3.0-1.9","../audio/24-2-fem.mp3"," ","","crianças","","","",""
