"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":1884}]","1885","instructions","0","1888","0.0-0.0","","","",""
"","null","html-keyboard-response","1","2502","0.0-1.0-0.0","+","null","",""
"","3472","audio-keyboard-response","2","6470","0.0-1.0-1.0","../audio/teste-vocab--128.mp3","n","incisivo","ensisiv"
"","null","html-keyboard-response","3","6987","0.0-1.0-0.1","+","null","",""
"","3709","audio-keyboard-response","4","10938","0.0-1.0-1.1","../audio/teste-vocab--74.mp3","s","desilusão","dezilizyon"
"","null","html-keyboard-response","5","11453","0.0-1.0-0.2","+","null","",""
"","2531","audio-keyboard-response","6","14178","0.0-1.0-1.2","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","7","14682","0.0-1.0-0.3","+","null","",""
"","2040","audio-keyboard-response","8","16934","0.0-1.0-1.3","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","9","17449","0.0-1.0-0.4","+","null","",""
"","2539","audio-keyboard-response","10","20205","0.0-1.0-1.4","../audio/teste-vocab--34.mp3","s","tronco","twon"
"","null","html-keyboard-response","11","20718","0.0-1.0-0.5","+","null","",""
"","1880","audio-keyboard-response","12","22812","0.0-1.0-1.5","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","13","23317","0.0-1.0-0.6","+","null","",""
"","1971","audio-keyboard-response","14","25474","0.0-1.0-1.6","../audio/teste-vocab--12.mp3","n","jaula","kaj"
"","null","html-keyboard-response","15","25988","0.0-1.0-0.7","+","null","",""
"","2259","audio-keyboard-response","16","28454","0.0-1.0-1.7","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","17","28961","0.0-1.0-0.8","+","null","",""
"","2440","audio-keyboard-response","18","31596","0.0-1.0-1.8","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","19","32103","0.0-1.0-0.9","+","null","",""
"","2080","audio-keyboard-response","20","34402","0.0-1.0-1.9","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","21","34917","0.0-1.0-0.10","+","null","",""
"","1768","audio-keyboard-response","22","36881","0.0-1.0-1.10","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","23","37385","0.0-1.0-0.11","+","null","",""
"","2469","audio-keyboard-response","24","40064","0.0-1.0-1.11","../audio/teste-vocab--63.mp3","s","transparente","transparan"
"","null","html-keyboard-response","25","40582","0.0-1.0-0.12","+","null","",""
"","1960","audio-keyboard-response","26","42728","0.0-1.0-1.12","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","27","43246","0.0-1.0-0.13","+","null","",""
"","1979","audio-keyboard-response","28","45414","0.0-1.0-1.13","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","29","45927","0.0-1.0-0.14","+","null","",""
"","1509","audio-keyboard-response","30","47623","0.0-1.0-1.14","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","31","48125","0.0-1.0-0.15","+","null","",""
"","1792","audio-keyboard-response","32","50108","0.0-1.0-1.15","../audio/teste-vocab--21.mp3","s","baleia","balèn"
"","null","html-keyboard-response","33","50623","0.0-1.0-0.16","+","null","",""
"","1501","audio-keyboard-response","34","52304","0.0-1.0-1.16","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","35","52806","0.0-1.0-0.17","+","null","",""
"","1981","audio-keyboard-response","36","54978","0.0-1.0-1.17","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","37","55484","0.0-1.0-0.18","+","null","",""
"","1811","audio-keyboard-response","38","57488","0.0-1.0-1.18","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","39","58000","0.0-1.0-0.19","+","null","",""
"","1560","audio-keyboard-response","40","59788","0.0-1.0-1.19","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","41","60296","0.0-1.0-0.20","+","null","",""
"","1931","audio-keyboard-response","42","62417","0.0-1.0-1.20","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","43","62929","0.0-1.0-0.21","+","null","",""
"","1899","audio-keyboard-response","44","65288","0.0-1.0-1.21","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","45","65790","0.0-1.0-0.22","+","null","",""
"","1949","audio-keyboard-response","46","67860","0.0-1.0-1.22","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","47","68368","0.0-1.0-0.23","+","null","",""
"","1749","audio-keyboard-response","48","70300","0.0-1.0-1.23","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","49","70801","0.0-1.0-0.24","+","null","",""
"","1848","audio-keyboard-response","50","72844","0.0-1.0-1.24","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","51","73349","0.0-1.0-0.25","+","null","",""
"","1989","audio-keyboard-response","52","75533","0.0-1.0-1.25","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","53","76039","0.0-1.0-0.26","+","null","",""
"","1960","audio-keyboard-response","54","78205","0.0-1.0-1.26","../audio/teste-vocab--110.mp3","s","prodígio","pwodij"
"","null","html-keyboard-response","55","78716","0.0-1.0-0.27","+","null","",""
"","1840","audio-keyboard-response","56","80755","0.0-1.0-1.27","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","57","81270","0.0-1.0-0.28","+","null","",""
"","2579","audio-keyboard-response","58","84054","0.0-1.0-1.28","../audio/teste-vocab--101.mp3","s","incandescente","enkandesan"
"","null","html-keyboard-response","59","84569","0.0-1.0-0.29","+","null","",""
"","1861","audio-keyboard-response","60","86624","0.0-1.0-1.29","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","61","87127","0.0-1.0-0.30","+","null","",""
"","1821","audio-keyboard-response","62","89156","0.0-1.0-1.30","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","63","89660","0.0-1.0-0.31","+","null","",""
"","3091","audio-keyboard-response","64","92952","0.0-1.0-1.31","../audio/teste-vocab--109.mp3","s","anfíbio","anfibyen"
"","null","html-keyboard-response","65","93463","0.0-1.0-0.32","+","null","",""
"","1821","audio-keyboard-response","66","95466","0.0-1.0-1.32","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","67","95977","0.0-1.0-0.33","+","null","",""
"","1971","audio-keyboard-response","68","98142","0.0-1.0-1.33","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","69","98657","0.0-1.0-0.34","+","null","",""
"","2291","audio-keyboard-response","70","101139","0.0-1.0-1.34","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","71","101648","0.0-1.0-0.35","+","null","",""
"","3392","audio-keyboard-response","72","105229","0.0-1.0-1.35","../audio/teste-vocab--25.mp3","n","canguru","kanguwou"
"","null","html-keyboard-response","73","105747","0.0-1.0-0.36","+","null","",""
"","1891","audio-keyboard-response","74","107837","0.0-1.0-1.36","../audio/teste-vocab--29.mp3","s","rasgar","chire"
"","null","html-keyboard-response","75","108354","0.0-1.0-0.37","+","null","",""
"","1800","audio-keyboard-response","76","110456","0.0-1.0-1.37","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","77","110964","0.0-1.0-0.38","+","null","",""
"","1768","audio-keyboard-response","78","112923","0.0-1.0-1.38","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","79","113428","0.0-1.0-0.39","+","null","",""
"","1840","audio-keyboard-response","80","115462","0.0-1.0-1.39","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","81","115976","0.0-1.0-0.40","+","null","",""
"","2331","audio-keyboard-response","82","118497","0.0-1.0-1.40","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","83","119004","0.0-1.0-0.41","+","null","",""
"","2960","audio-keyboard-response","84","122110","0.0-1.0-1.41","../audio/teste-vocab--58.mp3","n","nutritivo","nourisan"
"","null","html-keyboard-response","85","122617","0.0-1.0-0.42","+","null","",""
"","2109","audio-keyboard-response","86","124945","0.0-1.0-1.42","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","87","125460","0.0-1.0-0.43","+","null","",""
"","2960","audio-keyboard-response","88","128615","0.0-1.0-1.43","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","89","129125","0.0-1.0-0.44","+","null","",""
"","2611","audio-keyboard-response","90","131939","0.0-1.0-1.44","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","91","132445","0.0-1.0-0.45","+","null","",""
"","2091","audio-keyboard-response","92","134737","0.0-1.0-1.45","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","93","135247","0.0-1.0-0.46","+","null","",""
"","2000","audio-keyboard-response","94","137441","0.0-1.0-1.46","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","95","137952","0.0-1.0-0.47","+","null","",""
"","3339","audio-keyboard-response","96","141528","0.0-1.0-1.47","../audio/teste-vocab--103.mp3","n","utensílio","istansil"
"","null","html-keyboard-response","97","142036","0.0-1.0-0.48","+","null","",""
"","2061","audio-keyboard-response","98","144309","0.0-1.0-1.48","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","99","144817","0.0-1.0-0.49","+","null","",""
"","2211","audio-keyboard-response","100","147208","0.0-1.0-1.49","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","101","147719","0.0-1.0-0.50","+","null","",""
"","2099","audio-keyboard-response","102","150040","0.0-1.0-1.50","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","103","150545","0.0-1.0-0.51","+","null","",""
"","2029","audio-keyboard-response","104","152816","0.0-1.0-1.51","../audio/teste-vocab--95.mp3","s","submergir","plonje"
"","null","html-keyboard-response","105","153327","0.0-1.0-0.52","+","null","",""
"","2731","audio-keyboard-response","106","156301","0.0-1.0-1.52","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","107","156811","0.0-1.0-0.53","+","null","",""
"","2101","audio-keyboard-response","108","159099","0.0-1.0-1.53","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","109","159606","0.0-1.0-0.54","+","null","",""
"","1661","audio-keyboard-response","110","161459","0.0-1.0-1.54","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","111","161963","0.0-1.0-0.55","+","null","",""
"","1429","audio-keyboard-response","112","163569","0.0-1.0-1.55","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","113","164075","0.0-1.0-0.56","+","null","",""
"","1979","audio-keyboard-response","114","166255","0.0-1.0-1.56","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","115","166771","0.0-1.0-0.57","+","null","",""
"","2021","audio-keyboard-response","116","168988","0.0-1.0-1.57","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","117","169499","0.0-1.0-0.58","+","null","",""
"","2341","audio-keyboard-response","118","172034","0.0-1.0-1.58","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","119","172538","0.0-1.0-0.59","+","null","",""
"","2691","audio-keyboard-response","120","175425","0.0-1.0-1.59","../audio/teste-vocab--83.mp3","n","morsa","mòs"
"","null","html-keyboard-response","121","175931","0.0-1.0-0.60","+","null","",""
"","1869","audio-keyboard-response","122","178002","0.0-1.0-1.60","../audio/teste-vocab--02.mp3","s","homem","gason"
"","null","html-keyboard-response","123","178517","0.0-1.0-0.61","+","null","",""
"","1840","audio-keyboard-response","124","180578","0.0-1.0-1.61","../audio/teste-vocab--40.mp3","s","bebida","bwason"
"","null","html-keyboard-response","125","181080","0.0-1.0-0.62","+","null","",""
"","1891","audio-keyboard-response","126","183157","0.0-1.0-1.62","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","127","183671","0.0-1.0-0.63","+","null","",""
"","2200","audio-keyboard-response","128","186075","0.0-1.0-1.63","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","129","186584","0.0-1.0-0.64","+","null","",""
"","3259","audio-keyboard-response","130","190039","0.0-1.0-1.64","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","131","190545","0.0-1.0-0.65","+","null","",""
"","1811","audio-keyboard-response","132","192546","0.0-1.0-1.65","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","133","193055","0.0-1.0-0.66","+","null","",""
"","2301","audio-keyboard-response","134","195541","0.0-1.0-1.66","../audio/teste-vocab--76.mp3","s","arquivar","achive"
"","null","html-keyboard-response","135","196044","0.0-1.0-0.67","+","null","",""
"","2088","audio-keyboard-response","136","198318","0.0-1.0-1.67","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","137","198829","0.0-1.0-0.68","+","null","",""
"","2581","audio-keyboard-response","138","201625","0.0-1.0-1.68","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","139","202130","0.0-1.0-0.69","+","null","",""
"","2061","audio-keyboard-response","140","204435","0.0-1.0-1.69","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","141","204944","0.0-1.0-0.70","+","null","",""
"","2160","audio-keyboard-response","142","207286","0.0-1.0-1.70","../audio/teste-vocab--73.mp3","n","ângulo","ang"
"","null","html-keyboard-response","143","207794","0.0-1.0-0.71","+","null","",""
"","3192","audio-keyboard-response","144","211189","0.0-1.0-1.71","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","145","211701","0.0-1.0-0.72","+","null","",""
"","2379","audio-keyboard-response","146","214285","0.0-1.0-1.72","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","147","214802","0.0-1.0-0.73","+","null","",""
"","2032","audio-keyboard-response","148","217036","0.0-1.0-1.73","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","149","217541","0.0-1.0-0.74","+","null","",""
"","3291","audio-keyboard-response","150","221029","0.0-1.0-1.74","../audio/teste-vocab--127.mp3","n","côncavo","konkav"
"","null","html-keyboard-response","151","221540","0.0-1.0-0.75","+","null","",""
"","2451","audio-keyboard-response","152","224167","0.0-1.0-1.75","../audio/teste-vocab--30.mp3","s","pintor","pent"
"","null","html-keyboard-response","153","224674","0.0-1.0-0.76","+","null","",""
"","2160","audio-keyboard-response","154","227058","0.0-1.0-1.76","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","155","227571","0.0-1.0-0.77","+","null","",""
"","1661","audio-keyboard-response","156","229424","0.0-1.0-1.77","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","157","229930","0.0-1.0-0.78","+","null","",""
"","2072","audio-keyboard-response","158","232193","0.0-1.0-1.78","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","159","232698","0.0-1.0-0.79","+","null","",""
"","1608","audio-keyboard-response","160","234563","0.0-1.0-1.79","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","161","235072","0.0-1.0-0.80","+","null","",""
"","1939","audio-keyboard-response","162","237201","0.0-1.0-1.80","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","163","237709","0.0-1.0-0.81","+","null","",""
"","2179","audio-keyboard-response","164","240123","0.0-1.0-1.81","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","165","240636","0.0-1.0-0.82","+","null","",""
"","2672","audio-keyboard-response","166","243477","0.0-1.0-1.82","../audio/teste-vocab--61.mp3","n","iluminação","iliminasyon"
"","null","html-keyboard-response","167","243991","0.0-1.0-0.83","+","null","",""
"","1691","audio-keyboard-response","168","245874","0.0-1.0-1.83","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","169","246388","0.0-1.0-0.84","+","null","",""
"","1971","audio-keyboard-response","170","248552","0.0-1.0-1.84","../audio/teste-vocab--05.mp3","s","limpar","netwaye"
"","null","html-keyboard-response","171","249067","0.0-1.0-0.85","+","null","",""
"","1821","audio-keyboard-response","172","251102","0.0-1.0-1.85","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","173","251611","0.0-1.0-0.86","+","null","",""
"","1971","audio-keyboard-response","174","253792","0.0-1.0-1.86","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","175","254301","0.0-1.0-0.87","+","null","",""
"","2131","audio-keyboard-response","176","256620","0.0-1.0-1.87","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","177","257125","0.0-1.0-0.88","+","null","",""
"","1779","audio-keyboard-response","178","259086","0.0-1.0-1.88","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","179","259600","0.0-1.0-0.89","+","null","",""
"","1611","audio-keyboard-response","180","261394","0.0-1.0-1.89","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","181","261899","0.0-1.0-0.90","+","null","",""
"","2619","audio-keyboard-response","182","264726","0.0-1.0-1.90","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","183","265240","0.0-1.0-0.91","+","null","",""
"","1851","audio-keyboard-response","184","267292","0.0-1.0-1.91","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","185","267797","0.0-1.0-0.92","+","null","",""
"","2120","audio-keyboard-response","186","270135","0.0-1.0-1.92","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","187","270648","0.0-1.0-0.93","+","null","",""
"","2739","audio-keyboard-response","188","273617","0.0-1.0-1.93","../audio/teste-vocab--129.mp3","s","elipse","elips"
"","null","html-keyboard-response","189","274121","0.0-1.0-0.94","+","null","",""
"","3408","audio-keyboard-response","190","277724","0.0-1.0-1.94","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","191","278230","0.0-1.0-0.95","+","null","",""
"","1859","audio-keyboard-response","192","280288","0.0-1.0-1.95","../audio/teste-vocab--68.mp3","s","surpreendido","sezi"
"","null","html-keyboard-response","193","280791","0.0-1.0-0.96","+","null","",""
"","1720","audio-keyboard-response","194","282691","0.0-1.0-1.96","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","195","283204","0.0-1.0-0.97","+","null","",""
"","2080","audio-keyboard-response","196","285492","0.0-1.0-1.97","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","197","285998","0.0-1.0-0.98","+","null","",""
"","2029","audio-keyboard-response","198","288214","0.0-1.0-1.98","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","199","288727","0.0-1.0-0.99","+","null","",""
"","2360","audio-keyboard-response","200","291300","0.0-1.0-1.99","../audio/teste-vocab--52.mp3","s","construção","konstriksyon"
"","null","html-keyboard-response","201","291809","0.0-1.0-0.100","+","null","",""
"","2040","audio-keyboard-response","202","294045","0.0-1.0-1.100","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","203","294551","0.0-1.0-0.101","+","null","",""
"","2371","audio-keyboard-response","204","297117","0.0-1.0-1.101","../audio/teste-vocab--105.mp3","n","cítrico","sitrik"
"","null","html-keyboard-response","205","297634","0.0-1.0-0.102","+","null","",""
"","1920","audio-keyboard-response","206","299746","0.0-1.0-1.102","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","207","300261","0.0-1.0-0.103","+","null","",""
"","2941","audio-keyboard-response","208","303423","0.0-1.0-1.103","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","209","303927","0.0-1.0-0.104","+","null","",""
"","1941","audio-keyboard-response","210","306065","0.0-1.0-1.104","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","211","306577","0.0-1.0-0.105","+","null","",""
"","2029","audio-keyboard-response","212","308803","0.0-1.0-1.105","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","213","309311","0.0-1.0-0.106","+","null","",""
"","3629","audio-keyboard-response","214","313140","0.0-1.0-1.106","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","215","313650","0.0-1.0-0.107","+","null","",""
"","3669","audio-keyboard-response","216","317599","0.0-1.0-1.107","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","217","318106","0.0-1.0-0.108","+","null","",""
"","3291","audio-keyboard-response","218","321588","0.0-1.0-1.108","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","219","322093","0.0-1.0-0.109","+","null","",""
"","2160","audio-keyboard-response","220","324448","0.0-1.0-1.109","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","221","324958","0.0-1.0-0.110","+","null","",""
"","1979","audio-keyboard-response","222","327125","0.0-1.0-1.110","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","223","327642","0.0-1.0-0.111","+","null","",""
"","3691","audio-keyboard-response","224","331549","0.0-1.0-1.111","../audio/teste-vocab--118.mp3","s","paralelogramo","paralelogram"
"","null","html-keyboard-response","225","332055","0.0-1.0-0.112","+","null","",""
"","1941","audio-keyboard-response","226","334178","0.0-1.0-1.112","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","227","334682","0.0-1.0-0.113","+","null","",""
"","1819","audio-keyboard-response","228","336694","0.0-1.0-1.113","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","229","337210","0.0-1.0-0.114","+","null","",""
"","2120","audio-keyboard-response","230","339555","0.0-1.0-1.114","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","231","340072","0.0-1.0-0.115","+","null","",""
"","2669","audio-keyboard-response","232","342948","0.0-1.0-1.115","../audio/teste-vocab--124.mp3","n","obelisco","obelisk"
"","null","html-keyboard-response","233","343454","0.0-1.0-0.116","+","null","",""
"","3019","audio-keyboard-response","234","346684","0.0-1.0-1.116","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","235","347193","0.0-1.0-0.117","+","null","",""
"","2400","audio-keyboard-response","236","349792","0.0-1.0-1.117","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","237","350302","0.0-1.0-0.118","+","null","",""
"","1771","audio-keyboard-response","238","352277","0.0-1.0-1.118","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","239","352787","0.0-1.0-0.119","+","null","",""
"","1869","audio-keyboard-response","240","354839","0.0-1.0-1.119","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","241","355351","0.0-1.0-0.120","+","null","",""
"","2019","audio-keyboard-response","242","357563","0.0-1.0-1.120","../audio/teste-vocab--104.mp3","s","ira","pwal"
"","null","html-keyboard-response","243","358073","0.0-1.0-0.121","+","null","",""
"","1731","audio-keyboard-response","244","359955","0.0-1.0-1.121","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","245","360469","0.0-1.0-0.122","+","null","",""
"","1491","audio-keyboard-response","246","362211","0.0-1.0-1.122","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","247","362719","0.0-1.0-0.123","+","null","",""
"","3069","audio-keyboard-response","248","365977","0.0-1.0-1.123","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","249","366488","0.0-1.0-0.124","+","null","",""
"","1539","audio-keyboard-response","250","368213","0.0-1.0-1.124","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","251","368722","0.0-1.0-0.125","+","null","",""
"","1949","audio-keyboard-response","252","370878","0.0-1.0-1.125","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","253","371395","0.0-1.0-0.126","+","null","",""
"","2488","audio-keyboard-response","254","374081","0.0-1.0-1.126","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","255","374592","0.0-1.0-0.127","+","null","",""
"","1989","audio-keyboard-response","256","376813","0.0-1.0-1.127","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","257","377329","0.0-1.0-0.128","+","null","",""
"","1960","audio-keyboard-response","258","379472","0.0-1.0-1.128","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","259","379976","0.0-1.0-0.129","+","null","",""
"","1821","audio-keyboard-response","260","381979","0.0-1.0-1.129","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
