"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":1548},{""page_index"":1,""viewing_time"":529}]","2077","instructions","0","2077","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","3200","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","8268","html-keyboard-response","2","11734","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","6127","html-keyboard-response","3","18117","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1477","html-keyboard-response","4","19845","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1601","html-keyboard-response","5","21701","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","964","html-keyboard-response","6","22917","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","60692","html-keyboard-response","7","83860","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","5589","html-keyboard-response","8","89701","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","90953","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2304","html-keyboard-response","10","93508","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2230","html-keyboard-response","11","95989","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1060","html-keyboard-response","12","97300","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1125","html-keyboard-response","13","98676","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","1109","html-keyboard-response","14","100036","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","2052","html-keyboard-response","15","102340","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","613","html-keyboard-response","16","103205","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","4725","html-keyboard-response","17","108180","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","3012","html-keyboard-response","18","111444","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":5660}]","5661","instructions","19","117605","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","118707","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","543","html-keyboard-response","21","119509","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","1253","html-keyboard-response","22","121013","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">crianças</span>"," ","","exp-sent","crianças","","",""
"","812","html-keyboard-response","23","122084","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">viram</span>"," ","","exp-sent","viram","","",""
"","1269","html-keyboard-response","24","123604","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","3908","html-keyboard-response","25","127765","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">vaga-lume</span>"," ","","exp-sent","vaga-lume","","",""
"","933","html-keyboard-response","26","128948","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">nos</span>"," ","","exp-sent","nos","","",""
"","3829","html-keyboard-response","27","133028","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">arbustos.</span>"," ","","exp-sent","arbustos.","","",""
"","null","html-keyboard-response","28","134280","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","673","html-keyboard-response","29","135204","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Ontem</span>"," ","","exp-sent","Ontem","","",""
"","532","html-keyboard-response","30","135988","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","2917","html-keyboard-response","31","139156","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">funcionário</span>"," ","","exp-sent","funcionário","","",""
"","821","html-keyboard-response","32","140228","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">pediu</span>"," ","","exp-sent","pediu","","",""
"","949","html-keyboard-response","33","141428","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">autorização</span>"," ","","exp-sent","autorização","","",""
"","629","html-keyboard-response","34","142308","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","565","html-keyboard-response","35","143124","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","4619","html-keyboard-response","36","148004","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">colega.</span>"," ","","exp-sent","colega.","","",""
"","null","html-keyboard-response","37","149256","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","284","html-keyboard-response","38","149796","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","900","html-keyboard-response","39","150948","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">sempre</span>"," ","","exp-sent","sempre","","",""
