"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":25252},{""page_index"":1,""viewing_time"":2408}]","27661","instructions","0","27662","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","28792","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","11160","audio-keyboard-response","2","40237","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3480","audio-keyboard-response","3","43996","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2789","audio-keyboard-response","4","47052","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2600","audio-keyboard-response","5","49916","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1669","audio-keyboard-response","6","51852","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","3632","audio-keyboard-response","7","55756","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","4691","audio-keyboard-response","8","60716","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","61996","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1419","audio-keyboard-response","10","63692","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1701","audio-keyboard-response","11","65660","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1461","audio-keyboard-response","12","67388","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1011","audio-keyboard-response","13","68668","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1240","audio-keyboard-response","14","70188","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1221","audio-keyboard-response","15","71676","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1029","audio-keyboard-response","16","72972","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2611","audio-keyboard-response","17","75852","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","11832","html-keyboard-response","18","87948","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":5919}]","5919","instructions","19","94380","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","95500","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3811","audio-keyboard-response","21","99596","0.0-3.0-1.0","../audio/79-1-masc.mp3"," ","","A","","","",""
"","1829","audio-keyboard-response","22","101708","0.0-3.0-1.1","../audio/79-2-masc.mp3"," ","","médica","","","",""
"","1739","audio-keyboard-response","23","103739","0.0-3.0-1.2","../audio/79-3-masc.mp3"," ","","verificou","","","",""
"","1600","audio-keyboard-response","24","105627","0.0-3.0-1.3","../audio/79-4-masc.mp3"," ","","a","","","",""
"","1541","audio-keyboard-response","25","107436","0.0-3.0-1.4","../audio/79-5-masc.mp3"," ","","gengiva","","","",""
"","1139","audio-keyboard-response","26","108843","0.0-3.0-1.5","../audio/79-6-masc.mp3"," ","","por","","","",""
"","3589","audio-keyboard-response","27","112700","0.0-3.0-1.6","../audio/79-7-masc.mp3"," ","","último.","","","",""
"","null","html-keyboard-response","28","113965","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3429","audio-keyboard-response","29","117660","0.0-3.0-1.7","../audio/78-1-masc.mp3"," ","","Eles","","","",""
"","1429","audio-keyboard-response","30","119371","0.0-3.0-1.8","../audio/78-2-masc.mp3"," ","","trazem","","","",""
"","1179","audio-keyboard-response","31","120811","0.0-3.0-1.9","../audio/78-3-masc.mp3"," ","","um","","","",""
"","1440","audio-keyboard-response","32","122524","0.0-3.0-1.10","../audio/78-4-masc.mp3"," ","","fato","","","",""
"","1341","audio-keyboard-response","33","124140","0.0-3.0-1.11","../audio/78-5-masc.mp3"," ","","urgente","","","",""
"","1261","audio-keyboard-response","34","125676","0.0-3.0-1.12","../audio/78-6-masc.mp3"," ","","todos","","","",""
"","1139","audio-keyboard-response","35","127100","0.0-3.0-1.13","../audio/78-7-masc.mp3"," ","","os","","","",""
"","3272","audio-keyboard-response","36","130636","0.0-3.0-1.14","../audio/78-8-masc.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","37","131915","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1440","audio-keyboard-response","38","133628","0.0-3.0-1.15","../audio/77-1-masc.mp3"," ","","A","","","",""
"","1080","audio-keyboard-response","39","134988","0.0-3.0-1.16","../audio/77-2-masc.mp3"," ","","criança","","","",""
"","931","audio-keyboard-response","40","136187","0.0-3.0-1.17","../audio/77-3-masc.mp3"," ","","ficou","","","",""
"","1589","audio-keyboard-response","41","138060","0.0-3.0-1.18","../audio/77-4-masc.mp3"," ","","muito","","","",""
"","1032","audio-keyboard-response","42","139355","0.0-3.0-1.19","../audio/77-5-masc.mp3"," ","","feliz","","","",""
"","840","audio-keyboard-response","43","140460","0.0-3.0-1.20","../audio/77-6-masc.mp3"," ","","com","","","",""
"","1000","audio-keyboard-response","44","141723","0.0-3.0-1.21","../audio/77-7-masc.mp3"," ","","o","","","",""
"","3949","audio-keyboard-response","45","145947","0.0-3.0-1.22","../audio/77-8-masc.mp3"," ","","brinquedo.","","","",""
"","null","html-keyboard-response","46","147220","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","749","audio-keyboard-response","47","148251","0.0-3.0-1.23","../audio/76-1-masc.mp3"," ","","O","","","",""
"","1021","audio-keyboard-response","48","149548","0.0-3.0-1.24","../audio/76-2-masc.mp3"," ","","bisavô","","","",""
"","789","audio-keyboard-response","49","150603","0.0-3.0-1.25","../audio/76-3-masc.mp3"," ","","comprou","","","",""
"","861","audio-keyboard-response","50","151740","0.0-3.0-1.26","../audio/76-4-masc.mp3"," ","","um","","","",""
"","1040","audio-keyboard-response","51","153051","0.0-3.0-1.27","../audio/76-5-masc.mp3"," ","","ralador","","","",""
"","989","audio-keyboard-response","52","154300","0.0-3.0-1.28","../audio/76-6-masc.mp3"," ","","de","","","",""
"","2171","audio-keyboard-response","53","156731","0.0-3.0-1.29","../audio/76-7-masc.mp3"," ","","queijo.","","","",""
"","null","html-keyboard-response","54","158005","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1072","audio-keyboard-response","55","159356","0.0-3.0-1.30","../audio/80-1-masc.mp3"," ","","Meu","","","",""
"","989","audio-keyboard-response","56","160619","0.0-3.0-1.31","../audio/80-2-masc.mp3"," ","","primo","","","",""
"","909","audio-keyboard-response","57","161803","0.0-3.0-1.32","../audio/80-3-masc.mp3"," ","","conheceu","","","",""
"","909","audio-keyboard-response","58","162987","0.0-3.0-1.33","../audio/80-4-masc.mp3"," ","","um","","","",""
"","1131","audio-keyboard-response","59","164395","0.0-3.0-1.34","../audio/80-5-masc.mp3"," ","","jovem","","","",""
"","1155","audio-keyboard-response","60","165819","0.0-3.0-1.35","../audio/80-6-masc.mp3"," ","","amável","","","",""
"","971","audio-keyboard-response","61","167067","0.0-3.0-1.36","../audio/80-7-masc.mp3"," ","","e","","","",""
"","2040","audio-keyboard-response","62","169387","0.0-3.0-1.37","../audio/80-8-masc.mp3"," ","","confiante.","","","",""
"","3923","html-keyboard-response","63","173564","0.0-3.0-2.37-0.37","<span style=""font-size:25px; font-family: monospace"">O primo conheceu um jovem irritante?</span>","s","","","O primo conheceu um jovem irritante?","null","exp-sent","false"
"","null","html-keyboard-response","64","175094","0.0-3.0-0.38-0.38","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","981","audio-keyboard-response","65","176347","0.0-3.0-1.38","../audio/31-1-masc.mp3"," ","","O","","","",""
"","800","audio-keyboard-response","66","177420","0.0-3.0-1.39","../audio/31-2-masc.mp3"," ","","padeiro","","","",""
"","960","audio-keyboard-response","67","178651","0.0-3.0-1.40","../audio/31-3-masc.mp3"," ","","usou","","","",""
"","789","audio-keyboard-response","68","179707","0.0-3.0-1.41","../audio/31-4-masc.mp3"," ","","a","","","",""
"","859","audio-keyboard-response","69","180843","0.0-3.0-1.42","../audio/31-5-masc.mp3"," ","","balança","","","",""
"","1539","audio-keyboard-response","70","182651","0.0-3.0-1.43","../audio/31-6-masc.mp3"," ","","o","","","",""
