"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":34798}]","34798","instructions","0","34800","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","35402","0.0-1.0-0.0","+","null","","","","","",""
"","8437","html-keyboard-response","2","43840","0.0-1.0-1.0","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","44342","0.0-1.0-0.1","+","null","","","","","",""
"","5993","html-keyboard-response","4","50335","0.0-1.0-1.1","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","50836","0.0-1.0-0.2","+","null","","","","","",""
"","5370","html-keyboard-response","6","56207","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","56708","0.0-1.0-0.3","+","null","","","","","",""
"","3082","html-keyboard-response","8","59791","0.0-1.0-1.3","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","60292","0.0-1.0-0.4","+","null","","","","","",""
"","123","html-keyboard-response","10","60415","0.0-1.0-1.4","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","60917","0.0-1.0-0.5","+","null","","","","","",""
"","2154","html-keyboard-response","12","63071","0.0-1.0-1.5","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","63572","0.0-1.0-0.6","+","null","","","","","",""
"","2795","html-keyboard-response","14","66367","0.0-1.0-1.6","órgão","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":5240}]","5240","instructions","15","71608","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","72210","0.0-3.0-0.0","+","null","","","","","",""
"","9581","html-keyboard-response","17","81792","0.0-3.0-1.0","garastia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","82292","0.0-3.0-0.1","+","null","","","","","",""
"","3034","html-keyboard-response","19","85327","0.0-3.0-1.1","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","20","85828","0.0-3.0-0.2","+","null","","","","","",""
"","3499","html-keyboard-response","21","89327","0.0-3.0-1.2","montanha","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","22","89831","0.0-3.0-0.3","+","null","","","","","",""
"","1784","html-keyboard-response","23","91615","0.0-3.0-1.3","mania","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","24","92116","0.0-3.0-0.4","+","null","","","","","",""
"","6843","html-keyboard-response","25","98959","0.0-3.0-1.4","berquesa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","99460","0.0-3.0-0.5","+","null","","","","","",""
"","5018","html-keyboard-response","27","104479","0.0-3.0-1.5","terdia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","104980","0.0-3.0-0.6","+","null","","","","","",""
"","1451","html-keyboard-response","29","106431","0.0-3.0-1.6","dia","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","30","106932","0.0-3.0-0.7","+","null","","","","","",""
"","8491","html-keyboard-response","31","115423","0.0-3.0-1.7","aitrou","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","115924","0.0-3.0-0.8","+","null","","","","","",""
