"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":10731}]","10731","instructions","0","10731","0.0-0.0","",""
"","23884","survey-text","1","34723","0.0-1.0","{""age"":""43""}",""
"","8154","survey-multi-choice","2","42979","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","43010","survey-multi-choice","3","86092","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","11075","survey-multi-choice","4","97268","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","18489","survey-multi-choice","5","115860","0.0-5.0","{""father_schooling"":""Ensino Superior completo""}","[0]"
"","704474","survey-html-form","6","820427","0.0-6.0","{""language_0"":""kriolo"",""listening_0"":""4 mes"",""speaking_0"":""1anos"",""reading_0"":""2 anos"",""writing_0"":""2 anos"",""language_1"":""portuguers"",""listening_1"":""38 anos"",""speaking_1"":""38 anosos"",""reading_1"":""38anoss"",""writing_1"":""38anos"",""language_2"":""espagnol"",""listening_2"":""8anos"",""speaking_2"":""8anos"",""reading_2"":""8anos"",""writing_2"":""12anos"",""language_3"":""frances"",""listening_3"":""4mes"",""speaking_3"":""1anos"",""reading_3"":""2 ansos"",""writing_3"":""2anos""}",""
"","380264","survey-html-form","7","1200792","0.0-7.0","{""language_3"":""espagnol"",""listening_3"":""4 anos"",""speaking_3"":""12 anos"",""reading_3"":""12 anos"",""writing_3"":""12"",""language_1"":""frances"",""listening_1"":""4anos"",""speaking_1"":""4anos"",""reading_1"":""4 anos"",""writing_1"":""4anos"",""language_2"":""kriolo"",""listening_2"":""4anos"",""speaking_2"":""anos"",""reading_2"":""4 anos"",""writing_2"":""4anos""}",""
"","9976","survey-text","8","1210872","0.0-8.0","{""country_of_origin"":""haiti""}",""
"","83378","survey-text","9","1294351","0.0-9.0","{""country_of_residence"":""moro no brasil a 11 anos \n""}",""
"","258243","survey-html-form","10","1552693","0.0-10.0","{""country_0"":""republica dominicana"",""duration_0"":""204"",""language_0"":""espagnol"",""frequency_0"":""7"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","221321","survey-html-form","11","1774116","0.0-11.0","{""language_0"":""portuguers"",""context_0"":""2\\3"",""language_1"":""espagnol"",""context_1"":""2\\3"",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","556090","survey-html-form","12","2330307","0.0-12.0","{""language_0"":""portugues"",""home_0"":""38anos"",""friends_0"":""38 anos"",""school_0"":""38 anos"",""work_0"":""38 anos"",""computer_0"":""38anos12 anos"",""games_0"":""38 anos"",""language_1"":""espagnol"",""home_1"":""12 anos"",""friends_1"":""12 anos"",""school_1"":""12 anos"",""work_1"":""19 anos"",""computer_1"":""19 anos"",""games_1"":""38 anos"",""language_2"":""frances"",""home_2"":""2 anos"",""friends_2"":""anos"",""school_2"":"""",""work_2"":"""",""computer_2"":"""",""games_2"":"""",""language_3"":""kriolo"",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","33665","survey-likert","13","2364074","0.0-13.0","{""new_languages"":6}","[0]"
