"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":15806},{""page_index"":1,""viewing_time"":3960}]","19766","instructions","0","19764","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","20890","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","10352","audio-keyboard-response","2","31525","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","4128","audio-keyboard-response","3","35940","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1880","audio-keyboard-response","4","38100","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1261","audio-keyboard-response","5","39636","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1091","audio-keyboard-response","6","40996","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1480","audio-keyboard-response","7","42772","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","979","audio-keyboard-response","8","44020","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","45290","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","680","audio-keyboard-response","10","46244","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1120","audio-keyboard-response","11","47636","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1160","audio-keyboard-response","12","49076","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","909","audio-keyboard-response","13","50260","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","720","audio-keyboard-response","14","51252","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1592","audio-keyboard-response","15","53124","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1160","audio-keyboard-response","16","54580","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1211","audio-keyboard-response","17","56068","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","23402","html-keyboard-response","18","79732","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":8476}]","8476","instructions","19","88717","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","89819","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2901","audio-keyboard-response","21","92981","0.0-3.0-1.0","../audio/59-1-fem.mp3"," ","","O","","","",""
"","1779","audio-keyboard-response","22","95044","0.0-3.0-1.1","../audio/59-2-fem.mp3"," ","","carteiro","","","",""
"","1240","audio-keyboard-response","23","96564","0.0-3.0-1.2","../audio/59-3-fem.mp3"," ","","fez","","","",""
