"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":60537}]","60537","instructions","0","60538","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","61141","0.0-1.0-0.0","+","null","","","","","",""
"","10060","html-keyboard-response","2","71202","0.0-1.0-1.0","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","71702","0.0-1.0-0.1","+","null","","","","","",""
"","9931","html-keyboard-response","4","81634","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","82136","0.0-1.0-0.2","+","null","","","","","",""
"","3162","html-keyboard-response","6","85298","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","85799","0.0-1.0-0.3","+","null","","","","","",""
"","7354","html-keyboard-response","8","93154","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","93655","0.0-1.0-0.4","+","null","","","","","",""
"","5354","html-keyboard-response","10","99010","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","99511","0.0-1.0-0.5","+","null","","","","","",""
"","6986","html-keyboard-response","12","106498","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","106999","0.0-1.0-0.6","+","null","","","","","",""
"","8426","html-keyboard-response","14","115426","0.0-1.0-1.6","crante","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":34088}]","34088","instructions","15","149514","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","150116","0.0-3.0-0.0","+","null","","","","","",""
"","4221","html-keyboard-response","17","154337","0.0-3.0-1.0","propaganda","n","n","cog","word","S","exp","10"
"","null","html-keyboard-response","18","154838","0.0-3.0-0.1","+","null","","","","","",""
"","4939","html-keyboard-response","19","159777","0.0-3.0-1.1","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","20","160278","0.0-3.0-0.2","+","null","","","","","",""
"","4955","html-keyboard-response","21","165233","0.0-3.0-1.2","reduzir","n","v","cog","word","S","exp","7"
"","null","html-keyboard-response","22","165734","0.0-3.0-0.3","+","null","","","","","",""
"","2763","html-keyboard-response","23","168497","0.0-3.0-1.3","undivídio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","168998","0.0-3.0-0.4","+","null","","","","","",""
"","2923","html-keyboard-response","25","171921","0.0-3.0-1.4","mudança","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","26","172422","0.0-3.0-0.5","+","null","","","","","",""
"","5947","html-keyboard-response","27","178369","0.0-3.0-1.5","aperor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","178871","0.0-3.0-0.6","+","null","","","","","",""
"","4282","html-keyboard-response","29","183153","0.0-3.0-1.6","árovre","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","183654","0.0-3.0-0.7","+","null","","","","","",""
"","3130","html-keyboard-response","31","186785","0.0-3.0-1.7","aitrou","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","187287","0.0-3.0-0.8","+","null","","","","","",""
"","2890","html-keyboard-response","33","190177","0.0-3.0-1.8","tartos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","190679","0.0-3.0-0.9","+","null","","","","","",""
"","2842","html-keyboard-response","35","193521","0.0-3.0-1.9","verceja","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","194036","0.0-3.0-0.10","+","null","","","","","",""
"","1261","html-keyboard-response","37","195297","0.0-3.0-1.10","verde","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","38","195798","0.0-3.0-0.11","+","null","","","","","",""
"","1467","html-keyboard-response","39","197265","0.0-3.0-1.11","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","40","197766","0.0-3.0-0.12","+","null","","","","","",""
"","2379","html-keyboard-response","41","200145","0.0-3.0-1.12","aparme","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","200646","0.0-3.0-0.13","+","null","","","","","",""
"","1114","html-keyboard-response","43","201761","0.0-3.0-1.13","fogão","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","44","202262","0.0-3.0-0.14","+","null","","","","","",""
"","1178","html-keyboard-response","45","203441","0.0-3.0-1.14","verdade","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","46","203942","0.0-3.0-0.15","+","null","","","","","",""
"","1659","html-keyboard-response","47","205601","0.0-3.0-1.15","motros","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","206102","0.0-3.0-0.16","+","null","","","","","",""
"","4858","html-keyboard-response","49","210960","0.0-3.0-1.16","morno","n","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","50","211461","0.0-3.0-0.17","+","null","","","","","",""
"","2347","html-keyboard-response","51","213808","0.0-3.0-1.17","braras","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","214309","0.0-3.0-0.18","+","null","","","","","",""
"","2619","html-keyboard-response","53","216928","0.0-3.0-1.18","manfa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","217429","0.0-3.0-0.19","+","null","","","","","",""
"","2187","html-keyboard-response","55","219616","0.0-3.0-1.19","imitar","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","56","220118","0.0-3.0-0.20","+","null","","","","","",""
"","4986","html-keyboard-response","57","225104","0.0-3.0-1.20","orupas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","225606","0.0-3.0-0.21","+","null","","","","","",""
"","906","html-keyboard-response","59","226512","0.0-3.0-1.21","chorão","s","a","noncog","word","S","exp","6"
"","null","html-keyboard-response","60","227013","0.0-3.0-0.22","+","null","","","","","",""
"","987","html-keyboard-response","61","228000","0.0-3.0-1.22","avenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","228501","0.0-3.0-0.23","+","null","","","","","",""
"","3274","html-keyboard-response","63","231776","0.0-3.0-1.23","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","64","232277","0.0-3.0-0.24","+","null","","","","","",""
"","1371","html-keyboard-response","65","233648","0.0-3.0-1.24","papai","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","66","234149","0.0-3.0-0.25","+","null","","","","","",""
