"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":1161},{""page_index"":1,""viewing_time"":856}]","2017","instructions","0","2018","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","3130","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","33079","html-keyboard-response","2","36473","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","1733","html-keyboard-response","3","38457","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","2757","html-keyboard-response","4","41465","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","2469","html-keyboard-response","5","44185","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","2406","html-keyboard-response","6","46841","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2709","html-keyboard-response","7","49801","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","16724","html-keyboard-response","8","66777","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","68029","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","15841","html-keyboard-response","10","84121","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","3732","html-keyboard-response","11","88105","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","2693","html-keyboard-response","12","91049","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","2677","html-keyboard-response","13","93977","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","2165","html-keyboard-response","14","96393","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","2245","html-keyboard-response","15","98889","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","1557","html-keyboard-response","16","100697","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","8214","html-keyboard-response","17","109161","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","17860","html-keyboard-response","18","127273","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":5979}]","5979","instructions","19","133754","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","134856","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4918","html-keyboard-response","21","140025","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Minha</span>"," ","","exp-sent","Minha","","",""
"","4436","html-keyboard-response","22","144713","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">prima</span>"," ","","exp-sent","prima","","",""
"","2329","html-keyboard-response","23","147305","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">trocou</span>"," ","","exp-sent","trocou","","",""
"","1781","html-keyboard-response","24","149337","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2181","html-keyboard-response","25","151769","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">tela</span>"," ","","exp-sent","tela","","",""
"","1492","html-keyboard-response","26","153513","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">do</span>"," ","","exp-sent","do","","",""
"","2149","html-keyboard-response","27","155913","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">celular</span>"," ","","exp-sent","celular","","",""
"","1589","html-keyboard-response","28","157753","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">duas</span>"," ","","exp-sent","duas","","",""
"","15189","html-keyboard-response","29","173192","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">vezes.</span>"," ","","exp-sent","vezes.","","",""
"","null","html-keyboard-response","30","174451","0.0-3.0-0.9-0.9","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5083","html-keyboard-response","31","179785","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">Agora</span>"," ","","exp-sent","Agora","","",""
"","2357","html-keyboard-response","32","182393","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","3557","html-keyboard-response","33","186200","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">minha</span>"," ","","exp-sent","minha","","",""
"","2325","html-keyboard-response","34","188777","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">única</span>"," ","","exp-sent","única","","",""
"","3925","html-keyboard-response","35","192953","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">preocupação</span>"," ","","exp-sent","preocupação","","",""
"","2740","html-keyboard-response","36","195944","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","7685","html-keyboard-response","37","203881","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","7348","html-keyboard-response","38","211480","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">descanso</span>"," ","","exp-sent","descanso","","",""
"","13781","html-keyboard-response","39","225512","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">tranquilo.</span>"," ","","exp-sent","tranquilo.","","",""
"","null","html-keyboard-response","40","226766","0.0-3.0-0.18-0.18","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3520","html-keyboard-response","41","230536","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","3253","html-keyboard-response","42","234040","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">criança</span>"," ","","exp-sent","criança","","",""
"","2324","html-keyboard-response","43","236616","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">ganhou</span>"," ","","exp-sent","ganhou","","",""
"","2596","html-keyboard-response","44","239464","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","2805","html-keyboard-response","45","242520","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">presente</span>"," ","","exp-sent","presente","","",""
"","10917","html-keyboard-response","46","253688","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">maravilhoso.</span>"," ","","exp-sent","maravilhoso.","","",""
"","null","html-keyboard-response","47","254941","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4352","html-keyboard-response","48","259544","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">Os</span>"," ","","exp-sent","Os","","",""
"","4277","html-keyboard-response","49","264072","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">bichos</span>"," ","","exp-sent","bichos","","",""
"","5636","html-keyboard-response","50","269960","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","4212","html-keyboard-response","51","274425","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","6452","html-keyboard-response","52","281128","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">instinto</span>"," ","","exp-sent","instinto","","",""
"","12165","html-keyboard-response","53","293545","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","12692","html-keyboard-response","54","306488","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">sobrevivência</span>"," ","","exp-sent","sobrevivência","","",""
"","14789","html-keyboard-response","55","321528","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">forte.</span>"," ","","exp-sent","forte.","","",""
"","null","html-keyboard-response","56","322780","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","7216","html-keyboard-response","57","330248","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">Aquele</span>"," ","","exp-sent","Aquele","","",""
"","2581","html-keyboard-response","58","333080","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">menino</span>"," ","","exp-sent","menino","","",""
"","3236","html-keyboard-response","59","336568","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">alto</span>"," ","","exp-sent","alto","","",""
"","3188","html-keyboard-response","60","340008","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","4853","html-keyboard-response","61","345112","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">exibido</span>"," ","","exp-sent","exibido","","",""
"","2085","html-keyboard-response","62","347448","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","13781","html-keyboard-response","63","361480","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">sovina.</span>"," ","","comp","sovina.","","",""
"","7173","html-keyboard-response","64","368904","0.0-3.0-2.38-0.38","<span style=""font-size:30px; font-family: monospace"">Aquele menino é humilde?</span>","s","","comp","","Aquele menino é humilde?","não","false"
"","null","html-keyboard-response","65","370406","0.0-3.0-0.39-0.39","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
