"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":2857},{""page_index"":1,""viewing_time"":3433}]","6290","instructions","0","6291","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","7415","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9320","audio-keyboard-response","2","17243","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","8501","audio-keyboard-response","3","26010","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","11720","audio-keyboard-response","4","37994","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","3960","audio-keyboard-response","5","42234","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","2560","audio-keyboard-response","6","45066","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","3152","audio-keyboard-response","7","48491","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","5179","audio-keyboard-response","8","53946","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","55215","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3109","audio-keyboard-response","10","58586","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","4291","audio-keyboard-response","11","63162","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","3600","audio-keyboard-response","12","67034","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","2931","audio-keyboard-response","13","70250","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","2840","audio-keyboard-response","14","73370","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","3989","audio-keyboard-response","15","77642","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","5800","audio-keyboard-response","16","83722","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2960","audio-keyboard-response","17","86954","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","37093","html-keyboard-response","18","124299","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":4755}]","4755","instructions","19","129555","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","130657","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4032","audio-keyboard-response","21","135002","0.0-3.0-1.0","../audio/64-1-masc.mp3"," ","","O","","","",""
"","3880","audio-keyboard-response","22","139162","0.0-3.0-1.1","../audio/64-2-masc.mp3"," ","","dia","","","",""
"","2651","audio-keyboard-response","23","142090","0.0-3.0-1.2","../audio/64-3-masc.mp3"," ","","começou","","","",""
"","2131","audio-keyboard-response","24","144506","0.0-3.0-1.3","../audio/64-4-masc.mp3"," ","","com","","","",""
"","2051","audio-keyboard-response","25","146826","0.0-3.0-1.4","../audio/64-5-masc.mp3"," ","","garoa","","","",""
"","2291","audio-keyboard-response","26","149386","0.0-3.0-1.5","../audio/64-6-masc.mp3"," ","","gelada","","","",""
"","2141","audio-keyboard-response","27","151802","0.0-3.0-1.6","../audio/64-7-masc.mp3"," ","","e","","","",""
"","3360","audio-keyboard-response","28","155435","0.0-3.0-1.7","../audio/64-8-masc.mp3"," ","","leve.","","","",""
"","null","html-keyboard-response","29","156715","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3819","audio-keyboard-response","30","160811","0.0-3.0-1.8","../audio/61-1-fem.mp3"," ","","Aquele","","","",""
"","3608","audio-keyboard-response","31","164699","0.0-3.0-1.9","../audio/61-2-fem.mp3"," ","","senhor","","","",""
"","3240","audio-keyboard-response","32","168202","0.0-3.0-1.10","../audio/61-3-fem.mp3"," ","","é","","","",""
"","2459","audio-keyboard-response","33","170938","0.0-3.0-1.11","../audio/61-4-fem.mp3"," ","","muito","","","",""
"","2440","audio-keyboard-response","34","173658","0.0-3.0-1.12","../audio/61-5-fem.mp3"," ","","sovina","","","",""
"","1829","audio-keyboard-response","35","175754","0.0-3.0-1.13","../audio/61-6-fem.mp3"," ","","e","","","",""
"","2520","audio-keyboard-response","36","178554","0.0-3.0-1.14","../audio/61-7-fem.mp3"," ","","inflexível.","","","",""
"","null","html-keyboard-response","37","179830","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1669","audio-keyboard-response","38","181786","0.0-3.0-1.15","../audio/62-1-fem.mp3"," ","","As","","","",""
"","2291","audio-keyboard-response","39","184346","0.0-3.0-1.16","../audio/62-2-fem.mp3"," ","","artesãs","","","",""
"","2691","audio-keyboard-response","40","187306","0.0-3.0-1.17","../audio/62-3-fem.mp3"," ","","gostam","","","",""
"","1512","audio-keyboard-response","41","189082","0.0-3.0-1.18","../audio/62-4-fem.mp3"," ","","de","","","",""
"","2059","audio-keyboard-response","42","191418","0.0-3.0-1.19","../audio/62-5-fem.mp3"," ","","maquiagem","","","",""
"","2221","audio-keyboard-response","43","193914","0.0-3.0-1.20","../audio/62-6-fem.mp3"," ","","e","","","",""
