"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":24875}]","24875","instructions","0","24876","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","25505","0.0-1.0-0.0","+","null","","","","","",""
"","7219","html-keyboard-response","2","32724","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","33224","0.0-1.0-0.1","+","null","","","","","",""
"","4123","html-keyboard-response","4","37348","0.0-1.0-1.1","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","37849","0.0-1.0-0.2","+","null","","","","","",""
"","3019","html-keyboard-response","6","40868","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","41369","0.0-1.0-0.3","+","null","","","","","",""
"","4267","html-keyboard-response","8","45636","0.0-1.0-1.3","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","46137","0.0-1.0-0.4","+","null","","","","","",""
"","4282","html-keyboard-response","10","50420","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","50930","0.0-1.0-0.5","+","null","","","","","",""
"","4161","html-keyboard-response","12","55092","0.0-1.0-1.5","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","55592","0.0-1.0-0.6","+","null","","","","","",""
"","2507","html-keyboard-response","14","58100","0.0-1.0-1.6","plibar","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":29360}]","29360","instructions","15","87460","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","88063","0.0-3.0-0.0","+","null","","","","","",""
"","2165","html-keyboard-response","17","90228","0.0-3.0-1.0","manfa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","90730","0.0-3.0-0.1","+","null","","","","","",""
"","5689","html-keyboard-response","19","96420","0.0-3.0-1.1","plinta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","96920","0.0-3.0-0.2","+","null","","","","","",""
"","3419","html-keyboard-response","21","100340","0.0-3.0-1.2","cinema","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","22","100842","0.0-3.0-0.3","+","null","","","","","",""
"","2026","html-keyboard-response","23","102868","0.0-3.0-1.3","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","24","103369","0.0-3.0-0.4","+","null","","","","","",""
"","2618","html-keyboard-response","25","105988","0.0-3.0-1.4","gertas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","106489","0.0-3.0-0.5","+","null","","","","","",""
"","2794","html-keyboard-response","27","109284","0.0-3.0-1.5","esprotiar","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","109784","0.0-3.0-0.6","+","null","","","","","",""
"","2667","html-keyboard-response","29","112452","0.0-3.0-1.6","ronronar","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","30","112954","0.0-3.0-0.7","+","null","","","","","",""
"","1977","html-keyboard-response","31","114931","0.0-3.0-1.7","oricia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","115432","0.0-3.0-0.8","+","null","","","","","",""
"","1931","html-keyboard-response","33","117364","0.0-3.0-1.8","medalha","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","34","117865","0.0-3.0-0.9","+","null","","","","","",""
"","1482","html-keyboard-response","35","119348","0.0-3.0-1.9","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","36","119848","0.0-3.0-0.10","+","null","","","","","",""
"","1371","html-keyboard-response","37","121220","0.0-3.0-1.10","grave","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","38","121731","0.0-3.0-0.11","+","null","","","","","",""
"","1248","html-keyboard-response","39","122980","0.0-3.0-1.11","cristal","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","40","123481","0.0-3.0-0.12","+","null","","","","","",""
"","1242","html-keyboard-response","41","124724","0.0-3.0-1.12","tronca","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","125225","0.0-3.0-0.13","+","null","","","","","",""
"","2026","html-keyboard-response","43","127252","0.0-3.0-1.13","nevela","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","127753","0.0-3.0-0.14","+","null","","","","","",""
