"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":86733}]","86733","instructions","0","86738","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","87350","0.0-1.0-0.0","+","null","","","","","",""
"","8566","html-keyboard-response","2","95919","0.0-1.0-1.0","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","96420","0.0-1.0-0.1","+","null","","","","","",""
"","4192","html-keyboard-response","4","100614","0.0-1.0-1.1","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","101115","0.0-1.0-0.2","+","null","","","","","",""
"","2276","html-keyboard-response","6","103392","0.0-1.0-1.2","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","103898","0.0-1.0-0.3","+","null","","","","","",""
"","2724","html-keyboard-response","8","106623","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","107133","0.0-1.0-0.4","+","null","","","","","",""
"","2705","html-keyboard-response","10","109839","0.0-1.0-1.4","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","110352","0.0-1.0-0.5","+","null","","","","","",""
"","2428","html-keyboard-response","12","112780","0.0-1.0-1.5","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","113288","0.0-1.0-0.6","+","null","","","","","",""
"","2145","html-keyboard-response","14","115435","0.0-1.0-1.6","daja","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":56163}]","56164","instructions","15","171600","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","172212","0.0-3.0-0.0","+","null","","","","","",""
"","3413","html-keyboard-response","17","175627","0.0-3.0-1.0","prever","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","18","176128","0.0-3.0-0.1","+","null","","","","","",""
"","2044","html-keyboard-response","19","178173","0.0-3.0-1.1","bancada","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","20","178684","0.0-3.0-0.2","+","null","","","","","",""
"","2089","html-keyboard-response","21","180775","0.0-3.0-1.2","tatear","n","v","cog","word","S","exp","6"
"","null","html-keyboard-response","22","181281","0.0-3.0-0.3","+","null","","","","","",""
"","869","html-keyboard-response","23","182152","0.0-3.0-1.3","grave","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","24","182666","0.0-3.0-0.4","+","null","","","","","",""
"","2916","html-keyboard-response","25","185584","0.0-3.0-1.4","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","26","186095","0.0-3.0-0.5","+","null","","","","","",""
"","950","html-keyboard-response","27","187047","0.0-3.0-1.5","alpica","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","187550","0.0-3.0-0.6","+","null","","","","","",""
"","1113","html-keyboard-response","29","188664","0.0-3.0-1.6","ensuas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","189175","0.0-3.0-0.7","+","null","","","","","",""
"","981","html-keyboard-response","31","190156","0.0-3.0-1.7","lorfaz","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","190658","0.0-3.0-0.8","+","null","","","","","",""
"","986","html-keyboard-response","33","191645","0.0-3.0-1.8","prantal","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","192147","0.0-3.0-0.9","+","null","","","","","",""
"","685","html-keyboard-response","35","192833","0.0-3.0-1.9","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","36","193349","0.0-3.0-0.10","+","null","","","","","",""
"","965","html-keyboard-response","37","194316","0.0-3.0-1.10","bambu","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","38","194823","0.0-3.0-0.11","+","null","","","","","",""
"","2828","html-keyboard-response","39","197653","0.0-3.0-1.11","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","40","198155","0.0-3.0-0.12","+","null","","","","","",""
"","2606","html-keyboard-response","41","200762","0.0-3.0-1.12","esperar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","42","201264","0.0-3.0-0.13","+","null","","","","","",""
"","1485","html-keyboard-response","43","202750","0.0-3.0-1.13","motros","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","203262","0.0-3.0-0.14","+","null","","","","","",""
"","1132","html-keyboard-response","45","204394","0.0-3.0-1.14","orupas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","204909","0.0-3.0-0.15","+","null","","","","","",""
"","2897","html-keyboard-response","47","207807","0.0-3.0-1.15","gilha","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","208322","0.0-3.0-0.16","+","null","","","","","",""
"","2279","html-keyboard-response","49","210602","0.0-3.0-1.16","delomir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","211108","0.0-3.0-0.17","+","null","","","","","",""
"","1771","html-keyboard-response","51","212879","0.0-3.0-1.17","beima","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","213392","0.0-3.0-0.18","+","null","","","","","",""
"","1529","html-keyboard-response","53","214922","0.0-3.0-1.18","candifência","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","215435","0.0-3.0-0.19","+","null","","","","","",""
"","739","html-keyboard-response","55","216175","0.0-3.0-1.19","dia","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","56","216686","0.0-3.0-0.20","+","null","","","","","",""
"","2568","html-keyboard-response","57","219253","0.0-3.0-1.20","telefone","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","58","219768","0.0-3.0-0.21","+","null","","","","","",""
"","815","html-keyboard-response","59","220584","0.0-3.0-1.21","oper","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","221100","0.0-3.0-0.22","+","null","","","","","",""
"","1137","html-keyboard-response","61","222238","0.0-3.0-1.22","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","62","222747","0.0-3.0-0.23","+","null","","","","","",""
"","779","html-keyboard-response","63","223527","0.0-3.0-1.23","mudança","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","64","224040","0.0-3.0-0.24","+","null","","","","","",""
"","1306","html-keyboard-response","65","225347","0.0-3.0-1.24","conjerto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","225854","0.0-3.0-0.25","+","null","","","","","",""
"","2080","html-keyboard-response","67","227934","0.0-3.0-1.25","vitrive","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","228445","0.0-3.0-0.26","+","null","","","","","",""
"","921","html-keyboard-response","69","229366","0.0-3.0-1.26","hébies","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","70","229870","0.0-3.0-0.27","+","null","","","","","",""
"","1158","html-keyboard-response","71","231027","0.0-3.0-1.27","temperar","s","v","noncog","word","S","exp","8"
"","null","html-keyboard-response","72","231534","0.0-3.0-0.28","+","null","","","","","",""
"","1793","html-keyboard-response","73","233328","0.0-3.0-1.28","agravar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","74","233832","0.0-3.0-0.29","+","null","","","","","",""
"","691","html-keyboard-response","75","234524","0.0-3.0-1.29","apontar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","76","235028","0.0-3.0-0.30","+","null","","","","","",""
"","2326","html-keyboard-response","77","237355","0.0-3.0-1.30","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","78","237871","0.0-3.0-0.31","+","null","","","","","",""
"","689","html-keyboard-response","79","238562","0.0-3.0-1.31","ejerro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","80","239075","0.0-3.0-0.32","+","null","","","","","",""
"","1806","html-keyboard-response","81","240881","0.0-3.0-1.32","cenada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","82","241385","0.0-3.0-0.33","+","null","","","","","",""
"","1952","html-keyboard-response","83","243340","0.0-3.0-1.33","irratinte","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","84","243845","0.0-3.0-0.34","+","null","","","","","",""
"","1793","html-keyboard-response","85","245639","0.0-3.0-1.34","dencosto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","86","246146","0.0-3.0-0.35","+","null","","","","","",""
"","1356","html-keyboard-response","87","247503","0.0-3.0-1.35","morar","n","v","noncog","word","S","exp","5"
"","null","html-keyboard-response","88","248005","0.0-3.0-0.36","+","null","","","","","",""
"","1870","html-keyboard-response","89","249876","0.0-3.0-1.36","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","90","250379","0.0-3.0-0.37","+","null","","","","","",""
"","3255","html-keyboard-response","91","253635","0.0-3.0-1.37","farcas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","92","254147","0.0-3.0-0.38","+","null","","","","","",""
"","1420","html-keyboard-response","93","255567","0.0-3.0-1.38","protas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","94","256069","0.0-3.0-0.39","+","null","","","","","",""
"","1154","html-keyboard-response","95","257224","0.0-3.0-1.39","preferir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","96","257728","0.0-3.0-0.40","+","null","","","","","",""
"","1198","html-keyboard-response","97","258926","0.0-3.0-1.40","gruja","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","98","259441","0.0-3.0-0.41","+","null","","","","","",""
"","1560","html-keyboard-response","99","261003","0.0-3.0-1.41","delirar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","100","261508","0.0-3.0-0.42","+","null","","","","","",""
"","2838","html-keyboard-response","101","264346","0.0-3.0-1.42","nacional","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","102","264864","0.0-3.0-0.43","+","null","","","","","",""
"","791","html-keyboard-response","103","265656","0.0-3.0-1.43","manais","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","266162","0.0-3.0-0.44","+","null","","","","","",""
"","930","html-keyboard-response","105","267092","0.0-3.0-1.44","perbas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","106","267602","0.0-3.0-0.45","+","null","","","","","",""
"","1287","html-keyboard-response","107","268889","0.0-3.0-1.45","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","108","269391","0.0-3.0-0.46","+","null","","","","","",""
"","1805","html-keyboard-response","109","271197","0.0-3.0-1.46","euorpa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","110","271706","0.0-3.0-0.47","+","null","","","","","",""
"","662","html-keyboard-response","111","272369","0.0-3.0-1.47","brincar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","112","272879","0.0-3.0-0.48","+","null","","","","","",""
"","609","html-keyboard-response","113","273490","0.0-3.0-1.48","anjo","s","n","cog","word","S","exp","4"
"","null","html-keyboard-response","114","273994","0.0-3.0-0.49","+","null","","","","","",""
"","1176","html-keyboard-response","115","275172","0.0-3.0-1.49","esprotiar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","116","275682","0.0-3.0-0.50","+","null","","","","","",""
"","606","html-keyboard-response","117","276290","0.0-3.0-1.50","francês","s","a","cog","word","S","exp","7"
"","null","html-keyboard-response","118","276804","0.0-3.0-0.51","+","null","","","","","",""
"","1165","html-keyboard-response","119","277971","0.0-3.0-1.51","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","120","278486","0.0-3.0-0.52","+","null","","","","","",""
"","1463","html-keyboard-response","121","279950","0.0-3.0-1.52","crolatário","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","122","280454","0.0-3.0-0.53","+","null","","","","","",""
"","1119","html-keyboard-response","123","281575","0.0-3.0-1.53","ronronar","n","v","cog","word","S","exp","8"
"","null","html-keyboard-response","124","282087","0.0-3.0-0.54","+","null","","","","","",""
"","920","html-keyboard-response","125","283008","0.0-3.0-1.54","franda","s","null","noncog","pseudo","N","exp","null"
