"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":38071},{""page_index"":1,""viewing_time"":1698}]","39769","instructions","0","39774","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","40891","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2261","audio-keyboard-response","2","44076","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","5549","audio-keyboard-response","3","50309","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1291","audio-keyboard-response","4","52100","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1000","audio-keyboard-response","5","53475","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","949","audio-keyboard-response","6","54834","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1259","audio-keyboard-response","7","56628","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","880","audio-keyboard-response","8","57900","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","59164","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","349","audio-keyboard-response","10","60000","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1040","audio-keyboard-response","11","61437","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","989","audio-keyboard-response","12","62813","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","928","audio-keyboard-response","13","64111","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","808","audio-keyboard-response","14","65310","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","848","audio-keyboard-response","15","66584","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1051","audio-keyboard-response","16","68008","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1051","audio-keyboard-response","17","69442","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","6574","html-keyboard-response","18","76281","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":7697}]","7698","instructions","19","84484","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","85597","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","211","audio-keyboard-response","21","86320","0.0-3.0-1.0","../audio/41-1-fem.mp3"," ","","A","","","",""
