"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":2839}]","2839","instructions","0","2844","0.0-0.0","","","",""
"","null","html-keyboard-response","1","3463","0.0-1.0-0.0","+","null","",""
"","3800","audio-keyboard-response","2","7774","0.0-1.0-1.0","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","3","8289","0.0-1.0-0.1","+","null","",""
"","3240","audio-keyboard-response","4","11778","0.0-1.0-1.1","../audio/teste-vocab--95.mp3","s","submergir","plonje"
"","null","html-keyboard-response","5","12289","0.0-1.0-0.2","+","null","",""
"","2429","audio-keyboard-response","6","14976","0.0-1.0-1.2","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","7","15479","0.0-1.0-0.3","+","null","",""
"","2411","audio-keyboard-response","8","18152","0.0-1.0-1.3","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","9","18664","0.0-1.0-0.4","+","null","",""
"","1781","audio-keyboard-response","10","20789","0.0-1.0-1.4","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","11","21292","0.0-1.0-0.5","+","null","",""
"","1909","audio-keyboard-response","12","24656","0.0-1.0-1.5","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","13","25169","0.0-1.0-0.6","+","null","",""
"","2880","audio-keyboard-response","14","28264","0.0-1.0-1.6","../audio/teste-vocab--73.mp3","n","ângulo","ang"
"","null","html-keyboard-response","15","28775","0.0-1.0-0.7","+","null","",""
"","2520","audio-keyboard-response","16","31779","0.0-1.0-1.7","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","17","32285","0.0-1.0-0.8","+","null","",""
"","3680","audio-keyboard-response","18","36293","0.0-1.0-1.8","../audio/teste-vocab--127.mp3","n","côncavo","konkav"
"","null","html-keyboard-response","19","36804","0.0-1.0-0.9","+","null","",""
"","5389","audio-keyboard-response","20","42626","0.0-1.0-1.9","../audio/teste-vocab--67.mp3","n","corrimão","ranp"
"","null","html-keyboard-response","21","43132","0.0-1.0-0.10","+","null","",""
"","2549","audio-keyboard-response","22","45969","0.0-1.0-1.10","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","23","46474","0.0-1.0-0.11","+","null","",""
"","2360","audio-keyboard-response","24","49122","0.0-1.0-1.11","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","25","49634","0.0-1.0-0.12","+","null","",""
"","3600","audio-keyboard-response","26","53582","0.0-1.0-1.12","../audio/teste-vocab--19.mp3","n","hora","è"
"","null","html-keyboard-response","27","54086","0.0-1.0-0.13","+","null","",""
"","2269","audio-keyboard-response","28","56632","0.0-1.0-1.13","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","29","57149","0.0-1.0-0.14","+","null","",""
"","5101","audio-keyboard-response","30","62607","0.0-1.0-1.14","../audio/teste-vocab--94.mp3","n","paralelo","paralèl"
"","null","html-keyboard-response","31","63122","0.0-1.0-0.15","+","null","",""
"","2040","audio-keyboard-response","32","65521","0.0-1.0-1.15","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","33","66032","0.0-1.0-0.16","+","null","",""
"","1661","audio-keyboard-response","34","67997","0.0-1.0-1.16","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","35","68510","0.0-1.0-0.17","+","null","",""
"","2128","audio-keyboard-response","36","70935","0.0-1.0-1.17","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","37","71440","0.0-1.0-0.18","+","null","",""
"","1920","audio-keyboard-response","38","73626","0.0-1.0-1.18","../audio/teste-vocab--92.mp3","n","esférico","won"
"","null","html-keyboard-response","39","74127","0.0-1.0-0.19","+","null","",""
"","4120","audio-keyboard-response","40","78529","0.0-1.0-1.19","../audio/teste-vocab--89.mp3","n","classificar","klasifika"
"","null","html-keyboard-response","41","79040","0.0-1.0-0.20","+","null","",""
"","1909","audio-keyboard-response","42","81272","0.0-1.0-1.20","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","43","81788","0.0-1.0-0.21","+","null","",""
"","2251","audio-keyboard-response","44","84281","0.0-1.0-1.21","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","45","84785","0.0-1.0-0.22","+","null","",""
"","2579","audio-keyboard-response","46","87701","0.0-1.0-1.22","../audio/teste-vocab--04.mp3","n","roda","wonn"
"","null","html-keyboard-response","47","88213","0.0-1.0-0.23","+","null","",""
"","3672","audio-keyboard-response","48","92204","0.0-1.0-1.23","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","49","92713","0.0-1.0-0.24","+","null","",""
"","2040","audio-keyboard-response","50","94997","0.0-1.0-1.24","../audio/teste-vocab--129.mp3","s","elipse","elips"
"","null","html-keyboard-response","51","95509","0.0-1.0-0.25","+","null","",""
"","2059","audio-keyboard-response","52","97891","0.0-1.0-1.25","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","53","98405","0.0-1.0-0.26","+","null","",""
"","1960","audio-keyboard-response","54","100609","0.0-1.0-1.26","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","55","101124","0.0-1.0-0.27","+","null","",""
"","2141","audio-keyboard-response","56","103517","0.0-1.0-1.27","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","57","104030","0.0-1.0-0.28","+","null","",""
"","2320","audio-keyboard-response","58","106628","0.0-1.0-1.28","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","59","107133","0.0-1.0-0.29","+","null","",""
"","2120","audio-keyboard-response","60","109604","0.0-1.0-1.29","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","61","110117","0.0-1.0-0.30","+","null","",""
"","2301","audio-keyboard-response","62","112676","0.0-1.0-1.30","../audio/teste-vocab--17.mp3","n","móvel","mobil"
"","null","html-keyboard-response","63","113184","0.0-1.0-0.31","+","null","",""
"","2579","audio-keyboard-response","64","116528","0.0-1.0-1.31","../audio/teste-vocab--101.mp3","n","incandescente","enkandesan"
"","null","html-keyboard-response","65","117041","0.0-1.0-0.32","+","null","",""
"","6341","audio-keyboard-response","66","123526","0.0-1.0-1.32","../audio/teste-vocab--82.mp3","n","roer","ronje"
"","null","html-keyboard-response","67","124046","0.0-1.0-0.33","+","null","",""
"","3251","audio-keyboard-response","68","127507","0.0-1.0-1.33","../audio/teste-vocab--74.mp3","n","desilusão","dezilizyon"
"","null","html-keyboard-response","69","128014","0.0-1.0-0.34","+","null","",""
"","2269","audio-keyboard-response","70","130528","0.0-1.0-1.34","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","71","131031","0.0-1.0-0.35","+","null","",""
"","2451","audio-keyboard-response","72","133721","0.0-1.0-1.35","../audio/teste-vocab--10.mp3","n","corneta","kòn"
