"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":133301},{""page_index"":1,""viewing_time"":3864}]","137166","instructions","0","137165","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","138267","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","12040","html-keyboard-response","2","150558","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","4916","html-keyboard-response","3","155725","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","18885","html-keyboard-response","4","174861","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","4485","html-keyboard-response","5","179597","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","6004","html-keyboard-response","6","185853","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2806","html-keyboard-response","7","188909","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","4388","html-keyboard-response","8","193548","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","194800","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2289","html-keyboard-response","10","197340","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2148","html-keyboard-response","11","199740","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1798","html-keyboard-response","12","201788","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","2117","html-keyboard-response","13","204156","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","2213","html-keyboard-response","14","206620","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","2598","html-keyboard-response","15","209469","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","2820","html-keyboard-response","16","212540","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2180","html-keyboard-response","17","214972","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","32390","html-keyboard-response","18","247612","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":62595}]","62595","instructions","19","310709","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","311812","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5886","html-keyboard-response","21","317949","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","5557","html-keyboard-response","22","323757","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">texto</span>"," ","","exp-sent","texto","","",""
"","6053","html-keyboard-response","23","330061","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">trazia</span>"," ","","exp-sent","trazia","","",""
"","5669","html-keyboard-response","24","335981","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","15717","html-keyboard-response","25","351948","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">argumento</span>"," ","","exp-sent","argumento","","",""
"","4710","html-keyboard-response","26","356908","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">central</span>"," ","","exp-sent","central","","",""
"","34980","html-keyboard-response","27","392140","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","2965","html-keyboard-response","28","395355","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","16421","html-keyboard-response","29","412028","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">conversa.</span>"," ","","exp-sent","conversa.","","",""
"","null","html-keyboard-response","30","413281","0.0-3.0-0.9-0.9","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1617","html-keyboard-response","31","415148","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">Ontem</span>"," ","","exp-sent","Ontem","","",""
"","2293","html-keyboard-response","32","417692","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","25157","html-keyboard-response","33","443100","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">temperatura</span>"," ","","exp-sent","temperatura","","",""
"","4805","html-keyboard-response","34","448156","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","3412","html-keyboard-response","35","451820","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">amena</span>"," ","","exp-sent","amena","","",""
"","5301","html-keyboard-response","36","457372","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","7669","html-keyboard-response","37","465293","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","18005","html-keyboard-response","38","483547","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","39","484800","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","48800","html-keyboard-response","40","533851","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">Havia</span>"," ","","exp-sent","Havia","","",""
"","3413","html-keyboard-response","41","537515","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","19093","html-keyboard-response","42","556859","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">machucado</span>"," ","","exp-sent","machucado","","",""
"","3284","html-keyboard-response","43","560395","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","3669","html-keyboard-response","44","564315","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">dedo</span>"," ","","exp-sent","dedo","","",""
"","15125","html-keyboard-response","45","579691","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","63796","html-keyboard-response","46","643739","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">criança.</span>"," ","","exp-sent","criança.","","",""
"","null","html-keyboard-response","47","644992","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","7552","html-keyboard-response","48","652795","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","6469","html-keyboard-response","49","659515","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">borboleta</span>"," ","","exp-sent","borboleta","","",""
"","8261","html-keyboard-response","50","668027","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">pousou</span>"," ","","exp-sent","pousou","","",""
"","3141","html-keyboard-response","51","671419","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","3494","html-keyboard-response","52","675163","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">ombro</span>"," ","","exp-sent","ombro","","",""
"","7254","html-keyboard-response","53","682667","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">daquela</span>"," ","","exp-sent","daquela","","",""
"","26580","html-keyboard-response","54","709498","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">moça.</span>"," ","","exp-sent","moça.","","",""
"","null","html-keyboard-response","55","710751","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1776","html-keyboard-response","56","712778","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","4629","html-keyboard-response","57","717658","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">quero</span>"," ","","exp-sent","quero","","",""
"","2869","html-keyboard-response","58","720778","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","4453","html-keyboard-response","59","725482","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">namorado</span>"," ","","exp-sent","namorado","","",""
"","5573","html-keyboard-response","60","731306","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">honesto</span>"," ","","exp-sent","honesto","","",""
"","3061","html-keyboard-response","61","734618","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","29510","html-keyboard-response","62","764378","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">compreensivo.</span>"," ","","comp","compreensivo.","","",""
"","40997","html-keyboard-response","63","805626","0.0-3.0-2.37-0.37","<span style=""font-size:30px; font-family: monospace"">Eu quero um namorado honesto?</span>","s","","comp","","Eu quero um namorado honesto?","sim","false"
"","null","html-keyboard-response","64","807128","0.0-3.0-0.38-0.38","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","10535","html-keyboard-response","65","817914","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">Ursos</span>"," ","","exp-sent","Ursos","","",""
"","2997","html-keyboard-response","66","821162","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","2948","html-keyboard-response","67","824362","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","18885","html-keyboard-response","68","843498","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">patada</span>"," ","","exp-sent","patada","","",""
"","8501","html-keyboard-response","69","852250","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">brutal</span>"," ","","exp-sent","brutal","","",""
"","2900","html-keyboard-response","70","855402","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","51013","html-keyboard-response","71","906663","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">poderosa.</span>"," ","","exp-sent","poderosa.","","",""
"","null","html-keyboard-response","72","907914","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3889","html-keyboard-response","73","912054","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","4245","html-keyboard-response","74","916550","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">fiz</span>"," ","","exp-sent","fiz","","",""
"","3749","html-keyboard-response","75","920550","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">aulas</span>"," ","","exp-sent","aulas","","",""
"","3189","html-keyboard-response","76","923990","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","4757","html-keyboard-response","77","928998","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">espanhol</span>"," ","","exp-sent","espanhol","","",""
"","6405","html-keyboard-response","78","935654","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">nesta</span>"," ","","exp-sent","nesta","","",""
"","16885","html-keyboard-response","79","952790","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">cidade.</span>"," ","","exp-sent","cidade.","","",""
"","null","html-keyboard-response","80","954043","0.0-3.0-0.52-0.52","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5345","html-keyboard-response","81","959638","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","10773","html-keyboard-response","82","970662","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">comprou</span>"," ","","exp-sent","comprou","","",""
"","3124","html-keyboard-response","83","974037","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">mais</span>"," ","","exp-sent","mais","","",""
"","6469","html-keyboard-response","84","980758","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","6933","html-keyboard-response","85","987942","0.0-3.0-1.56","<span style=""font-size:30px; font-family: monospace"">esponja</span>"," ","","exp-sent","esponja","","",""
"","3493","html-keyboard-response","86","991685","0.0-3.0-1.57","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","2916","html-keyboard-response","87","994853","0.0-3.0-1.58","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","23963","html-keyboard-response","88","1019077","0.0-3.0-1.59","<span style=""font-size:30px; font-family: monospace"">cozinha.</span>"," ","","exp-sent","cozinha.","","",""
"","null","html-keyboard-response","89","1020330","0.0-3.0-0.60-0.60","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3665","html-keyboard-response","90","1024246","0.0-3.0-1.60","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","3188","html-keyboard-response","91","1027685","0.0-3.0-1.61","<span style=""font-size:30px; font-family: monospace"">teve</span>"," ","","exp-sent","teve","","",""
"","2933","html-keyboard-response","92","1030867","0.0-3.0-1.62","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","21685","html-keyboard-response","93","1052803","0.0-3.0-1.63","<span style=""font-size:30px; font-family: monospace"">sono</span>"," ","","exp-sent","sono","","",""
"","4565","html-keyboard-response","94","1057619","0.0-3.0-1.64","<span style=""font-size:30px; font-family: monospace"">bizarro</span>"," ","","exp-sent","bizarro","","",""
"","3093","html-keyboard-response","95","1060963","0.0-3.0-1.65","<span style=""font-size:30px; font-family: monospace"">sem</span>"," ","","exp-sent","sem","","",""
"","4405","html-keyboard-response","96","1065619","0.0-3.0-1.66","<span style=""font-size:30px; font-family: monospace"">nenhum</span>"," ","","exp-sent","nenhum","","",""
"","13090","html-keyboard-response","97","1078963","0.0-3.0-1.67","<span style=""font-size:30px; font-family: monospace"">motivo.</span>"," ","","exp-sent","motivo.","","",""
"","null","html-keyboard-response","98","1080215","0.0-3.0-0.68-0.68","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4225","html-keyboard-response","99","1084691","0.0-3.0-1.68","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","3780","html-keyboard-response","100","1088723","0.0-3.0-1.69","<span style=""font-size:30px; font-family: monospace"">moça</span>"," ","","exp-sent","moça","","",""
"","3365","html-keyboard-response","101","1092338","0.0-3.0-1.70","<span style=""font-size:30px; font-family: monospace"">comprou</span>"," ","","exp-sent","comprou","","",""
"","2806","html-keyboard-response","102","1095409","0.0-3.0-1.71","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
