"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":4695},{""page_index"":1,""viewing_time"":2944}]","7639","instructions","0","7640","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","8758","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4200","audio-keyboard-response","2","13248","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1811","audio-keyboard-response","3","15327","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2341","audio-keyboard-response","4","17935","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1859","audio-keyboard-response","5","20079","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1408","audio-keyboard-response","6","21759","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1640","audio-keyboard-response","7","23679","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","2080","audio-keyboard-response","8","26031","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","27309","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1669","audio-keyboard-response","10","29247","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1821","audio-keyboard-response","11","31343","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1779","audio-keyboard-response","12","33391","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1880","audio-keyboard-response","13","35535","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1259","audio-keyboard-response","14","37071","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1709","audio-keyboard-response","15","39055","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1389","audio-keyboard-response","16","40719","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2011","audio-keyboard-response","17","43007","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","24567","html-keyboard-response","18","67838","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":12664}]","12665","instructions","19","81006","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","82108","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3048","audio-keyboard-response","21","85517","0.0-3.0-1.0","../audio/51-1-fem.mp3"," ","","Suco","","","",""
"","1541","audio-keyboard-response","22","87342","0.0-3.0-1.1","../audio/51-2-fem.mp3"," ","","de","","","",""
"","2101","audio-keyboard-response","23","89709","0.0-3.0-1.2","../audio/51-3-fem.mp3"," ","","acerola","","","",""
"","1840","audio-keyboard-response","24","91822","0.0-3.0-1.3","../audio/51-4-fem.mp3"," ","","é","","","",""
"","2171","audio-keyboard-response","25","94270","0.0-3.0-1.4","../audio/51-5-fem.mp3"," ","","azedo","","","",""
"","1720","audio-keyboard-response","26","96270","0.0-3.0-1.5","../audio/51-6-fem.mp3"," ","","e","","","",""
"","1971","audio-keyboard-response","27","98510","0.0-3.0-1.6","../audio/51-7-fem.mp3"," ","","até","","","",""
"","1979","audio-keyboard-response","28","100765","0.0-3.0-1.7","../audio/51-8-fem.mp3"," ","","barato.","","","",""
"","null","html-keyboard-response","29","102030","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1288","audio-keyboard-response","30","103598","0.0-3.0-1.8","../audio/54-1-fem.mp3"," ","","Estou","","","",""
"","1120","audio-keyboard-response","31","104989","0.0-3.0-1.9","../audio/54-2-fem.mp3"," ","","com","","","",""
"","1571","audio-keyboard-response","32","106830","0.0-3.0-1.10","../audio/54-3-fem.mp3"," ","","medo","","","",""
"","1960","audio-keyboard-response","33","109070","0.0-3.0-1.11","../audio/54-4-fem.mp3"," ","","da","","","",""
"","2000","audio-keyboard-response","34","111342","0.0-3.0-1.12","../audio/54-5-fem.mp3"," ","","atual","","","",""
"","2349","audio-keyboard-response","35","113965","0.0-3.0-1.13","../audio/54-6-fem.mp3"," ","","organização","","","",""
"","1880","audio-keyboard-response","36","116110","0.0-3.0-1.14","../audio/54-7-fem.mp3"," ","","do","","","",""
"","2979","audio-keyboard-response","37","119358","0.0-3.0-1.15","../audio/54-8-fem.mp3"," ","","país.","","","",""
"","null","html-keyboard-response","38","120624","0.0-3.0-0.16-0.16","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1571","audio-keyboard-response","39","122462","0.0-3.0-1.16","../audio/53-1-fem.mp3"," ","","O","","","",""
"","1971","audio-keyboard-response","40","124702","0.0-3.0-1.17","../audio/53-2-fem.mp3"," ","","médico","","","",""
"","1509","audio-keyboard-response","41","126494","0.0-3.0-1.18","../audio/53-3-fem.mp3"," ","","foi","","","",""
"","1851","audio-keyboard-response","42","128620","0.0-3.0-1.19","../audio/53-4-fem.mp3"," ","","bastante","","","",""
"","1920","audio-keyboard-response","43","130828","0.0-3.0-1.20","../audio/53-5-fem.mp3"," ","","preciso","","","",""
"","2291","audio-keyboard-response","44","133388","0.0-3.0-1.21","../audio/53-6-fem.mp3"," ","","durante","","","",""
"","1368","audio-keyboard-response","45","135036","0.0-3.0-1.22","../audio/53-7-fem.mp3"," ","","a","","","",""
"","1840","audio-keyboard-response","46","137148","0.0-3.0-1.23","../audio/53-8-fem.mp3"," ","","cirurgia.","","","",""
"","null","html-keyboard-response","47","138400","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2101","audio-keyboard-response","48","140780","0.0-3.0-1.24","../audio/52-1-masc.mp3"," ","","Às","","","",""
"","1499","audio-keyboard-response","49","142556","0.0-3.0-1.25","../audio/52-2-masc.mp3"," ","","vezes","","","",""
"","1139","audio-keyboard-response","50","143964","0.0-3.0-1.26","../audio/52-3-masc.mp3"," ","","eu","","","",""
"","1261","audio-keyboard-response","51","145500","0.0-3.0-1.27","../audio/52-4-masc.mp3"," ","","tenho","","","",""
"","1560","audio-keyboard-response","52","147340","0.0-3.0-1.28","../audio/52-5-masc.mp3"," ","","azia","","","",""
"","1451","audio-keyboard-response","53","149068","0.0-3.0-1.29","../audio/52-6-masc.mp3"," ","","depois","","","",""
"","1280","audio-keyboard-response","54","150604","0.0-3.0-1.30","../audio/52-7-masc.mp3"," ","","da","","","",""
"","2931","audio-keyboard-response","55","153804","0.0-3.0-1.31","../audio/52-8-masc.mp3"," ","","janta.","","","",""
"","null","html-keyboard-response","56","155063","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1509","audio-keyboard-response","57","156844","0.0-3.0-1.32","../audio/55-1-fem.mp3"," ","","O","","","",""
"","1851","audio-keyboard-response","58","158972","0.0-3.0-1.33","../audio/55-2-fem.mp3"," ","","insulto","","","",""
"","2840","audio-keyboard-response","59","162076","0.0-3.0-1.34","../audio/55-3-fem.mp3"," ","","recente","","","",""
