"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":26876}]","26876","instructions","0","26877","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","27499","0.0-1.0-0.0","+","null","","","","","",""
"","5346","html-keyboard-response","2","32845","0.0-1.0-1.0","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","33347","0.0-1.0-0.1","+","null","","","","","",""
"","3593","html-keyboard-response","4","36940","0.0-1.0-1.1","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","37441","0.0-1.0-0.2","+","null","","","","","",""
"","3611","html-keyboard-response","6","41052","0.0-1.0-1.2","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","41553","0.0-1.0-0.3","+","null","","","","","",""
"","6123","html-keyboard-response","8","47677","0.0-1.0-1.3","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","48178","0.0-1.0-0.4","+","null","","","","","",""
"","2618","html-keyboard-response","10","50796","0.0-1.0-1.4","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","51297","0.0-1.0-0.5","+","null","","","","","",""
"","4795","html-keyboard-response","12","56092","0.0-1.0-1.5","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","56593","0.0-1.0-0.6","+","null","","","","","",""
"","5355","html-keyboard-response","14","61947","0.0-1.0-1.6","plibar","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":9080}]","9080","instructions","15","71028","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","71629","0.0-3.0-0.0","+","null","","","","","",""
"","3278","html-keyboard-response","17","74907","0.0-3.0-1.0","tela","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","18","75410","0.0-3.0-0.1","+","null","","","","","",""
"","2136","html-keyboard-response","19","77547","0.0-3.0-1.1","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","20","78048","0.0-3.0-0.2","+","null","","","","","",""
"","3034","html-keyboard-response","21","81083","0.0-3.0-1.2","chorão","s","a","noncog","word","S","exp","6"
"","null","html-keyboard-response","22","81583","0.0-3.0-0.3","+","null","","","","","",""
"","3131","html-keyboard-response","23","84715","0.0-3.0-1.3","filme","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","24","85216","0.0-3.0-0.4","+","null","","","","","",""
"","3162","html-keyboard-response","25","88379","0.0-3.0-1.4","fasdas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","88880","0.0-3.0-0.5","+","null","","","","","",""
"","2538","html-keyboard-response","27","91419","0.0-3.0-1.5","aparme","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","91919","0.0-3.0-0.6","+","null","","","","","",""
"","2107","html-keyboard-response","29","94027","0.0-3.0-1.6","verde","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","30","94529","0.0-3.0-0.7","+","null","","","","","",""
"","5082","html-keyboard-response","31","99611","0.0-3.0-1.7","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","32","100112","0.0-3.0-0.8","+","null","","","","","",""
"","2618","html-keyboard-response","33","102731","0.0-3.0-1.8","verdade","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","34","103231","0.0-3.0-0.9","+","null","","","","","",""
"","2139","html-keyboard-response","35","105371","0.0-3.0-1.9","tinta","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","36","105872","0.0-3.0-0.10","+","null","","","","","",""
"","4347","html-keyboard-response","37","110219","0.0-3.0-1.10","berquesa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","110720","0.0-3.0-0.11","+","null","","","","","",""
"","2170","html-keyboard-response","39","112891","0.0-3.0-1.11","liberal","s","a","cog","word","S","exp","7"
"","null","html-keyboard-response","40","113396","0.0-3.0-0.12","+","null","","","","","",""
"","2103","html-keyboard-response","41","115499","0.0-3.0-1.12","chato","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","42","116000","0.0-3.0-0.13","+","null","","","","","",""
"","2314","html-keyboard-response","43","118315","0.0-3.0-1.13","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","44","118816","0.0-3.0-0.14","+","null","","","","","",""
"","2346","html-keyboard-response","45","121163","0.0-3.0-1.14","espionar","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","46","121664","0.0-3.0-0.15","+","null","","","","","",""
"","2378","html-keyboard-response","47","124042","0.0-3.0-1.15","sanque","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","124543","0.0-3.0-0.16","+","null","","","","","",""
