"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":35711}]","35712","instructions","0","35711","0.0-0.0","","","",""
"","null","html-keyboard-response","1","36314","0.0-1.0-0.0","+","null","",""
"","4472","audio-keyboard-response","2","40896","0.0-1.0-1.0","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","3","41410","0.0-1.0-0.1","+","null","",""
"","2152","audio-keyboard-response","4","43583","0.0-1.0-1.1","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","5","44094","0.0-1.0-0.2","+","null","",""
"","2331","audio-keyboard-response","6","46447","0.0-1.0-1.2","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","7","46958","0.0-1.0-0.3","+","null","",""
"","2069","audio-keyboard-response","8","49055","0.0-1.0-1.3","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","9","49562","0.0-1.0-0.4","+","null","",""
"","1451","audio-keyboard-response","10","51039","0.0-1.0-1.4","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","11","51554","0.0-1.0-0.5","+","null","",""
"","1339","audio-keyboard-response","12","52911","0.0-1.0-1.5","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","13","53425","0.0-1.0-0.6","+","null","",""
"","1459","audio-keyboard-response","14","54911","0.0-1.0-1.6","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","15","55424","0.0-1.0-0.7","+","null","",""
"","2091","audio-keyboard-response","16","57535","0.0-1.0-1.7","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","17","58039","0.0-1.0-0.8","+","null","",""
"","1600","audio-keyboard-response","18","59663","0.0-1.0-1.8","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","19","60174","0.0-1.0-0.9","+","null","",""
"","3851","audio-keyboard-response","20","64047","0.0-1.0-1.9","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","21","64553","0.0-1.0-0.10","+","null","",""
"","1299","audio-keyboard-response","22","65871","0.0-1.0-1.10","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","23","66372","0.0-1.0-0.11","+","null","",""
"","2491","audio-keyboard-response","24","68879","0.0-1.0-1.11","../audio/teste-vocab--124.mp3","n","obelisco","obelisk"
"","null","html-keyboard-response","25","69393","0.0-1.0-0.12","+","null","",""
"","2000","audio-keyboard-response","26","71423","0.0-1.0-1.12","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","27","71935","0.0-1.0-0.13","+","null","",""
"","2101","audio-keyboard-response","28","74063","0.0-1.0-1.13","../audio/teste-vocab--129.mp3","s","elipse","elips"
"","null","html-keyboard-response","29","74572","0.0-1.0-0.14","+","null","",""
"","1472","audio-keyboard-response","30","76063","0.0-1.0-1.14","../audio/teste-vocab--12.mp3","s","jaula","kaj"
"","null","html-keyboard-response","31","76565","0.0-1.0-0.15","+","null","",""
"","1848","audio-keyboard-response","32","78431","0.0-1.0-1.15","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","33","78932","0.0-1.0-0.16","+","null","",""
"","1640","audio-keyboard-response","34","80591","0.0-1.0-1.16","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","35","81106","0.0-1.0-0.17","+","null","",""
"","1531","audio-keyboard-response","36","82655","0.0-1.0-1.17","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","37","83166","0.0-1.0-0.18","+","null","",""
"","1589","audio-keyboard-response","38","84799","0.0-1.0-1.18","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","39","85309","0.0-1.0-0.19","+","null","",""
"","1931","audio-keyboard-response","40","87263","0.0-1.0-1.19","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","41","87770","0.0-1.0-0.20","+","null","",""
"","1520","audio-keyboard-response","42","89311","0.0-1.0-1.20","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","43","89819","0.0-1.0-0.21","+","null","",""
"","2011","audio-keyboard-response","44","91838","0.0-1.0-1.21","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","45","92346","0.0-1.0-0.22","+","null","",""
"","1971","audio-keyboard-response","46","94334","0.0-1.0-1.22","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","47","94848","0.0-1.0-0.23","+","null","",""
"","1851","audio-keyboard-response","48","96718","0.0-1.0-1.23","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","49","97223","0.0-1.0-0.24","+","null","",""
"","1509","audio-keyboard-response","50","98750","0.0-1.0-1.24","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","51","99257","0.0-1.0-0.25","+","null","",""
"","1539","audio-keyboard-response","52","100830","0.0-1.0-1.25","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","53","101335","0.0-1.0-0.26","+","null","",""
"","1331","audio-keyboard-response","54","102686","0.0-1.0-1.26","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","55","103190","0.0-1.0-0.27","+","null","",""
"","1331","audio-keyboard-response","56","104542","0.0-1.0-1.27","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
