"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":71614}]","71614","instructions","0","71617","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","72241","0.0-1.0-0.0","+","null","","","","","",""
"","1834","html-keyboard-response","2","74078","0.0-1.0-1.0","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","74586","0.0-1.0-0.1","+","null","","","","","",""
"","1759","html-keyboard-response","4","76346","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","76860","0.0-1.0-0.2","+","null","","","","","",""
"","1431","html-keyboard-response","6","78292","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","78807","0.0-1.0-0.3","+","null","","","","","",""
"","731","html-keyboard-response","8","79538","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","80040","0.0-1.0-0.4","+","null","","","","","",""
"","856","html-keyboard-response","10","80898","0.0-1.0-1.4","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","81415","0.0-1.0-0.5","+","null","","","","","",""
"","1308","html-keyboard-response","12","82724","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","83228","0.0-1.0-0.6","+","null","","","","","",""
"","1742","html-keyboard-response","14","84973","0.0-1.0-1.6","chassi","n","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":59750}]","59750","instructions","15","144724","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","145343","0.0-3.0-0.0","+","null","","","","","",""
"","930","html-keyboard-response","17","146275","0.0-3.0-1.0","tio","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","18","146778","0.0-3.0-0.1","+","null","","","","","",""
"","912","html-keyboard-response","19","147692","0.0-3.0-1.1","grótis","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","148203","0.0-3.0-0.2","+","null","","","","","",""
"","727","html-keyboard-response","21","148931","0.0-3.0-1.2","papai","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","22","149448","0.0-3.0-0.3","+","null","","","","","",""
"","643","html-keyboard-response","23","150091","0.0-3.0-1.3","jantar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","24","150602","0.0-3.0-0.4","+","null","","","","","",""
"","851","html-keyboard-response","25","151455","0.0-3.0-1.4","encelhor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","151970","0.0-3.0-0.5","+","null","","","","","",""
"","598","html-keyboard-response","27","152569","0.0-3.0-1.5","carro","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","28","153081","0.0-3.0-0.6","+","null","","","","","",""
"","661","html-keyboard-response","29","153744","0.0-3.0-1.6","mudança","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","30","154260","0.0-3.0-0.7","+","null","","","","","",""
"","851","html-keyboard-response","31","155111","0.0-3.0-1.7","enxarto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","155620","0.0-3.0-0.8","+","null","","","","","",""
"","641","html-keyboard-response","33","156261","0.0-3.0-1.8","agravar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","34","156774","0.0-3.0-0.9","+","null","","","","","",""
"","923","html-keyboard-response","35","157697","0.0-3.0-1.9","ensuas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","158206","0.0-3.0-0.10","+","null","","","","","",""
"","559","html-keyboard-response","37","158766","0.0-3.0-1.10","destino","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","38","159281","0.0-3.0-0.11","+","null","","","","","",""
"","604","html-keyboard-response","39","159884","0.0-3.0-1.11","distraído","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","40","160395","0.0-3.0-0.12","+","null","","","","","",""
"","929","html-keyboard-response","41","161325","0.0-3.0-1.12","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","42","161833","0.0-3.0-0.13","+","null","","","","","",""
"","850","html-keyboard-response","43","162684","0.0-3.0-1.13","dobradiça","n","n","noncog","word","S","exp","9"
"","null","html-keyboard-response","44","163189","0.0-3.0-0.14","+","null","","","","","",""
"","872","html-keyboard-response","45","164062","0.0-3.0-1.14","socorro","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","46","164564","0.0-3.0-0.15","+","null","","","","","",""
"","711","html-keyboard-response","47","165275","0.0-3.0-1.15","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","48","165776","0.0-3.0-0.16","+","null","","","","","",""
"","788","html-keyboard-response","49","166564","0.0-3.0-1.16","espionar","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","50","167069","0.0-3.0-0.17","+","null","","","","","",""
"","674","html-keyboard-response","51","167743","0.0-3.0-1.17","matinal","s","a","cog","word","S","exp","7"
"","null","html-keyboard-response","52","168249","0.0-3.0-0.18","+","null","","","","","",""
"","1243","html-keyboard-response","53","169493","0.0-3.0-1.18","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","54","169999","0.0-3.0-0.19","+","null","","","","","",""
"","683","html-keyboard-response","55","170682","0.0-3.0-1.19","chorão","s","a","noncog","word","S","exp","6"
"","null","html-keyboard-response","56","171198","0.0-3.0-0.20","+","null","","","","","",""
"","533","html-keyboard-response","57","171732","0.0-3.0-1.20","trabalhar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","58","172238","0.0-3.0-0.21","+","null","","","","","",""
"","579","html-keyboard-response","59","172817","0.0-3.0-1.21","cenada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","173333","0.0-3.0-0.22","+","null","","","","","",""
"","1135","html-keyboard-response","61","174469","0.0-3.0-1.22","morija","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","174969","0.0-3.0-0.23","+","null","","","","","",""
"","1445","html-keyboard-response","63","176416","0.0-3.0-1.23","mua","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","176919","0.0-3.0-0.24","+","null","","","","","",""
"","1193","html-keyboard-response","65","178113","0.0-3.0-1.24","dipata","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","178618","0.0-3.0-0.25","+","null","","","","","",""
"","2168","html-keyboard-response","67","180787","0.0-3.0-1.25","braras","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","181300","0.0-3.0-0.26","+","null","","","","","",""
"","683","html-keyboard-response","69","181984","0.0-3.0-1.26","carona","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","70","182500","0.0-3.0-0.27","+","null","","","","","",""
"","612","html-keyboard-response","71","183113","0.0-3.0-1.27","anjo","s","n","cog","word","S","exp","4"
"","null","html-keyboard-response","72","183621","0.0-3.0-0.28","+","null","","","","","",""
"","1074","html-keyboard-response","73","184696","0.0-3.0-1.28","casuas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","74","185200","0.0-3.0-0.29","+","null","","","","","",""
"","1073","html-keyboard-response","75","186273","0.0-3.0-1.29","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","76","186777","0.0-3.0-0.30","+","null","","","","","",""
"","755","html-keyboard-response","77","187532","0.0-3.0-1.30","dia","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","78","188039","0.0-3.0-0.31","+","null","","","","","",""
"","863","html-keyboard-response","79","188903","0.0-3.0-1.31","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","80","189412","0.0-3.0-0.32","+","null","","","","","",""
"","724","html-keyboard-response","81","190137","0.0-3.0-1.32","sábio","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","82","190640","0.0-3.0-0.33","+","null","","","","","",""
"","549","html-keyboard-response","83","191190","0.0-3.0-1.33","memória","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","84","191693","0.0-3.0-0.34","+","null","","","","","",""
"","740","html-keyboard-response","85","192434","0.0-3.0-1.34","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","86","192938","0.0-3.0-0.35","+","null","","","","","",""
"","653","html-keyboard-response","87","193592","0.0-3.0-1.35","cápsula","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","88","194103","0.0-3.0-0.36","+","null","","","","","",""
"","967","html-keyboard-response","89","195070","0.0-3.0-1.36","pangos","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","90","195582","0.0-3.0-0.37","+","null","","","","","",""
"","1086","html-keyboard-response","91","196669","0.0-3.0-1.37","vitrive","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","92","197172","0.0-3.0-0.38","+","null","","","","","",""
"","901","html-keyboard-response","93","198074","0.0-3.0-1.38","franda","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","94","198588","0.0-3.0-0.39","+","null","","","","","",""
"","1040","html-keyboard-response","95","199628","0.0-3.0-1.39","prenas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","96","200132","0.0-3.0-0.40","+","null","","","","","",""
"","748","html-keyboard-response","97","200881","0.0-3.0-1.40","bambu","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","98","201389","0.0-3.0-0.41","+","null","","","","","",""
"","1699","html-keyboard-response","99","203091","0.0-3.0-1.41","senareta","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","100","203606","0.0-3.0-0.42","+","null","","","","","",""
"","709","html-keyboard-response","101","204316","0.0-3.0-1.42","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","102","204818","0.0-3.0-0.43","+","null","","","","","",""
"","840","html-keyboard-response","103","205658","0.0-3.0-1.43","terdia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","206170","0.0-3.0-0.44","+","null","","","","","",""
"","875","html-keyboard-response","105","207046","0.0-3.0-1.44","risbos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","106","207553","0.0-3.0-0.45","+","null","","","","","",""
"","1254","html-keyboard-response","107","208807","0.0-3.0-1.45","burtos","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","108","209312","0.0-3.0-0.46","+","null","","","","","",""
"","783","html-keyboard-response","109","210096","0.0-3.0-1.46","aitrou","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","110","210599","0.0-3.0-0.47","+","null","","","","","",""
"","981","html-keyboard-response","111","211581","0.0-3.0-1.47","bracos","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","112","212092","0.0-3.0-0.48","+","null","","","","","",""
"","901","html-keyboard-response","113","212994","0.0-3.0-1.48","frotes","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","114","213507","0.0-3.0-0.49","+","null","","","","","",""
"","1010","html-keyboard-response","115","214518","0.0-3.0-1.49","bibarconato","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","116","215031","0.0-3.0-0.50","+","null","","","","","",""
"","854","html-keyboard-response","117","215884","0.0-3.0-1.50","preferir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","118","216398","0.0-3.0-0.51","+","null","","","","","",""
"","675","html-keyboard-response","119","217075","0.0-3.0-1.51","ocinto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","120","217577","0.0-3.0-0.52","+","null","","","","","",""
"","680","html-keyboard-response","121","218258","0.0-3.0-1.52","promessa","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","122","218770","0.0-3.0-0.53","+","null","","","","","",""
"","924","html-keyboard-response","123","219694","0.0-3.0-1.53","extravagante","s","a","cog","word","S","exp","12"
"","null","html-keyboard-response","124","220201","0.0-3.0-0.54","+","null","","","","","",""
"","1066","html-keyboard-response","125","221268","0.0-3.0-1.54","bachir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","126","221771","0.0-3.0-0.55","+","null","","","","","",""
"","1077","html-keyboard-response","127","222850","0.0-3.0-1.55","tatear","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","128","223358","0.0-3.0-0.56","+","null","","","","","",""
"","1321","html-keyboard-response","129","224681","0.0-3.0-1.56","atitro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","130","225196","0.0-3.0-0.57","+","null","","","","","",""
"","611","html-keyboard-response","131","225809","0.0-3.0-1.57","agressivo","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","132","226310","0.0-3.0-0.58","+","null","","","","","",""
"","996","html-keyboard-response","133","227306","0.0-3.0-1.58","aemaça","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","134","227819","0.0-3.0-0.59","+","null","","","","","",""
"","755","html-keyboard-response","135","228573","0.0-3.0-1.59","raspar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","136","229077","0.0-3.0-0.60","+","null","","","","","",""
"","841","html-keyboard-response","137","229918","0.0-3.0-1.60","rédesa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","138","230428","0.0-3.0-0.61","+","null","","","","","",""
"","1015","html-keyboard-response","139","231442","0.0-3.0-1.61","berquesa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","140","231953","0.0-3.0-0.62","+","null","","","","","",""
"","610","html-keyboard-response","141","232563","0.0-3.0-1.62","mal","s","a","cog","word","S","exp","3"
"","null","html-keyboard-response","142","233068","0.0-3.0-0.63","+","null","","","","","",""
"","898","html-keyboard-response","143","233966","0.0-3.0-1.63","mabras","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","144","234479","0.0-3.0-0.64","+","null","","","","","",""
"","938","html-keyboard-response","145","235417","0.0-3.0-1.64","manais","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","146","235925","0.0-3.0-0.65","+","null","","","","","",""
"","725","html-keyboard-response","147","236650","0.0-3.0-1.65","verde","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","148","237166","0.0-3.0-0.66","+","null","","","","","",""
"","689","html-keyboard-response","149","237856","0.0-3.0-1.66","reduzir","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","150","238361","0.0-3.0-0.67","+","null","","","","","",""
"","673","html-keyboard-response","151","239035","0.0-3.0-1.67","gordo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","152","239541","0.0-3.0-0.68","+","null","","","","","",""
"","603","html-keyboard-response","153","240145","0.0-3.0-1.68","drama","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","154","240656","0.0-3.0-0.69","+","null","","","","","",""
"","880","html-keyboard-response","155","241536","0.0-3.0-1.69","oricia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","156","242039","0.0-3.0-0.70","+","null","","","","","",""
"","515","html-keyboard-response","157","242554","0.0-3.0-1.70","cristal","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","158","243061","0.0-3.0-0.71","+","null","","","","","",""
"","726","html-keyboard-response","159","243787","0.0-3.0-1.71","morar","s","v","noncog","word","S","exp","5"
"","null","html-keyboard-response","160","244302","0.0-3.0-0.72","+","null","","","","","",""
