"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":109885},{""page_index"":1,""viewing_time"":15657}]","125542","instructions","0","125545","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","126676","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3099","audio-keyboard-response","2","130894","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1240","audio-keyboard-response","3","132558","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1240","audio-keyboard-response","4","134161","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1080","audio-keyboard-response","5","135590","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","941","audio-keyboard-response","6","136872","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1120","audio-keyboard-response","7","138344","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1429","audio-keyboard-response","8","140112","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","141379","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","989","audio-keyboard-response","10","142756","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","829","audio-keyboard-response","11","143939","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1120","audio-keyboard-response","12","145409","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1120","audio-keyboard-response","13","146880","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","891","audio-keyboard-response","14","148115","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1251","audio-keyboard-response","15","149715","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","819","audio-keyboard-response","16","150864","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1200","audio-keyboard-response","17","152411","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","2298","html-keyboard-response","18","154971","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":26722}]","26722","instructions","19","182196","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","183316","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1360","audio-keyboard-response","21","185078","0.0-3.0-1.0","../audio/51-1-fem.mp3"," ","","Suco","","","",""
"","960","audio-keyboard-response","22","186399","0.0-3.0-1.1","../audio/51-2-fem.mp3"," ","","de","","","",""
"","1520","audio-keyboard-response","23","188270","0.0-3.0-1.2","../audio/51-3-fem.mp3"," ","","acerola","","","",""
"","931","audio-keyboard-response","24","189522","0.0-3.0-1.3","../audio/51-4-fem.mp3"," ","","é","","","",""
