"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":18996}]","18996","instructions","0","19001","0.0-0.0","","","",""
"","null","html-keyboard-response","1","19620","0.0-1.0-0.0","+","null","",""
"","4992","audio-keyboard-response","2","25177","0.0-1.0-1.0","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","3","25693","0.0-1.0-0.1","+","null","",""
"","2459","audio-keyboard-response","4","28240","0.0-1.0-1.1","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","5","28753","0.0-1.0-0.2","+","null","",""
"","1979","audio-keyboard-response","6","30805","0.0-1.0-1.2","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","7","31315","0.0-1.0-0.3","+","null","",""
"","3171","audio-keyboard-response","8","34561","0.0-1.0-1.3","../audio/teste-vocab--83.mp3","n","morsa","mòs"
"","null","html-keyboard-response","9","35068","0.0-1.0-0.4","+","null","",""
"","2720","audio-keyboard-response","10","37862","0.0-1.0-1.4","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","11","38374","0.0-1.0-0.5","+","null","",""
"","2960","audio-keyboard-response","12","41419","0.0-1.0-1.5","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","13","41927","0.0-1.0-0.6","+","null","",""
"","2389","audio-keyboard-response","14","44399","0.0-1.0-1.6","../audio/teste-vocab--105.mp3","s","cítrico","sitrik"
"","null","html-keyboard-response","15","44914","0.0-1.0-0.7","+","null","",""
"","2640","audio-keyboard-response","16","47632","0.0-1.0-1.7","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","17","48142","0.0-1.0-0.8","+","null","",""
"","2131","audio-keyboard-response","18","50348","0.0-1.0-1.8","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","19","50849","0.0-1.0-0.9","+","null","",""
"","2691","audio-keyboard-response","20","53579","0.0-1.0-1.9","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","21","54098","0.0-1.0-0.10","+","null","",""
"","2739","audio-keyboard-response","22","56911","0.0-1.0-1.10","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","23","57412","0.0-1.0-0.11","+","null","",""
"","2432","audio-keyboard-response","24","60027","0.0-1.0-1.11","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","25","60536","0.0-1.0-0.12","+","null","",""
"","2400","audio-keyboard-response","26","63007","0.0-1.0-1.12","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","27","63523","0.0-1.0-0.13","+","null","",""
"","2360","audio-keyboard-response","28","65921","0.0-1.0-1.13","../audio/teste-vocab--05.mp3","s","limpar","netwaye"
"","null","html-keyboard-response","29","66435","0.0-1.0-0.14","+","null","",""
"","2640","audio-keyboard-response","30","69150","0.0-1.0-1.14","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","31","69657","0.0-1.0-0.15","+","null","",""
"","2349","audio-keyboard-response","32","72084","0.0-1.0-1.15","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","33","72594","0.0-1.0-0.16","+","null","",""
"","2301","audio-keyboard-response","34","74976","0.0-1.0-1.16","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","35","75493","0.0-1.0-0.17","+","null","",""
"","1792","audio-keyboard-response","36","77348","0.0-1.0-1.17","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","37","77853","0.0-1.0-0.18","+","null","",""
"","1941","audio-keyboard-response","38","79869","0.0-1.0-1.18","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","39","80386","0.0-1.0-0.19","+","null","",""
"","3211","audio-keyboard-response","40","83663","0.0-1.0-1.19","../audio/teste-vocab--70.mp3","n","funil","antónwa"
"","null","html-keyboard-response","41","84183","0.0-1.0-0.20","+","null","",""
"","1989","audio-keyboard-response","42","86249","0.0-1.0-1.20","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","43","86763","0.0-1.0-0.21","+","null","",""
"","1952","audio-keyboard-response","44","88781","0.0-1.0-1.21","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","45","89285","0.0-1.0-0.22","+","null","",""
"","2280","audio-keyboard-response","46","91655","0.0-1.0-1.22","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","47","92156","0.0-1.0-0.23","+","null","",""
"","1931","audio-keyboard-response","48","94162","0.0-1.0-1.23","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","49","94670","0.0-1.0-0.24","+","null","",""
"","2328","audio-keyboard-response","50","97074","0.0-1.0-1.24","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","51","97591","0.0-1.0-0.25","+","null","",""
"","1979","audio-keyboard-response","52","99636","0.0-1.0-1.25","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","53","100146","0.0-1.0-0.26","+","null","",""
"","1640","audio-keyboard-response","54","101850","0.0-1.0-1.26","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","55","102356","0.0-1.0-0.27","+","null","",""
"","1589","audio-keyboard-response","56","104014","0.0-1.0-1.27","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","57","104515","0.0-1.0-0.28","+","null","",""
"","1680","audio-keyboard-response","58","106265","0.0-1.0-1.28","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","59","106774","0.0-1.0-0.29","+","null","",""
"","1621","audio-keyboard-response","60","108460","0.0-1.0-1.29","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","61","108973","0.0-1.0-0.30","+","null","",""
"","1931","audio-keyboard-response","62","110981","0.0-1.0-1.30","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","63","111489","0.0-1.0-0.31","+","null","",""
"","1760","audio-keyboard-response","64","113313","0.0-1.0-1.31","../audio/teste-vocab--02.mp3","s","homem","gason"
