"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":31904}]","31905","instructions","0","31909","0.0-0.0","",""
"","4481","survey-text","1","36511","0.0-1.0","{""age"":""18""}",""
"","4803","survey-multi-choice","2","41433","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","13651","survey-multi-choice","3","55194","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","14444","survey-multi-choice","4","69747","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","7316","survey-multi-choice","5","77175","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","285385","survey-html-form","6","362672","0.0-6.0","{""language_0"":""espanhol"",""listening_0"":""6"",""speaking_0"":""7"",""reading_0"":""6"",""writing_0"":""6"",""language_1"":""crioulo haitiano"",""listening_1"":""1"",""speaking_1"":""2"",""reading_1"":""3"",""writing_1"":""3"",""language_2"":""português"",""listening_2"":""12"",""speaking_2"":""13"",""reading_2"":""12"",""writing_2"":""12"",""language_3"":""francês"",""listening_3"":""3"",""speaking_3"":""3"",""reading_3"":""3"",""writing_3"":""3""}",""
"","747142","survey-html-form","7","1109924","0.0-7.0","{""language_3"":""F"",""listening_3"":""3"",""speaking_3"":""3"",""reading_3"":""2"",""writing_3"":""2"",""language_1"":""C"",""listening_1"":""2"",""speaking_1"":""2"",""reading_1"":""1"",""writing_1"":""2"",""language_2"":""P"",""listening_2"":""1"",""speaking_2"":""1"",""reading_2"":""1"",""writing_2"":""1""}",""
"","38764","survey-text","8","1148808","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","19747","survey-text","9","1168663","0.0-9.0","{""country_of_residence"":""Brasil 2017""}",""
"","106762","survey-html-form","10","1275537","0.0-10.0","{""country_0"":""Argentina"",""duration_0"":""3"",""language_0"":""espanhol"",""frequency_0"":""5"",""country_1"":""Argentina"",""duration_1"":""3"",""language_1"":""crioulo haitiano"",""frequency_1"":""4"",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","94143","survey-html-form","11","1369786","0.0-11.0","{""language_0"":""E"",""context_0"":""1,2,3"",""language_1"":""C"",""context_1"":""1,2"",""language_2"":""P"",""context_2"":""1,2"",""language_3"":""F"",""context_3"":""1,2,3""}",""
"","323692","survey-html-form","12","1693588","0.0-12.0","{""language_0"":""E"",""home_0"":""-"",""friends_0"":""-"",""school_0"":""6"",""work_0"":""-"",""computer_0"":""-"",""games_0"":""13"",""language_1"":""C"",""home_1"":""1"",""friends_1"":""6"",""school_1"":""-"",""work_1"":""-"",""computer_1"":""-"",""games_1"":""-"",""language_2"":""P"",""home_2"":""-"",""friends_2"":""14"",""school_2"":""12"",""work_2"":""-"",""computer_2"":""12"",""games_2"":""13"",""language_3"":""F"",""home_3"":""-"",""friends_3"":""-"",""school_3"":""6"",""work_3"":""-"",""computer_3"":""5"",""games_3"":""14""}",""
"","106621","survey-likert","13","1800328","0.0-13.0","{""new_languages"":5}","[0]"
"","208124","survey-html-form","14","2008564","0.0-14.0","{""language_0"":""E"",""listen_0"":""6"",""talk_0"":""5"",""read_0"":""7"",""write_0"":""6"",""language_1"":""C"",""listen_1"":""7"",""talk_1"":""5"",""read_1"":""6"",""write_1"":""5"",""language_2"":""P"",""listen_2"":""5"",""talk_2"":""6"",""read_2"":""6"",""write_2"":""6"",""language_3"":""F"",""listen_3"":""5"",""talk_3"":""4"",""read_3"":""5"",""write_3"":""6""}",""
"","439344","survey-html-form","15","2448018","0.0-15.0","{""language_0"":""E"",""tv_0"":""-"",""radio_0"":""1"",""read_fun_0"":""12"",""read_work_0"":""-"",""write_0"":""1"",""social_nets_0"":""-"",""language_1"":""P"",""tv_1"":""4"",""radio_1"":""12"",""read_fun_1"":""6"",""read_work_1"":""2"",""write_1"":""2"",""social_nets_1"":""1"",""language_2"":""C"",""tv_2"":""1"",""radio_2"":""-"",""read_fun_2"":""-"",""read_work_2"":""-"",""write_2"":""-"",""social_nets_2"":""-"",""language_3"":""F"",""tv_3"":""1"",""radio_3"":""-"",""read_fun_3"":""1"",""read_work_3"":""-"",""write_3"":""-"",""social_nets_3"":""-""}",""
"","110690","survey-html-form","16","2558822","0.0-16.0","{""language_0"":""E"",""family_0"":""-"",""friends_0"":""-"",""work_0"":""-"",""school_0"":""-"",""language_1"":""C"",""family_1"":""3"",""friends_1"":""-"",""work_1"":""-"",""school_1"":""-"",""language_2"":""P"",""family_2"":""1"",""friends_2"":""4"",""work_2"":""-"",""school_2"":""2"",""language_3"":""F"",""family_3"":""-"",""friends_3"":""-"",""work_3"":""-"",""school_3"":""-""}",""
