"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":123701},{""page_index"":1,""viewing_time"":4300}]","128003","instructions","0","128009","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","129116","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2734","audio-keyboard-response","2","132188","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1283","audio-keyboard-response","3","133749","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1753","audio-keyboard-response","4","135782","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1144","audio-keyboard-response","5","137209","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","894","audio-keyboard-response","6","138376","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1300","audio-keyboard-response","7","139957","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","969","audio-keyboard-response","8","141201","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","142462","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","842","audio-keyboard-response","10","143581","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","865","audio-keyboard-response","11","144724","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","116","audio-keyboard-response","12","145120","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","981","audio-keyboard-response","13","146379","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","708","audio-keyboard-response","14","147362","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1062","audio-keyboard-response","15","148701","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","714","audio-keyboard-response","16","149684","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","22030","audio-keyboard-response","17","171987","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","40689","html-keyboard-response","18","212932","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":69368}]","69368","instructions","19","282807","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","283917","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1741","audio-keyboard-response","21","285963","0.0-3.0-1.0","../audio/66-1-fem.mp3"," ","","Não","","","",""
"","2113","audio-keyboard-response","22","288357","0.0-3.0-1.1","../audio/66-2-fem.mp3"," ","","gosto","","","",""
"","35","audio-keyboard-response","23","288676","0.0-3.0-1.2","../audio/66-3-fem.mp3"," ","","de","","","",""
"","1486","audio-keyboard-response","24","290435","0.0-3.0-1.3","../audio/66-4-fem.mp3"," ","","gente","","","",""
"","1678","audio-keyboard-response","25","292401","0.0-3.0-1.4","../audio/66-5-fem.mp3"," ","","egoísta","","","",""
"","319","audio-keyboard-response","26","292997","0.0-3.0-1.5","../audio/66-6-fem.mp3"," ","","nem","","","",""
"","12","audio-keyboard-response","27","293291","0.0-3.0-1.6","../audio/66-7-fem.mp3"," ","","chata.","","","",""
"","null","html-keyboard-response","28","294550","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1666","audio-keyboard-response","29","296493","0.0-3.0-1.7","../audio/68-1-masc.mp3"," ","","Meu","","","",""
"","1196","audio-keyboard-response","30","297972","0.0-3.0-1.8","../audio/68-2-masc.mp3"," ","","irmão","","","",""
"","1045","audio-keyboard-response","31","299293","0.0-3.0-1.9","../audio/68-3-masc.mp3"," ","","teve","","","",""
"","894","audio-keyboard-response","32","300467","0.0-3.0-1.10","../audio/68-4-masc.mp3"," ","","um","","","",""
"","1445","audio-keyboard-response","33","302196","0.0-3.0-1.11","../audio/68-5-masc.mp3"," ","","noivado","","","",""
"","1045","audio-keyboard-response","34","303524","0.0-3.0-1.12","../audio/68-6-masc.mp3"," ","","longo","","","",""
"","778","audio-keyboard-response","35","304581","0.0-3.0-1.13","../audio/68-7-masc.mp3"," ","","e","","","",""
"","1190","audio-keyboard-response","36","306046","0.0-3.0-1.14","../audio/68-8-masc.mp3"," ","","maravilhoso.","","","",""
"","null","html-keyboard-response","37","307304","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","772","audio-keyboard-response","38","308362","0.0-3.0-1.15","../audio/69-1-masc.mp3"," ","","A","","","",""
"","987","audio-keyboard-response","39","309623","0.0-3.0-1.16","../audio/69-2-masc.mp3"," ","","loja","","","",""
"","1115","audio-keyboard-response","40","311012","0.0-3.0-1.17","../audio/69-3-masc.mp3"," ","","recebeu","","","",""
"","1033","audio-keyboard-response","41","312315","0.0-3.0-1.18","../audio/69-4-masc.mp3"," ","","uma","","","",""
"","1149","audio-keyboard-response","42","313744","0.0-3.0-1.19","../audio/69-5-masc.mp3"," ","","poltrona","","","",""
"","720","audio-keyboard-response","43","314737","0.0-3.0-1.20","../audio/69-6-masc.mp3"," ","","de","","","",""
"","1062","audio-keyboard-response","44","316076","0.0-3.0-1.21","../audio/69-7-masc.mp3"," ","","couro","","","",""
"","1016","audio-keyboard-response","45","317367","0.0-3.0-1.22","../audio/69-8-masc.mp3"," ","","preto.","","","",""
"","null","html-keyboard-response","46","318624","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","888","audio-keyboard-response","47","319797","0.0-3.0-1.23","../audio/67-1-masc.mp3"," ","","Minha","","","",""
"","778","audio-keyboard-response","48","320850","0.0-3.0-1.24","../audio/67-2-masc.mp3"," ","","tia","","","",""
"","935","audio-keyboard-response","49","322056","0.0-3.0-1.25","../audio/67-3-masc.mp3"," ","","comprou","","","",""
"","807","audio-keyboard-response","50","323141","0.0-3.0-1.26","../audio/67-4-masc.mp3"," ","","um","","","",""
"","993","audio-keyboard-response","51","324414","0.0-3.0-1.27","../audio/67-5-masc.mp3"," ","","cordão","","","",""
"","888","audio-keyboard-response","52","325574","0.0-3.0-1.28","../audio/67-6-masc.mp3"," ","","para","","","",""
"","1057","audio-keyboard-response","53","326901","0.0-3.0-1.29","../audio/67-7-masc.mp3"," ","","o","","","",""
"","964","audio-keyboard-response","54","328144","0.0-3.0-1.30","../audio/67-8-masc.mp3"," ","","varal.","","","",""
"","null","html-keyboard-response","55","329404","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","807","audio-keyboard-response","56","330497","0.0-3.0-1.31","../audio/70-1-masc.mp3"," ","","O","","","",""
"","848","audio-keyboard-response","57","331617","0.0-3.0-1.32","../audio/70-2-masc.mp3"," ","","meu","","","",""
"","755","audio-keyboard-response","58","332641","0.0-3.0-1.33","../audio/70-3-masc.mp3"," ","","filho","","","",""
"","737","audio-keyboard-response","59","333651","0.0-3.0-1.34","../audio/70-4-masc.mp3"," ","","tem","","","",""
"","1022","audio-keyboard-response","60","334943","0.0-3.0-1.35","../audio/70-5-masc.mp3"," ","","medo","","","",""
"","679","audio-keyboard-response","61","335895","0.0-3.0-1.36","../audio/70-6-masc.mp3"," ","","de","","","",""
"","1068","audio-keyboard-response","62","337283","0.0-3.0-1.37","../audio/70-7-masc.mp3"," ","","enguia","","","",""
"","685","audio-keyboard-response","63","338240","0.0-3.0-1.38","../audio/70-8-masc.mp3"," ","","e","","","",""
"","1306","audio-keyboard-response","64","339826","0.0-3.0-1.39","../audio/70-9-masc.mp3"," ","","beija-flor.","","","",""
"","19498","html-keyboard-response","65","359577","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O filho tem medo de tigre?</span>","n","","","O filho tem medo de tigre?","null","exp-sent","false"
"","null","html-keyboard-response","66","361083","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1358","audio-keyboard-response","67","362721","0.0-3.0-1.40","../audio/04-1-fem.mp3"," ","","Duzentos","","","",""
"","917","audio-keyboard-response","68","363910","0.0-3.0-1.41","../audio/04-2-fem.mp3"," ","","carros","","","",""
"","1144","audio-keyboard-response","69","365357","0.0-3.0-1.42","../audio/04-3-fem.mp3"," ","","passaram","","","",""
"","900","audio-keyboard-response","70","366528","0.0-3.0-1.43","../audio/04-4-fem.mp3"," ","","pela","","","",""
"","964","audio-keyboard-response","71","367766","0.0-3.0-1.44","../audio/04-5-fem.mp3"," ","","ponte","","","",""
"","969","audio-keyboard-response","72","369008","0.0-3.0-1.45","../audio/04-6-fem.mp3"," ","","hoje","","","",""
