"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":79389}]","79389","instructions","0","79394","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","79998","0.0-1.0-0.0","+","null","","","","","",""
"","14978","html-keyboard-response","2","94977","0.0-1.0-1.0","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","95480","0.0-1.0-0.1","+","null","","","","","",""
"","18792","html-keyboard-response","4","114274","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","114777","0.0-1.0-0.2","+","null","","","","","",""
"","6293","html-keyboard-response","6","121071","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","121575","0.0-1.0-0.3","+","null","","","","","",""
"","4943","html-keyboard-response","8","126518","0.0-1.0-1.3","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","127020","0.0-1.0-0.4","+","null","","","","","",""
"","3717","html-keyboard-response","10","130738","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","131240","0.0-1.0-0.5","+","null","","","","","",""
"","4452","html-keyboard-response","12","135693","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","136198","0.0-1.0-0.6","+","null","","","","","",""
"","5624","html-keyboard-response","14","141822","0.0-1.0-1.6","crante","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":14928}]","14928","instructions","15","156752","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","157358","0.0-3.0-0.0","+","null","","","","","",""
"","6565","html-keyboard-response","17","163924","0.0-3.0-1.0","chorão","s","a","noncog","word","S","exp","6"
"","null","html-keyboard-response","18","164428","0.0-3.0-0.1","+","null","","","","","",""
"","3810","html-keyboard-response","19","168239","0.0-3.0-1.1","conjerto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","168742","0.0-3.0-0.2","+","null","","","","","",""
"","2824","html-keyboard-response","21","171567","0.0-3.0-1.2","pitada","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","22","172070","0.0-3.0-0.3","+","null","","","","","",""
"","4450","html-keyboard-response","23","176521","0.0-3.0-1.3","verceja","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","177026","0.0-3.0-0.4","+","null","","","","","",""
"","5488","html-keyboard-response","25","182514","0.0-3.0-1.4","refletir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","26","183016","0.0-3.0-0.5","+","null","","","","","",""
"","5992","html-keyboard-response","27","189009","0.0-3.0-1.5","oecano","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","189513","0.0-3.0-0.6","+","null","","","","","",""
"","3319","html-keyboard-response","29","192832","0.0-3.0-1.6","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","30","193334","0.0-3.0-0.7","+","null","","","","","",""
"","3086","html-keyboard-response","31","196421","0.0-3.0-1.7","promessa","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","32","196926","0.0-3.0-0.8","+","null","","","","","",""
