"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":34518}]","34518","instructions","0","34526","0.0-0.0","","","",""
"","null","html-keyboard-response","1","35133","0.0-1.0-0.0","+","null","",""
"","3762","audio-keyboard-response","2","38945","0.0-1.0-1.0","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","3","39446","0.0-1.0-0.1","+","null","",""
"","2374","audio-keyboard-response","4","41850","0.0-1.0-1.1","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","5","42354","0.0-1.0-0.2","+","null","",""
"","3193","audio-keyboard-response","6","45578","0.0-1.0-1.2","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","7","46082","0.0-1.0-0.3","+","null","",""
"","2531","audio-keyboard-response","8","48663","0.0-1.0-1.3","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","9","49164","0.0-1.0-0.4","+","null","",""
"","1573","audio-keyboard-response","10","50769","0.0-1.0-1.4","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","11","51271","0.0-1.0-0.5","+","null","",""
"","2038","audio-keyboard-response","12","53350","0.0-1.0-1.5","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","13","53855","0.0-1.0-0.6","+","null","",""
"","2543","audio-keyboard-response","14","56446","0.0-1.0-1.6","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","15","56949","0.0-1.0-0.7","+","null","",""
"","1695","audio-keyboard-response","16","58685","0.0-1.0-1.7","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","17","59190","0.0-1.0-0.8","+","null","",""
"","1620","audio-keyboard-response","18","60848","0.0-1.0-1.8","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","19","61349","0.0-1.0-0.9","+","null","",""
"","2392","audio-keyboard-response","20","63771","0.0-1.0-1.9","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","21","64275","0.0-1.0-0.10","+","null","",""
"","2032","audio-keyboard-response","22","66332","0.0-1.0-1.10","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","23","66835","0.0-1.0-0.11","+","null","",""
"","2891","audio-keyboard-response","24","69764","0.0-1.0-1.11","../audio/teste-vocab--109.mp3","s","anfíbio","anfibyen"
"","null","html-keyboard-response","25","70266","0.0-1.0-0.12","+","null","",""
"","1997","audio-keyboard-response","26","72294","0.0-1.0-1.12","../audio/teste-vocab--63.mp3","s","transparente","transparan"
"","null","html-keyboard-response","27","72797","0.0-1.0-0.13","+","null","",""
"","2003","audio-keyboard-response","28","74837","0.0-1.0-1.13","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","29","75340","0.0-1.0-0.14","+","null","",""
"","1985","audio-keyboard-response","30","77360","0.0-1.0-1.14","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","31","77861","0.0-1.0-0.15","+","null","",""
"","2258","audio-keyboard-response","32","80161","0.0-1.0-1.15","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","33","80663","0.0-1.0-0.16","+","null","",""
"","1695","audio-keyboard-response","34","82401","0.0-1.0-1.16","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","35","82902","0.0-1.0-0.17","+","null","",""
