"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":8949}]","8949","instructions","0","8957","0.0-0.0","",""
"","18678","survey-text","1","27744","0.0-1.0","{""age"":""52""}",""
"","5445","survey-multi-choice","2","33293","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","49053","survey-multi-choice","3","82449","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","40668","survey-multi-choice","4","123221","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","11126","survey-multi-choice","5","134452","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","351875","survey-html-form","6","486445","0.0-6.0","{""language_0"":""CH"",""listening_0"":""1 ANO"",""speaking_0"":""1 E 6 MESES"",""reading_0"":""5 ANOS"",""writing_0"":""5 ANOS"",""language_1"":""FRA"",""listening_1"":""5 ANOS"",""speaking_1"":""8 ANOS"",""reading_1"":""8 ANOS"",""writing_1"":""8 ANOS"",""language_2"":""POR"",""listening_2"":""47 ANOS"",""speaking_2"":""49 ANOS"",""reading_2"":""47 ANOS"",""writing_2"":""49 ANOS"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","196537","survey-html-form","7","683091","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""FR"",""listening_1"":""2 ANOS"",""speaking_1"":""2 ANOS"",""reading_1"":""2 ANOS"",""writing_1"":""2 ANOS"",""language_2"":""POR"",""listening_2"":""2 ANOS"",""speaking_2"":""2 ANOS"",""reading_2"":""2 ANOS"",""writing_2"":""2 ANOS""}",""
"","8181","survey-text","8","691376","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","15730","survey-text","9","707211","0.0-9.0","{""country_of_residence"":""BRASIL DESDE 2017""}",""
"","49717","survey-html-form","10","757034","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","47046","survey-html-form","11","804184","0.0-11.0","{""language_0"":""FR"",""context_0"":""2"",""language_1"":""POR"",""context_1"":""2 E 1"",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","282403","survey-html-form","12","1086698","0.0-12.0","{""language_0"":""CH"",""home_0"":""1 ANO"",""friends_0"":""5 ANOS"",""school_0"":""5 ANOS"",""work_0"":""22 ANOS"",""computer_0"":""-"",""games_0"":""-"",""language_1"":""FR"",""home_1"":""5 ANOS"",""friends_1"":""5 ANOS"",""school_1"":""5 ANOS"",""work_1"":""-"",""computer_1"":""-"",""games_1"":""-"",""language_2"":""POR"",""home_2"":""47 ANOS"",""friends_2"":""47 ANOS"",""school_2"":""47 ANOS"",""work_2"":""47 ANOS"",""computer_2"":""51 ANOS"",""games_2"":""51 ANOS"",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","22480","survey-likert","13","1109285","0.0-13.0","{""new_languages"":6}","[0]"
"","135226","survey-html-form","14","1244618","0.0-14.0","{""language_0"":""CH"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""FR"",""listen_1"":""7"",""talk_1"":""7"",""read_1"":""7"",""write_1"":""7"",""language_2"":""POR"",""listen_2"":""6"",""talk_2"":""6"",""read_2"":""7"",""write_2"":""6"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","271664","survey-html-form","15","1516396","0.0-15.0","{""language_0"":""CH"",""tv_0"":""-"",""radio_0"":""7 H"",""read_fun_0"":""1H"",""read_work_0"":""-"",""write_0"":""30MIN"",""social_nets_0"":""4H"",""language_1"":""FR"",""tv_1"":""4H"",""radio_1"":""-"",""read_fun_1"":""2H"",""read_work_1"":""-"",""write_1"":""-"",""social_nets_1"":""30MIN"",""language_2"":""PORT"",""tv_2"":""8H"",""radio_2"":""-"",""read_fun_2"":""13H"",""read_work_2"":""13H"",""write_2"":""13H"",""social_nets_2"":""5H"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
