"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":53074},{""page_index"":1,""viewing_time"":6741}]","59815","instructions","0","59817","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","60955","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4310","audio-keyboard-response","2","65853","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","2339","audio-keyboard-response","3","68497","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2171","audio-keyboard-response","4","70980","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1620","audio-keyboard-response","5","72894","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1190","audio-keyboard-response","6","74370","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1800","audio-keyboard-response","7","76477","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1730","audio-keyboard-response","8","78502","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","79764","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9970","audio-keyboard-response","10","90024","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2069","audio-keyboard-response","11","92390","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","2351","audio-keyboard-response","12","95028","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1901","audio-keyboard-response","13","97229","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1538","audio-keyboard-response","14","99057","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1480","audio-keyboard-response","15","100818","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1268","audio-keyboard-response","16","102381","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1959","audio-keyboard-response","17","104635","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
