"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":49264}]","49264","instructions","0","49268","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","49884","0.0-1.0-0.0","+","null","","","","","",""
"","13661","html-keyboard-response","2","63549","0.0-1.0-1.0","oliva","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","64064","0.0-1.0-0.1","+","null","","","","","",""
"","12475","html-keyboard-response","4","76542","0.0-1.0-1.1","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","77044","0.0-1.0-0.2","+","null","","","","","",""
"","8177","html-keyboard-response","6","85225","0.0-1.0-1.2","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","85745","0.0-1.0-0.3","+","null","","","","","",""
"","14791","html-keyboard-response","8","100540","0.0-1.0-1.3","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","101044","0.0-1.0-0.4","+","null","","","","","",""
"","12937","html-keyboard-response","10","113985","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","114500","0.0-1.0-0.5","+","null","","","","","",""
"","5149","html-keyboard-response","12","119650","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","120164","0.0-1.0-0.6","+","null","","","","","",""
"","6531","html-keyboard-response","14","126695","0.0-1.0-1.6","plibar","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":32561}]","32561","instructions","15","159257","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","159875","0.0-3.0-0.0","+","null","","","","","",""
"","5125","html-keyboard-response","17","165000","0.0-3.0-1.0","tronca","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","165504","0.0-3.0-0.1","+","null","","","","","",""
"","5413","html-keyboard-response","19","170918","0.0-3.0-1.1","árovre","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","171434","0.0-3.0-0.2","+","null","","","","","",""
"","6115","html-keyboard-response","21","177551","0.0-3.0-1.2","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","22","178055","0.0-3.0-0.3","+","null","","","","","",""
"","3605","html-keyboard-response","23","181661","0.0-3.0-1.3","pitada","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","24","182165","0.0-3.0-0.4","+","null","","","","","",""
"","4270","html-keyboard-response","25","186435","0.0-3.0-1.4","manfa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","186954","0.0-3.0-0.5","+","null","","","","","",""
"","5329","html-keyboard-response","27","192286","0.0-3.0-1.5","atitro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","192804","0.0-3.0-0.6","+","null","","","","","",""
"","3505","html-keyboard-response","29","196311","0.0-3.0-1.6","drama","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","30","196814","0.0-3.0-0.7","+","null","","","","","",""
"","3000","html-keyboard-response","31","199815","0.0-3.0-1.7","oper","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","200325","0.0-3.0-0.8","+","null","","","","","",""
"","5599","html-keyboard-response","33","205926","0.0-3.0-1.8","esprotiar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","206440","0.0-3.0-0.9","+","null","","","","","",""
"","2729","html-keyboard-response","35","209171","0.0-3.0-1.9","ocinto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","209684","0.0-3.0-0.10","+","null","","","","","",""
"","3182","html-keyboard-response","37","212867","0.0-3.0-1.10","afonher","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","213383","0.0-3.0-0.11","+","null","","","","","",""
"","1836","html-keyboard-response","39","215221","0.0-3.0-1.11","tela","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","40","215734","0.0-3.0-0.12","+","null","","","","","",""
"","1973","html-keyboard-response","41","217707","0.0-3.0-1.12","aitrou","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","218224","0.0-3.0-0.13","+","null","","","","","",""
"","6982","html-keyboard-response","43","225207","0.0-3.0-1.13","tartos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","225724","0.0-3.0-0.14","+","null","","","","","",""
"","4518","html-keyboard-response","45","230244","0.0-3.0-1.14","frotes","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","230763","0.0-3.0-0.15","+","null","","","","","",""
"","3859","html-keyboard-response","47","234624","0.0-3.0-1.15","oricia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","235139","0.0-3.0-0.16","+","null","","","","","",""
"","3918","html-keyboard-response","49","239057","0.0-3.0-1.16","gordo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","50","239564","0.0-3.0-0.17","+","null","","","","","",""
"","3247","html-keyboard-response","51","242812","0.0-3.0-1.17","livro","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","52","243314","0.0-3.0-0.18","+","null","","","","","",""
"","5010","html-keyboard-response","53","248326","0.0-3.0-1.18","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","54","248844","0.0-3.0-0.19","+","null","","","","","",""
"","4834","html-keyboard-response","55","253678","0.0-3.0-1.19","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","56","254194","0.0-3.0-0.20","+","null","","","","","",""
"","4096","html-keyboard-response","57","258291","0.0-3.0-1.20","pantufa","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","58","258794","0.0-3.0-0.21","+","null","","","","","",""
"","3290","html-keyboard-response","59","262085","0.0-3.0-1.21","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","60","262604","0.0-3.0-0.22","+","null","","","","","",""
"","3184","html-keyboard-response","61","265789","0.0-3.0-1.22","berquesa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","266305","0.0-3.0-0.23","+","null","","","","","",""
"","3069","html-keyboard-response","63","269375","0.0-3.0-1.23","esfoce","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","269894","0.0-3.0-0.24","+","null","","","","","",""
"","1985","html-keyboard-response","65","271880","0.0-3.0-1.24","destino","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","66","272384","0.0-3.0-0.25","+","null","","","","","",""
"","4304","html-keyboard-response","67","276689","0.0-3.0-1.25","nevela","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","277204","0.0-3.0-0.26","+","null","","","","","",""
"","6370","html-keyboard-response","69","283575","0.0-3.0-1.26","quenzina","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","70","284084","0.0-3.0-0.27","+","null","","","","","",""
"","3930","html-keyboard-response","71","288015","0.0-3.0-1.27","oecano","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","72","288524","0.0-3.0-0.28","+","null","","","","","",""
"","2659","html-keyboard-response","73","291185","0.0-3.0-1.28","chorão","s","a","noncog","word","S","exp","6"
"","null","html-keyboard-response","74","291704","0.0-3.0-0.29","+","null","","","","","",""
"","4683","html-keyboard-response","75","296388","0.0-3.0-1.29","jastor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","76","296894","0.0-3.0-0.30","+","null","","","","","",""
"","2124","html-keyboard-response","77","299020","0.0-3.0-1.30","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","78","299525","0.0-3.0-0.31","+","null","","","","","",""
"","2413","html-keyboard-response","79","301939","0.0-3.0-1.31","cravo","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","80","302454","0.0-3.0-0.32","+","null","","","","","",""
"","1562","html-keyboard-response","81","304018","0.0-3.0-1.32","telefone","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","82","304534","0.0-3.0-0.33","+","null","","","","","",""
"","1803","html-keyboard-response","83","306338","0.0-3.0-1.33","alpica","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","84","306854","0.0-3.0-0.34","+","null","","","","","",""
"","2202","html-keyboard-response","85","309057","0.0-3.0-1.34","hébies","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","86","309564","0.0-3.0-0.35","+","null","","","","","",""
"","4912","html-keyboard-response","87","314477","0.0-3.0-1.35","cascata","n","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","88","314983","0.0-3.0-0.36","+","null","","","","","",""
"","1322","html-keyboard-response","89","316308","0.0-3.0-1.36","tio","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","90","316824","0.0-3.0-0.37","+","null","","","","","",""
"","1645","html-keyboard-response","91","318470","0.0-3.0-1.37","esperar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","92","318975","0.0-3.0-0.38","+","null","","","","","",""
"","2478","html-keyboard-response","93","321453","0.0-3.0-1.38","enxarto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","94","321954","0.0-3.0-0.39","+","null","","","","","",""
"","5553","html-keyboard-response","95","327506","0.0-3.0-1.39","planalto","n","n","cog","word","S","exp","8"
"","null","html-keyboard-response","96","328015","0.0-3.0-0.40","+","null","","","","","",""
"","1322","html-keyboard-response","97","329337","0.0-3.0-1.40","sanque","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","98","329854","0.0-3.0-0.41","+","null","","","","","",""
"","1175","html-keyboard-response","99","331031","0.0-3.0-1.41","tênis","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","100","331534","0.0-3.0-0.42","+","null","","","","","",""
"","2399","html-keyboard-response","101","333935","0.0-3.0-1.42","burtos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","102","334444","0.0-3.0-0.43","+","null","","","","","",""
"","2488","html-keyboard-response","103","336933","0.0-3.0-1.43","dipata","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","337434","0.0-3.0-0.44","+","null","","","","","",""
"","5151","html-keyboard-response","105","342587","0.0-3.0-1.44","incomodar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","106","343104","0.0-3.0-0.45","+","null","","","","","",""
"","2761","html-keyboard-response","107","345866","0.0-3.0-1.45","mania","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","108","346384","0.0-3.0-0.46","+","null","","","","","",""
"","1457","html-keyboard-response","109","347842","0.0-3.0-1.46","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","110","348354","0.0-3.0-0.47","+","null","","","","","",""
"","2370","html-keyboard-response","111","350725","0.0-3.0-1.47","motros","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","112","351234","0.0-3.0-0.48","+","null","","","","","",""
"","3042","html-keyboard-response","113","354277","0.0-3.0-1.48","traduzir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","114","354784","0.0-3.0-0.49","+","null","","","","","",""
"","2052","html-keyboard-response","115","356837","0.0-3.0-1.49","pedaço","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","116","357344","0.0-3.0-0.50","+","null","","","","","",""
"","5585","html-keyboard-response","117","362930","0.0-3.0-1.50","vervas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","118","363434","0.0-3.0-0.51","+","null","","","","","",""
"","5464","html-keyboard-response","119","368900","0.0-3.0-1.51","morija","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","120","369404","0.0-3.0-0.52","+","null","","","","","",""
"","5785","html-keyboard-response","121","375190","0.0-3.0-1.52","parceter","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","122","375704","0.0-3.0-0.53","+","null","","","","","",""
"","2267","html-keyboard-response","123","377973","0.0-3.0-1.53","nacional","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","124","378494","0.0-3.0-0.54","+","null","","","","","",""
"","8354","html-keyboard-response","125","386849","0.0-3.0-1.54","ejerro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","126","387364","0.0-3.0-0.55","+","null","","","","","",""
"","6328","html-keyboard-response","127","393694","0.0-3.0-1.55","bambu","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","128","394213","0.0-3.0-0.56","+","null","","","","","",""
"","4697","html-keyboard-response","129","398912","0.0-3.0-1.56","avenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","130","399424","0.0-3.0-0.57","+","null","","","","","",""
"","6191","html-keyboard-response","131","405617","0.0-3.0-1.57","delirar","n","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","132","406134","0.0-3.0-0.58","+","null","","","","","",""
"","1537","html-keyboard-response","133","407673","0.0-3.0-1.58","viver","s","v","cog","word","S","exp","5"
"","null","html-keyboard-response","134","408185","0.0-3.0-0.59","+","null","","","","","",""
"","2923","html-keyboard-response","135","411109","0.0-3.0-1.59","atapdar","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","136","411625","0.0-3.0-0.60","+","null","","","","","",""
"","6064","html-keyboard-response","137","417688","0.0-3.0-1.60","braras","n","null","noncog","pseudo","N","exp","null"
