"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":6126}]","6127","instructions","0","6131","0.0-0.0","","","",""
"","null","html-keyboard-response","1","6768","0.0-1.0-0.0","+","null","",""
"","8872","audio-keyboard-response","2","16004","0.0-1.0-1.0","../audio/teste-vocab--29.mp3","s","rasgar","chire"
"","null","html-keyboard-response","3","16517","0.0-1.0-0.1","+","null","",""
"","3509","audio-keyboard-response","4","20138","0.0-1.0-1.1","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","5","20651","0.0-1.0-0.2","+","null","",""
"","2520","audio-keyboard-response","6","23286","0.0-1.0-1.2","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","7","23800","0.0-1.0-0.3","+","null","",""
"","6971","audio-keyboard-response","8","30892","0.0-1.0-1.3","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","9","31405","0.0-1.0-0.4","+","null","",""
"","2699","audio-keyboard-response","10","34214","0.0-1.0-1.4","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","11","34720","0.0-1.0-0.5","+","null","",""
"","4971","audio-keyboard-response","12","39829","0.0-1.0-1.5","../audio/teste-vocab--79.mp3","n","moldura"," chanbranl"
"","null","html-keyboard-response","13","40340","0.0-1.0-0.6","+","null","",""
"","4600","audio-keyboard-response","14","45084","0.0-1.0-1.6","../audio/teste-vocab--109.mp3","n","anfíbio","anfibyen"
"","null","html-keyboard-response","15","45591","0.0-1.0-0.7","+","null","",""
"","2808","audio-keyboard-response","16","48540","0.0-1.0-1.7","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","17","49043","0.0-1.0-0.8","+","null","",""
"","2739","audio-keyboard-response","18","51912","0.0-1.0-1.8","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","19","52430","0.0-1.0-0.9","+","null","",""
"","3011","audio-keyboard-response","20","55568","0.0-1.0-1.9","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","21","56076","0.0-1.0-0.10","+","null","",""
"","2960","audio-keyboard-response","22","59427","0.0-1.0-1.10","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","23","59930","0.0-1.0-0.11","+","null","",""
"","2720","audio-keyboard-response","24","62756","0.0-1.0-1.11","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","25","63260","0.0-1.0-0.12","+","null","",""
"","2429","audio-keyboard-response","26","65817","0.0-1.0-1.12","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","27","66320","0.0-1.0-0.13","+","null","",""
"","2840","audio-keyboard-response","28","69267","0.0-1.0-1.13","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","29","69772","0.0-1.0-0.14","+","null","",""
"","2131","audio-keyboard-response","30","72013","0.0-1.0-1.14","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","31","72531","0.0-1.0-0.15","+","null","",""
"","2421","audio-keyboard-response","32","75082","0.0-1.0-1.15","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","33","75596","0.0-1.0-0.16","+","null","",""
"","3680","audio-keyboard-response","34","79434","0.0-1.0-1.16","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","35","79951","0.0-1.0-0.17","+","null","",""
"","2411","audio-keyboard-response","36","82481","0.0-1.0-1.17","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","37","83001","0.0-1.0-0.18","+","null","",""
"","2328","audio-keyboard-response","38","85463","0.0-1.0-1.18","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","39","85981","0.0-1.0-0.19","+","null","",""
"","2480","audio-keyboard-response","40","88585","0.0-1.0-1.19","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","41","89101","0.0-1.0-0.20","+","null","",""
"","2232","audio-keyboard-response","42","91451","0.0-1.0-1.20","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","43","91960","0.0-1.0-0.21","+","null","",""
"","2888","audio-keyboard-response","44","94936","0.0-1.0-1.21","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","45","95448","0.0-1.0-0.22","+","null","",""
"","2731","audio-keyboard-response","46","98309","0.0-1.0-1.22","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","47","98810","0.0-1.0-0.23","+","null","",""
"","2069","audio-keyboard-response","48","100986","0.0-1.0-1.23","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","49","101501","0.0-1.0-0.24","+","null","",""
"","2821","audio-keyboard-response","50","104447","0.0-1.0-1.24","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","51","104961","0.0-1.0-0.25","+","null","",""
"","2672","audio-keyboard-response","52","107770","0.0-1.0-1.25","../audio/teste-vocab--76.mp3","s","arquivar","achive"
"","null","html-keyboard-response","53","108280","0.0-1.0-0.26","+","null","",""
"","2648","audio-keyboard-response","54","111063","0.0-1.0-1.26","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","55","111566","0.0-1.0-0.27","+","null","",""
"","2480","audio-keyboard-response","56","114238","0.0-1.0-1.27","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","57","114751","0.0-1.0-0.28","+","null","",""
"","2771","audio-keyboard-response","58","117716","0.0-1.0-1.28","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","59","118221","0.0-1.0-0.29","+","null","",""
"","2432","audio-keyboard-response","60","120765","0.0-1.0-1.29","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","61","121280","0.0-1.0-0.30","+","null","",""
"","2280","audio-keyboard-response","62","123688","0.0-1.0-1.30","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","63","124197","0.0-1.0-0.31","+","null","",""
"","2829","audio-keyboard-response","64","127161","0.0-1.0-1.31","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","65","127675","0.0-1.0-0.32","+","null","",""
"","2371","audio-keyboard-response","66","130114","0.0-1.0-1.32","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","67","130621","0.0-1.0-0.33","+","null","",""
"","6011","audio-keyboard-response","68","136756","0.0-1.0-1.33","../audio/teste-vocab--90.mp3","n","carniça","kanivò"
"","null","html-keyboard-response","69","137262","0.0-1.0-0.34","+","null","",""
"","2571","audio-keyboard-response","70","139961","0.0-1.0-1.34","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","71","140471","0.0-1.0-0.35","+","null","",""
"","2509","audio-keyboard-response","72","143110","0.0-1.0-1.35","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","73","143616","0.0-1.0-0.36","+","null","",""
"","2339","audio-keyboard-response","74","146070","0.0-1.0-1.36","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","75","146579","0.0-1.0-0.37","+","null","",""
"","2629","audio-keyboard-response","76","149336","0.0-1.0-1.37","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","77","149851","0.0-1.0-0.38","+","null","",""
"","2440","audio-keyboard-response","78","152419","0.0-1.0-1.38","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","79","152931","0.0-1.0-0.39","+","null","",""
"","2509","audio-keyboard-response","80","155584","0.0-1.0-1.39","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","81","156094","0.0-1.0-0.40","+","null","",""
"","2280","audio-keyboard-response","82","158462","0.0-1.0-1.40","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","83","158970","0.0-1.0-0.41","+","null","",""
"","2272","audio-keyboard-response","84","161371","0.0-1.0-1.41","../audio/teste-vocab--64.mp3","s","colher","kiyè"
