"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":8613},{""page_index"":1,""viewing_time"":5201}]","13814","instructions","0","13815","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","14926","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5811","audio-keyboard-response","2","21030","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1941","audio-keyboard-response","3","23237","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","4200","audio-keyboard-response","4","27733","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1269","audio-keyboard-response","5","29285","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1088","audio-keyboard-response","6","30661","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1301","audio-keyboard-response","7","32246","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1019","audio-keyboard-response","8","33541","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","34824","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","701","audio-keyboard-response","10","35813","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1179","audio-keyboard-response","11","37269","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1240","audio-keyboard-response","12","38789","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1120","audio-keyboard-response","13","40181","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1032","audio-keyboard-response","14","41493","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1229","audio-keyboard-response","15","42997","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1120","audio-keyboard-response","16","44389","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1061","audio-keyboard-response","17","45717","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","10623","html-keyboard-response","18","56597","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":13084}]","13084","instructions","19","70189","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","71314","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5189","audio-keyboard-response","21","76788","0.0-3.0-1.0","../audio/67-1-masc.mp3"," ","","Minha","","","",""
"","1171","audio-keyboard-response","22","78228","0.0-3.0-1.1","../audio/67-2-masc.mp3"," ","","tia","","","",""
"","1152","audio-keyboard-response","23","79652","0.0-3.0-1.2","../audio/67-3-masc.mp3"," ","","comprou","","","",""
"","1269","audio-keyboard-response","24","81188","0.0-3.0-1.3","../audio/67-4-masc.mp3"," ","","um","","","",""
"","1141","audio-keyboard-response","25","82596","0.0-3.0-1.4","../audio/67-5-masc.mp3"," ","","cordão","","","",""
"","1069","audio-keyboard-response","26","83940","0.0-3.0-1.5","../audio/67-6-masc.mp3"," ","","para","","","",""
"","979","audio-keyboard-response","27","85188","0.0-3.0-1.6","../audio/67-7-masc.mp3"," ","","o","","","",""
"","1211","audio-keyboard-response","28","86676","0.0-3.0-1.7","../audio/67-8-masc.mp3"," ","","varal.","","","",""
"","null","html-keyboard-response","29","87964","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1411","audio-keyboard-response","30","89652","0.0-3.0-1.8","../audio/66-1-fem.mp3"," ","","Não","","","",""
"","1160","audio-keyboard-response","31","91076","0.0-3.0-1.9","../audio/66-2-fem.mp3"," ","","gosto","","","",""
"","821","audio-keyboard-response","32","92165","0.0-3.0-1.10","../audio/66-3-fem.mp3"," ","","de","","","",""
"","1131","audio-keyboard-response","33","93572","0.0-3.0-1.11","../audio/66-4-fem.mp3"," ","","gente","","","",""
"","1232","audio-keyboard-response","34","95092","0.0-3.0-1.12","../audio/66-5-fem.mp3"," ","","egoísta","","","",""
"","1040","audio-keyboard-response","35","96404","0.0-3.0-1.13","../audio/66-6-fem.mp3"," ","","nem","","","",""
"","1259","audio-keyboard-response","36","97940","0.0-3.0-1.14","../audio/66-7-fem.mp3"," ","","chata.","","","",""
"","null","html-keyboard-response","37","99211","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","971","audio-keyboard-response","38","100452","0.0-3.0-1.15","../audio/68-1-fem.mp3"," ","","Meu","","","",""
"","1048","audio-keyboard-response","39","101780","0.0-3.0-1.16","../audio/68-2-fem.mp3"," ","","irmão","","","",""
"","1240","audio-keyboard-response","40","103285","0.0-3.0-1.17","../audio/68-3-fem.mp3"," ","","teve","","","",""
"","1069","audio-keyboard-response","41","104644","0.0-3.0-1.18","../audio/68-4-fem.mp3"," ","","um","","","",""
"","1360","audio-keyboard-response","42","106292","0.0-3.0-1.19","../audio/68-5-fem.mp3"," ","","noivado","","","",""
"","1048","audio-keyboard-response","43","107620","0.0-3.0-1.20","../audio/68-6-fem.mp3"," ","","longo","","","",""
"","960","audio-keyboard-response","44","108852","0.0-3.0-1.21","../audio/68-7-fem.mp3"," ","","e","","","",""
"","1589","audio-keyboard-response","45","110708","0.0-3.0-1.22","../audio/68-8-fem.mp3"," ","","maravilhoso.","","","",""
"","null","html-keyboard-response","46","111984","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","40","audio-keyboard-response","47","112292","0.0-3.0-1.23","../audio/69-1-fem.mp3"," ","","A","","","",""
"","1019","audio-keyboard-response","48","113588","0.0-3.0-1.24","../audio/69-2-fem.mp3"," ","","loja","","","",""
"","1072","audio-keyboard-response","49","114932","0.0-3.0-1.25","../audio/69-3-fem.mp3"," ","","recebeu","","","",""
"","979","audio-keyboard-response","50","116180","0.0-3.0-1.26","../audio/69-4-fem.mp3"," ","","uma","","","",""
"","1352","audio-keyboard-response","51","117803","0.0-3.0-1.27","../audio/69-5-fem.mp3"," ","","poltrona","","","",""
"","949","audio-keyboard-response","52","119019","0.0-3.0-1.28","../audio/69-6-fem.mp3"," ","","de","","","",""
"","1011","audio-keyboard-response","53","120299","0.0-3.0-1.29","../audio/69-7-fem.mp3"," ","","couro","","","",""
"","1109","audio-keyboard-response","54","121691","0.0-3.0-1.30","../audio/69-8-fem.mp3"," ","","preto.","","","",""
"","null","html-keyboard-response","55","122945","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","91","audio-keyboard-response","56","123307","0.0-3.0-1.31","../audio/70-1-masc.mp3"," ","","O","","","",""
"","2000","audio-keyboard-response","57","125579","0.0-3.0-1.32","../audio/70-2-masc.mp3"," ","","meu","","","",""
"","992","audio-keyboard-response","58","126843","0.0-3.0-1.33","../audio/70-3-masc.mp3"," ","","filho","","","",""
"","829","audio-keyboard-response","59","127947","0.0-3.0-1.34","../audio/70-4-masc.mp3"," ","","tem","","","",""
"","1131","audio-keyboard-response","60","129355","0.0-3.0-1.35","../audio/70-5-masc.mp3"," ","","medo","","","",""
"","989","audio-keyboard-response","61","130635","0.0-3.0-1.36","../audio/70-6-masc.mp3"," ","","de","","","",""
"","1248","audio-keyboard-response","62","132172","0.0-3.0-1.37","../audio/70-7-masc.mp3"," ","","enguia","","","",""
"","1000","audio-keyboard-response","63","133451","0.0-3.0-1.38","../audio/70-8-masc.mp3"," ","","e","","","",""
"","1331","audio-keyboard-response","64","135067","0.0-3.0-1.39","../audio/70-9-masc.mp3"," ","","beija-flor.","","","",""
"","31534","html-keyboard-response","65","166860","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O filho tem medo de tigre?</span>","s","","","O filho tem medo de tigre?","null","exp-sent","false"
"","null","html-keyboard-response","66","168362","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1120","audio-keyboard-response","67","169739","0.0-3.0-1.40","../audio/78-1-fem.mp3"," ","","Eles","","","",""
"","1251","audio-keyboard-response","68","171259","0.0-3.0-1.41","../audio/78-2-fem.mp3"," ","","trazem","","","",""
"","1229","audio-keyboard-response","69","172763","0.0-3.0-1.42","../audio/78-3-fem.mp3"," ","","um","","","",""
"","1309","audio-keyboard-response","70","174347","0.0-3.0-1.43","../audio/78-4-fem.mp3"," ","","fato","","","",""
"","1491","audio-keyboard-response","71","176123","0.0-3.0-1.44","../audio/78-5-fem.mp3"," ","","urgente","","","",""
"","1051","audio-keyboard-response","72","177451","0.0-3.0-1.45","../audio/78-6-fem.mp3"," ","","todos","","","",""
"","931","audio-keyboard-response","73","178659","0.0-3.0-1.46","../audio/78-7-fem.mp3"," ","","os","","","",""
"","1109","audio-keyboard-response","74","180051","0.0-3.0-1.47","../audio/78-8-fem.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","75","181317","0.0-3.0-0.48-0.48","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3131","audio-keyboard-response","76","184738","0.0-3.0-1.48","../audio/79-1-masc.mp3"," ","","A","","","",""
"","1259","audio-keyboard-response","77","186275","0.0-3.0-1.49","../audio/79-2-masc.mp3"," ","","médica","","","",""
"","1248","audio-keyboard-response","78","187795","0.0-3.0-1.50","../audio/79-3-masc.mp3"," ","","verificou","","","",""
"","901","audio-keyboard-response","79","188979","0.0-3.0-1.51","../audio/79-4-masc.mp3"," ","","a","","","",""
"","1069","audio-keyboard-response","80","190322","0.0-3.0-1.52","../audio/79-5-masc.mp3"," ","","gengiva","","","",""
"","949","audio-keyboard-response","81","191538","0.0-3.0-1.53","../audio/79-6-masc.mp3"," ","","por","","","",""
"","992","audio-keyboard-response","82","192803","0.0-3.0-1.54","../audio/79-7-masc.mp3"," ","","último.","","","",""
"","null","html-keyboard-response","83","194078","0.0-3.0-0.55-0.55","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1829","audio-keyboard-response","84","196195","0.0-3.0-1.55","../audio/76-1-fem.mp3"," ","","O","","","",""
"","1381","audio-keyboard-response","85","197859","0.0-3.0-1.56","../audio/76-2-fem.mp3"," ","","bisavô","","","",""
"","1059","audio-keyboard-response","86","199203","0.0-3.0-1.57","../audio/76-3-fem.mp3"," ","","comprou","","","",""
