"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":7946}]","7947","instructions","0","7947","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","8575","0.0-1.0-0.0","+","null","","","","","",""
"","5995","html-keyboard-response","2","14572","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","15076","0.0-1.0-0.1","+","null","","","","","",""
"","2854","html-keyboard-response","4","17925","0.0-1.0-1.1","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","18430","0.0-1.0-0.2","+","null","","","","","",""
"","3478","html-keyboard-response","6","21909","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","22429","0.0-1.0-0.3","+","null","","","","","",""
"","2263","html-keyboard-response","8","24693","0.0-1.0-1.3","oliva","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","25199","0.0-1.0-0.4","+","null","","","","","",""
"","1589","html-keyboard-response","10","26789","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","27290","0.0-1.0-0.5","+","null","","","","","",""
"","2234","html-keyboard-response","12","29525","0.0-1.0-1.5","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","30040","0.0-1.0-0.6","+","null","","","","","",""
"","2637","html-keyboard-response","14","32677","0.0-1.0-1.6","daja","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":9808}]","9808","instructions","15","42486","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","43088","0.0-3.0-0.0","+","null","","","","","",""
"","2357","html-keyboard-response","17","45445","0.0-3.0-1.0","mabras","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","45947","0.0-3.0-0.1","+","null","","","","","",""
"","3402","html-keyboard-response","19","49349","0.0-3.0-1.1","ronronar","n","v","cog","word","S","exp","8"
"","null","html-keyboard-response","20","49850","0.0-3.0-0.2","+","null","","","","","",""
"","1466","html-keyboard-response","21","51317","0.0-3.0-1.2","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","22","51819","0.0-3.0-0.3","+","null","","","","","",""
"","1178","html-keyboard-response","23","52997","0.0-3.0-1.3","areia","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","24","53498","0.0-3.0-0.4","+","null","","","","","",""
"","1498","html-keyboard-response","25","54997","0.0-3.0-1.4","avenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","55498","0.0-3.0-0.5","+","null","","","","","",""
"","1147","html-keyboard-response","27","56645","0.0-3.0-1.5","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","28","57146","0.0-3.0-0.6","+","null","","","","","",""
"","939","html-keyboard-response","29","58085","0.0-3.0-1.6","quenzina","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","58587","0.0-3.0-0.7","+","null","","","","","",""
"","1610","html-keyboard-response","31","60197","0.0-3.0-1.7","cenada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","60698","0.0-3.0-0.8","+","null","","","","","",""
"","955","html-keyboard-response","33","61653","0.0-3.0-1.8","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","34","62154","0.0-3.0-0.9","+","null","","","","","",""
"","2651","html-keyboard-response","35","64805","0.0-3.0-1.9","dilheira","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","65306","0.0-3.0-0.10","+","null","","","","","",""
"","1467","html-keyboard-response","37","66773","0.0-3.0-1.10","país","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","38","67273","0.0-3.0-0.11","+","null","","","","","",""
"","2187","html-keyboard-response","39","69461","0.0-3.0-1.11","beima","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","69962","0.0-3.0-0.12","+","null","","","","","",""
"","1882","html-keyboard-response","41","71845","0.0-3.0-1.12","planalto","n","n","cog","word","S","exp","8"
"","null","html-keyboard-response","42","72346","0.0-3.0-0.13","+","null","","","","","",""
"","1755","html-keyboard-response","43","74101","0.0-3.0-1.13","bancada","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","44","74602","0.0-3.0-0.14","+","null","","","","","",""
"","1131","html-keyboard-response","45","75733","0.0-3.0-1.14","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","46","76234","0.0-3.0-0.15","+","null","","","","","",""
"","1835","html-keyboard-response","47","78074","0.0-3.0-1.15","detative","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","78575","0.0-3.0-0.16","+","null","","","","","",""
"","986","html-keyboard-response","49","79562","0.0-3.0-1.16","filme","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","50","80064","0.0-3.0-0.17","+","null","","","","","",""
"","1786","html-keyboard-response","51","81850","0.0-3.0-1.17","montanha","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","52","82352","0.0-3.0-0.18","+","null","","","","","",""
"","1018","html-keyboard-response","53","83370","0.0-3.0-1.18","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","54","83871","0.0-3.0-0.19","+","null","","","","","",""
"","923","html-keyboard-response","55","84794","0.0-3.0-1.19","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","56","85295","0.0-3.0-0.20","+","null","","","","","",""
"","970","html-keyboard-response","57","86266","0.0-3.0-1.20","brincar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","58","86767","0.0-3.0-0.21","+","null","","","","","",""
"","1162","html-keyboard-response","59","87930","0.0-3.0-1.21","socorro","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","60","88431","0.0-3.0-0.22","+","null","","","","","",""
"","1482","html-keyboard-response","61","89914","0.0-3.0-1.22","crolatário","s","null","noncog","pseudo","N","exp","null"
