"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":1066}]","1066","instructions","0","1068","0.0-0.0","",""
"","35174","survey-text","1","36363","0.0-1.0","{""age"":""30""}",""
"","5041","survey-multi-choice","2","41507","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","26378","survey-multi-choice","3","67987","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","32514","survey-multi-choice","4","100602","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","6994","survey-multi-choice","5","107698","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","311634","survey-html-form","6","419434","0.0-6.0","{""language_0"":""CRIOULO"",""listening_0"":""1"",""speaking_0"":""1"",""reading_0"":""1"",""writing_0"":""1"",""language_1"":""FRANCES"",""listening_1"":""11"",""speaking_1"":""11"",""reading_1"":""11"",""writing_1"":""11"",""language_2"":""PORT"",""listening_2"":""25"",""speaking_2"":""25"",""reading_2"":""25"",""writing_2"":""25"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","344682","survey-html-form","7","764215","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""FRANCES"",""listening_1"":""11"",""speaking_1"":""11"",""reading_1"":""11"",""writing_1"":""11"",""language_2"":""PORTUGUES"",""listening_2"":""25"",""speaking_2"":""25"",""reading_2"":""25"",""writing_2"":""25""}",""
"","33313","survey-text","8","797630","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","13178","survey-text","9","810910","0.0-9.0","{""country_of_residence"":""BRASIL""}",""
"","103154","survey-html-form","10","914166","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","71842","survey-html-form","11","986109","0.0-11.0","{""language_0"":""PORTUGUES"",""context_0"":""2"",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
