"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":109266}]","109266","instructions","0","109271","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","109898","0.0-1.0-0.0","+","null","","","","","",""
"","6819","html-keyboard-response","2","116721","0.0-1.0-1.0","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","117234","0.0-1.0-0.1","+","null","","","","","",""
"","14203","html-keyboard-response","4","131438","0.0-1.0-1.1","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","131941","0.0-1.0-0.2","+","null","","","","","",""
"","5238","html-keyboard-response","6","137180","0.0-1.0-1.2","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","137694","0.0-1.0-0.3","+","null","","","","","",""
"","1467","html-keyboard-response","8","139162","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","139664","0.0-1.0-0.4","+","null","","","","","",""
"","1462","html-keyboard-response","10","141127","0.0-1.0-1.4","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","141645","0.0-1.0-0.5","+","null","","","","","",""
"","2517","html-keyboard-response","12","144163","0.0-1.0-1.5","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","144672","0.0-1.0-0.6","+","null","","","","","",""
"","2530","html-keyboard-response","14","147204","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":80757}]","80757","instructions","15","227963","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","228577","0.0-3.0-0.0","+","null","","","","","",""
"","2007","html-keyboard-response","17","230585","0.0-3.0-1.0","conjerto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","231093","0.0-3.0-0.1","+","null","","","","","",""
"","1289","html-keyboard-response","19","232383","0.0-3.0-1.1","dipata","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","232887","0.0-3.0-0.2","+","null","","","","","",""
"","1594","html-keyboard-response","21","234482","0.0-3.0-1.2","enedro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","234994","0.0-3.0-0.3","+","null","","","","","",""
"","1327","html-keyboard-response","23","236322","0.0-3.0-1.3","esfoce","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","236828","0.0-3.0-0.4","+","null","","","","","",""
"","1552","html-keyboard-response","25","238380","0.0-3.0-1.4","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","26","238888","0.0-3.0-0.5","+","null","","","","","",""
"","2018","html-keyboard-response","27","240906","0.0-3.0-1.5","hébies","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","241421","0.0-3.0-0.6","+","null","","","","","",""
"","2365","html-keyboard-response","29","243787","0.0-3.0-1.6","telafonir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","244292","0.0-3.0-0.7","+","null","","","","","",""
"","1269","html-keyboard-response","31","245563","0.0-3.0-1.7","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","32","246065","0.0-3.0-0.8","+","null","","","","","",""
"","1851","html-keyboard-response","33","247918","0.0-3.0-1.8","nervoso","s","a","noncog","word","S","exp","7"
"","null","html-keyboard-response","34","248430","0.0-3.0-0.9","+","null","","","","","",""
"","1728","html-keyboard-response","35","250159","0.0-3.0-1.9","morija","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","250673","0.0-3.0-0.10","+","null","","","","","",""
"","1039","html-keyboard-response","37","251714","0.0-3.0-1.10","melão","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","38","252217","0.0-3.0-0.11","+","null","","","","","",""
"","988","html-keyboard-response","39","253205","0.0-3.0-1.11","uchães","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","253714","0.0-3.0-0.12","+","null","","","","","",""
"","1233","html-keyboard-response","41","254949","0.0-3.0-1.12","manfa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","255454","0.0-3.0-0.13","+","null","","","","","",""
"","1422","html-keyboard-response","43","256875","0.0-3.0-1.13","orupas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","257387","0.0-3.0-0.14","+","null","","","","","",""
"","1148","html-keyboard-response","45","258538","0.0-3.0-1.14","tênis","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","46","259045","0.0-3.0-0.15","+","null","","","","","",""
"","2493","html-keyboard-response","47","261539","0.0-3.0-1.15","disbrituir","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","262053","0.0-3.0-0.16","+","null","","","","","",""
"","2094","html-keyboard-response","49","264147","0.0-3.0-1.16","mania","n","n","cog","word","S","exp","5"
"","null","html-keyboard-response","50","264650","0.0-3.0-0.17","+","null","","","","","",""
"","2172","html-keyboard-response","51","266823","0.0-3.0-1.17","oper","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","267329","0.0-3.0-0.18","+","null","","","","","",""
"","1856","html-keyboard-response","53","269185","0.0-3.0-1.18","atapdar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","269702","0.0-3.0-0.19","+","null","","","","","",""
"","1414","html-keyboard-response","55","271117","0.0-3.0-1.19","beima","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","271625","0.0-3.0-0.20","+","null","","","","","",""
"","960","html-keyboard-response","57","272587","0.0-3.0-1.20","pangos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","273098","0.0-3.0-0.21","+","null","","","","","",""
"","1116","html-keyboard-response","59","274215","0.0-3.0-1.21","tartos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","274716","0.0-3.0-0.22","+","null","","","","","",""
"","2141","html-keyboard-response","61","276859","0.0-3.0-1.22","sanque","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","277365","0.0-3.0-0.23","+","null","","","","","",""
"","922","html-keyboard-response","63","278289","0.0-3.0-1.23","jantar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","64","278798","0.0-3.0-0.24","+","null","","","","","",""
"","980","html-keyboard-response","65","279778","0.0-3.0-1.24","brincar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","66","280292","0.0-3.0-0.25","+","null","","","","","",""
"","1420","html-keyboard-response","67","281712","0.0-3.0-1.25","protas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","282213","0.0-3.0-0.26","+","null","","","","","",""
