"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":21489},{""page_index"":1,""viewing_time"":1597}]","23086","instructions","0","23092","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","24219","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3477","html-keyboard-response","2","27952","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","929","html-keyboard-response","3","29136","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","799","html-keyboard-response","4","30202","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","899","html-keyboard-response","5","31363","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","696","html-keyboard-response","6","32313","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","674","html-keyboard-response","7","33255","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","736","html-keyboard-response","8","34257","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","35521","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1650","html-keyboard-response","10","37437","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","806","html-keyboard-response","11","38511","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","905","html-keyboard-response","12","39672","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","685","html-keyboard-response","13","40609","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","685","html-keyboard-response","14","41546","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","793","html-keyboard-response","15","42591","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","589","html-keyboard-response","16","43436","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","808","html-keyboard-response","17","44497","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","2391","html-keyboard-response","18","47155","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":15897}]","15898","instructions","19","63555","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","64680","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1264","html-keyboard-response","21","66205","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Ganhamos</span>"," ","","exp-sent","Ganhamos","","",""
"","701","html-keyboard-response","22","67172","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">passagem</span>"," ","","exp-sent","passagem","","",""
"","648","html-keyboard-response","23","68084","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","665","html-keyboard-response","24","69000","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","784","html-keyboard-response","25","70039","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">viagem</span>"," ","","exp-sent","viagem","","",""
"","651","html-keyboard-response","26","70954","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","783","html-keyboard-response","27","71999","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">férias.</span>"," ","","exp-sent","férias.","","",""
"","null","html-keyboard-response","28","73264","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1014","html-keyboard-response","29","74543","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Caiu</span>"," ","","exp-sent","Caiu","","",""
"","805","html-keyboard-response","30","75611","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">algo</span>"," ","","exp-sent","algo","","",""
"","756","html-keyboard-response","31","76627","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","734","html-keyboard-response","32","77620","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">meu</span>"," ","","exp-sent","meu","","",""
"","738","html-keyboard-response","33","78621","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">olho</span>"," ","","exp-sent","olho","","",""
"","793","html-keyboard-response","34","79676","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">ontem</span>"," ","","exp-sent","ontem","","",""
"","714","html-keyboard-response","35","80650","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","718","html-keyboard-response","36","81630","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">tarde.</span>"," ","","exp-sent","tarde.","","",""
"","null","html-keyboard-response","37","82894","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","874","html-keyboard-response","38","84027","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">Não</span>"," ","","exp-sent","Não","","",""
"","763","html-keyboard-response","39","85054","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">havia</span>"," ","","exp-sent","havia","","",""
"","783","html-keyboard-response","40","86099","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">mais</span>"," ","","exp-sent","mais","","",""
"","744","html-keyboard-response","41","87105","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">nenhum</span>"," ","","exp-sent","nenhum","","",""
"","694","html-keyboard-response","42","88054","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">ingresso</span>"," ","","exp-sent","ingresso","","",""
"","665","html-keyboard-response","43","88978","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","753","html-keyboard-response","44","89994","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","658","html-keyboard-response","45","90904","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">evento.</span>"," ","","exp-sent","evento.","","",""
"","null","html-keyboard-response","46","92163","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","960","html-keyboard-response","47","93378","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","837","html-keyboard-response","48","94477","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">médica</span>"," ","","exp-sent","médica","","",""
"","834","html-keyboard-response","49","95575","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">descobriu</span>"," ","","exp-sent","descobriu","","",""
"","659","html-keyboard-response","50","96496","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","697","html-keyboard-response","51","97445","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">cura</span>"," ","","exp-sent","cura","","",""
"","654","html-keyboard-response","52","98361","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","627","html-keyboard-response","53","99240","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","744","html-keyboard-response","54","100243","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">doença.</span>"," ","","exp-sent","doença.","","",""
"","null","html-keyboard-response","55","101509","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","605","html-keyboard-response","56","102379","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","663","html-keyboard-response","57","103300","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">menino</span>"," ","","exp-sent","menino","","",""
"","700","html-keyboard-response","58","104254","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">riscou</span>"," ","","exp-sent","riscou","","",""
"","601","html-keyboard-response","59","105119","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","911","html-keyboard-response","60","106303","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">caderno</span>"," ","","exp-sent","caderno","","",""
"","754","html-keyboard-response","61","107325","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","764","html-keyboard-response","62","108351","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","856","html-keyboard-response","63","109469","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">caneta.</span>"," ","","comp","caneta.","","",""
"","2877","html-keyboard-response","64","112606","0.0-3.0-2.38-0.38","<span style=""font-size:30px; font-family: monospace"">O menino riscou a parede com a caneta?</span>","s","","comp","","O menino riscou a parede com a caneta?","não","false"
"","null","html-keyboard-response","65","114134","0.0-3.0-0.39-0.39","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","634","html-keyboard-response","66","115032","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","662","html-keyboard-response","67","115960","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">texto</span>"," ","","exp-sent","texto","","",""
"","608","html-keyboard-response","68","116821","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">trazia</span>"," ","","exp-sent","trazia","","",""
"","524","html-keyboard-response","69","117606","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","753","html-keyboard-response","70","118615","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">argumento</span>"," ","","exp-sent","argumento","","",""
"","537","html-keyboard-response","71","119404","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">central</span>"," ","","exp-sent","central","","",""
"","446","html-keyboard-response","72","120115","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","527","html-keyboard-response","73","120895","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","856","html-keyboard-response","74","122006","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">conversa.</span>"," ","","exp-sent","conversa.","","",""
"","null","html-keyboard-response","75","123273","0.0-3.0-0.48-0.48","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","752","html-keyboard-response","76","124278","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">Ontem</span>"," ","","exp-sent","Ontem","","",""
"","608","html-keyboard-response","77","125147","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","727","html-keyboard-response","78","126135","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">temperatura</span>"," ","","exp-sent","temperatura","","",""
"","625","html-keyboard-response","79","127026","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","667","html-keyboard-response","80","127967","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">amena</span>"," ","","exp-sent","amena","","",""
"","582","html-keyboard-response","81","128808","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","607","html-keyboard-response","82","129670","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","826","html-keyboard-response","83","130748","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","84","132023","0.0-3.0-0.56-0.56","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
