"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":4069}]","4069","instructions","0","4075","0.0-0.0","","","",""
"","null","html-keyboard-response","1","4697","0.0-1.0-0.0","+","null","",""
"","2611","audio-keyboard-response","2","7819","0.0-1.0-1.0","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","3","8322","0.0-1.0-0.1","+","null","",""
"","2560","audio-keyboard-response","4","10963","0.0-1.0-1.1","../audio/teste-vocab--21.mp3","s","baleia","balèn"
"","null","html-keyboard-response","5","11474","0.0-1.0-0.2","+","null","",""
"","2549","audio-keyboard-response","6","14099","0.0-1.0-1.2","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","7","14602","0.0-1.0-0.3","+","null","",""
"","2459","audio-keyboard-response","8","17139","0.0-1.0-1.3","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","9","17643","0.0-1.0-0.4","+","null","",""
"","3829","audio-keyboard-response","10","21574","0.0-1.0-1.4","../audio/teste-vocab--103.mp3","n","utensílio","istansil"
"","null","html-keyboard-response","11","22083","0.0-1.0-0.5","+","null","",""
"","2520","audio-keyboard-response","12","24681","0.0-1.0-1.5","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","13","25182","0.0-1.0-0.6","+","null","",""
"","2080","audio-keyboard-response","14","27327","0.0-1.0-1.6","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","15","27832","0.0-1.0-0.7","+","null","",""
"","3408","audio-keyboard-response","16","31329","0.0-1.0-1.7","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","17","31844","0.0-1.0-0.8","+","null","",""
"","2459","audio-keyboard-response","18","34375","0.0-1.0-1.8","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","19","34887","0.0-1.0-0.9","+","null","",""
"","2120","audio-keyboard-response","20","37070","0.0-1.0-1.9","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","21","37583","0.0-1.0-0.10","+","null","",""
"","2821","audio-keyboard-response","22","40476","0.0-1.0-1.10","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","23","40982","0.0-1.0-0.11","+","null","",""
"","1832","audio-keyboard-response","24","42883","0.0-1.0-1.11","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","25","43393","0.0-1.0-0.12","+","null","",""
"","3189","audio-keyboard-response","26","46647","0.0-1.0-1.12","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","27","47162","0.0-1.0-0.13","+","null","",""
"","2920","audio-keyboard-response","28","50166","0.0-1.0-1.13","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","29","50672","0.0-1.0-0.14","+","null","",""
"","2072","audio-keyboard-response","30","52803","0.0-1.0-1.14","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","31","53311","0.0-1.0-0.15","+","null","",""
"","2389","audio-keyboard-response","32","55778","0.0-1.0-1.15","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","33","56293","0.0-1.0-0.16","+","null","",""
"","2112","audio-keyboard-response","34","58480","0.0-1.0-1.16","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","35","58992","0.0-1.0-0.17","+","null","",""
"","2299","audio-keyboard-response","36","61374","0.0-1.0-1.17","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","37","61882","0.0-1.0-0.18","+","null","",""
"","2309","audio-keyboard-response","38","64267","0.0-1.0-1.18","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","39","64773","0.0-1.0-0.19","+","null","",""
"","2312","audio-keyboard-response","40","67156","0.0-1.0-1.19","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","41","67663","0.0-1.0-0.20","+","null","",""
"","2739","audio-keyboard-response","42","70487","0.0-1.0-1.20","../audio/teste-vocab--118.mp3","s","paralelogramo","paralelogram"
"","null","html-keyboard-response","43","71003","0.0-1.0-0.21","+","null","",""
"","1819","audio-keyboard-response","44","72898","0.0-1.0-1.21","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","45","73402","0.0-1.0-0.22","+","null","",""
"","2720","audio-keyboard-response","46","76192","0.0-1.0-1.22","../audio/teste-vocab--12.mp3","n","jaula","kaj"
"","null","html-keyboard-response","47","76704","0.0-1.0-0.23","+","null","",""
"","1960","audio-keyboard-response","48","78732","0.0-1.0-1.23","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","49","79242","0.0-1.0-0.24","+","null","",""
"","2531","audio-keyboard-response","50","81845","0.0-1.0-1.24","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","51","82362","0.0-1.0-0.25","+","null","",""
"","2211","audio-keyboard-response","52","84642","0.0-1.0-1.25","../audio/teste-vocab--104.mp3","s","ira","pwal"
"","null","html-keyboard-response","53","85155","0.0-1.0-0.26","+","null","",""
"","2461","audio-keyboard-response","54","87676","0.0-1.0-1.26","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","55","88192","0.0-1.0-0.27","+","null","",""
"","3059","audio-keyboard-response","56","91329","0.0-1.0-1.27","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","57","91842","0.0-1.0-0.28","+","null","",""
"","2619","audio-keyboard-response","58","94535","0.0-1.0-1.28","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","59","95043","0.0-1.0-0.29","+","null","",""
"","2008","audio-keyboard-response","60","97134","0.0-1.0-1.29","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","61","97641","0.0-1.0-0.30","+","null","",""
"","2811","audio-keyboard-response","62","100536","0.0-1.0-1.30","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","63","101042","0.0-1.0-0.31","+","null","",""
"","1840","audio-keyboard-response","64","102947","0.0-1.0-1.31","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","65","103462","0.0-1.0-0.32","+","null","",""
"","1600","audio-keyboard-response","66","105130","0.0-1.0-1.32","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","67","105638","0.0-1.0-0.33","+","null","",""
"","2280","audio-keyboard-response","68","107985","0.0-1.0-1.33","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","69","108498","0.0-1.0-0.34","+","null","",""
"","1800","audio-keyboard-response","70","110372","0.0-1.0-1.34","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","71","110891","0.0-1.0-0.35","+","null","",""
"","1840","audio-keyboard-response","72","112765","0.0-1.0-1.35","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","73","113272","0.0-1.0-0.36","+","null","",""
"","2069","audio-keyboard-response","74","115391","0.0-1.0-1.36","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","75","115892","0.0-1.0-0.37","+","null","",""
"","1939","audio-keyboard-response","76","117863","0.0-1.0-1.37","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","77","118382","0.0-1.0-0.38","+","null","",""
"","2051","audio-keyboard-response","78","120507","0.0-1.0-1.38","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","79","121014","0.0-1.0-0.39","+","null","",""
"","2112","audio-keyboard-response","80","123203","0.0-1.0-1.39","../audio/teste-vocab--124.mp3","s","obelisco","obelisk"
"","null","html-keyboard-response","81","123712","0.0-1.0-0.40","+","null","",""
"","1979","audio-keyboard-response","82","125767","0.0-1.0-1.40","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","83","126282","0.0-1.0-0.41","+","null","",""
"","2171","audio-keyboard-response","84","128543","0.0-1.0-1.41","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","85","129062","0.0-1.0-0.42","+","null","",""
"","2131","audio-keyboard-response","86","131261","0.0-1.0-1.42","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","87","131763","0.0-1.0-0.43","+","null","",""
"","2109","audio-keyboard-response","88","133942","0.0-1.0-1.43","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","89","134453","0.0-1.0-0.44","+","null","",""
"","3152","audio-keyboard-response","90","137676","0.0-1.0-1.44","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","91","138188","0.0-1.0-0.45","+","null","",""
"","2011","audio-keyboard-response","92","140269","0.0-1.0-1.45","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","93","140773","0.0-1.0-0.46","+","null","",""
"","2560","audio-keyboard-response","94","143432","0.0-1.0-1.46","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","95","143952","0.0-1.0-0.47","+","null","",""
"","2368","audio-keyboard-response","96","146414","0.0-1.0-1.47","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","97","146932","0.0-1.0-0.48","+","null","",""
"","1808","audio-keyboard-response","98","148808","0.0-1.0-1.48","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","99","149323","0.0-1.0-0.49","+","null","",""
"","2051","audio-keyboard-response","100","151429","0.0-1.0-1.49","../audio/teste-vocab--30.mp3","s","pintor","pent"
"","null","html-keyboard-response","101","151942","0.0-1.0-0.50","+","null","",""
"","2309","audio-keyboard-response","102","154328","0.0-1.0-1.50","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","103","154832","0.0-1.0-0.51","+","null","",""
"","2389","audio-keyboard-response","104","157302","0.0-1.0-1.51","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","105","157807","0.0-1.0-0.52","+","null","",""
"","1739","audio-keyboard-response","106","159605","0.0-1.0-1.52","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","107","160117","0.0-1.0-0.53","+","null","",""
"","2589","audio-keyboard-response","108","162779","0.0-1.0-1.53","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","109","163292","0.0-1.0-0.54","+","null","",""
"","2272","audio-keyboard-response","110","165637","0.0-1.0-1.54","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","111","166142","0.0-1.0-0.55","+","null","",""
"","1971","audio-keyboard-response","112","168175","0.0-1.0-1.55","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","113","168692","0.0-1.0-0.56","+","null","",""
"","2099","audio-keyboard-response","114","170856","0.0-1.0-1.56","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","115","171373","0.0-1.0-0.57","+","null","",""
"","2101","audio-keyboard-response","116","173549","0.0-1.0-1.57","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","117","174052","0.0-1.0-0.58","+","null","",""
"","2181","audio-keyboard-response","118","176311","0.0-1.0-1.58","../audio/teste-vocab--63.mp3","s","transparente","transparan"
"","null","html-keyboard-response","119","176813","0.0-1.0-0.59","+","null","",""
"","2189","audio-keyboard-response","120","179074","0.0-1.0-1.59","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","121","179583","0.0-1.0-0.60","+","null","",""
"","3531","audio-keyboard-response","122","183193","0.0-1.0-1.60","../audio/teste-vocab--78.mp3","n","quarteto","qwatèt"
"","null","html-keyboard-response","123","183706","0.0-1.0-0.61","+","null","",""
"","2720","audio-keyboard-response","124","186486","0.0-1.0-1.61","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","125","186992","0.0-1.0-0.62","+","null","",""
"","3181","audio-keyboard-response","126","190242","0.0-1.0-1.62","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","127","190763","0.0-1.0-0.63","+","null","",""
"","2539","audio-keyboard-response","128","193384","0.0-1.0-1.63","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","129","193893","0.0-1.0-0.64","+","null","",""
"","2040","audio-keyboard-response","130","196006","0.0-1.0-1.64","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","131","196523","0.0-1.0-0.65","+","null","",""
"","2429","audio-keyboard-response","132","199034","0.0-1.0-1.65","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","133","199548","0.0-1.0-0.66","+","null","",""
"","2000","audio-keyboard-response","134","201619","0.0-1.0-1.66","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","135","202123","0.0-1.0-0.67","+","null","",""
"","2371","audio-keyboard-response","136","204560","0.0-1.0-1.67","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","137","205063","0.0-1.0-0.68","+","null","",""
"","2011","audio-keyboard-response","138","207150","0.0-1.0-1.68","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","139","207653","0.0-1.0-0.69","+","null","",""
"","1899","audio-keyboard-response","140","209625","0.0-1.0-1.69","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","141","210136","0.0-1.0-0.70","+","null","",""
"","2608","audio-keyboard-response","142","212807","0.0-1.0-1.70","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","143","213312","0.0-1.0-0.71","+","null","",""
"","2109","audio-keyboard-response","144","215503","0.0-1.0-1.71","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","145","216012","0.0-1.0-0.72","+","null","",""
"","5221","audio-keyboard-response","146","221317","0.0-1.0-1.72","../audio/teste-vocab--101.mp3","n","incandescente","enkandesan"
"","null","html-keyboard-response","147","221823","0.0-1.0-0.73","+","null","",""
"","2211","audio-keyboard-response","148","224106","0.0-1.0-1.73","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","149","224623","0.0-1.0-0.74","+","null","",""
"","2080","audio-keyboard-response","150","226770","0.0-1.0-1.74","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","151","227283","0.0-1.0-0.75","+","null","",""
"","2248","audio-keyboard-response","152","229609","0.0-1.0-1.75","../audio/teste-vocab--95.mp3","s","submergir","plonje"
"","null","html-keyboard-response","153","230114","0.0-1.0-0.76","+","null","",""
"","2469","audio-keyboard-response","154","232665","0.0-1.0-1.76","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","155","233183","0.0-1.0-0.77","+","null","",""
"","1920","audio-keyboard-response","156","235165","0.0-1.0-1.77","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","157","235683","0.0-1.0-0.78","+","null","",""
"","2259","audio-keyboard-response","158","238011","0.0-1.0-1.78","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","159","238514","0.0-1.0-0.79","+","null","",""
"","2469","audio-keyboard-response","160","241059","0.0-1.0-1.79","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","161","241562","0.0-1.0-0.80","+","null","",""
"","1851","audio-keyboard-response","162","243480","0.0-1.0-1.80","../audio/teste-vocab--83.mp3","s","morsa","mòs"
"","null","html-keyboard-response","163","243993","0.0-1.0-0.81","+","null","",""
"","2800","audio-keyboard-response","164","246870","0.0-1.0-1.81","../audio/teste-vocab--05.mp3","s","limpar","netwaye"
"","null","html-keyboard-response","165","247378","0.0-1.0-0.82","+","null","",""
