"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":1536},{""page_index"":1,""viewing_time"":6228}]","7764","instructions","0","7768","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","8895","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3592","audio-keyboard-response","2","13281","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1371","audio-keyboard-response","3","14957","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1499","audio-keyboard-response","4","16773","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1549","audio-keyboard-response","5","18627","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1448","audio-keyboard-response","6","20371","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1429","audio-keyboard-response","7","22099","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1200","audio-keyboard-response","8","23602","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","24876","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","949","audio-keyboard-response","10","26136","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1320","audio-keyboard-response","11","27761","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1149","audio-keyboard-response","12","29223","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1139","audio-keyboard-response","13","30668","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1032","audio-keyboard-response","14","32000","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1181","audio-keyboard-response","15","33477","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1000","audio-keyboard-response","16","34777","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1141","audio-keyboard-response","17","36233","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","3887","html-keyboard-response","18","40374","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":6243}]","6243","instructions","19","47134","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","48259","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1291","audio-keyboard-response","21","52308","0.0-3.0-1.0","../audio/47-1-masc.mp3"," ","","O","","","",""
"","1131","audio-keyboard-response","22","56642","0.0-3.0-1.1","../audio/47-2-masc.mp3"," ","","tio","","","",""
"","1120","audio-keyboard-response","23","62123","0.0-3.0-1.2","../audio/47-3-masc.mp3"," ","","recusou","","","",""
"","840","audio-keyboard-response","24","66254","0.0-3.0-1.3","../audio/47-4-masc.mp3"," ","","a","","","",""
"","1349","audio-keyboard-response","25","68750","0.0-3.0-1.4","../audio/47-5-masc.mp3"," ","","sobremesa","","","",""
"","1099","audio-keyboard-response","26","73094","0.0-3.0-1.5","../audio/47-6-masc.mp3"," ","","no","","","",""
"","1189","audio-keyboard-response","27","77650","0.0-3.0-1.6","../audio/47-7-masc.mp3"," ","","almoço.","","","",""
