"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":3250},{""page_index"":1,""viewing_time"":10088}]","13339","instructions","0","13340","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","14464","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1560","audio-keyboard-response","2","16307","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1819","audio-keyboard-response","3","18402","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1491","audio-keyboard-response","4","20162","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2000","audio-keyboard-response","5","22434","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","848","audio-keyboard-response","6","23554","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1669","audio-keyboard-response","7","25490","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1032","audio-keyboard-response","8","26786","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","28050","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","952","audio-keyboard-response","10","29266","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1528","audio-keyboard-response","11","31074","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1411","audio-keyboard-response","12","32770","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1091","audio-keyboard-response","13","34130","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","749","audio-keyboard-response","14","35154","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1008","audio-keyboard-response","15","36434","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","640","audio-keyboard-response","16","37346","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1059","audio-keyboard-response","17","38674","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","18211","html-keyboard-response","18","57139","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":9635}]","9635","instructions","19","67275","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","68405","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3021","audio-keyboard-response","21","71698","0.0-3.0-1.0","../audio/22-1-fem.mp3"," ","","Eu","","","",""
"","3789","audio-keyboard-response","22","75762","0.0-3.0-1.1","../audio/22-2-fem.mp3"," ","","detesto","","","",""
"","21939","audio-keyboard-response","23","97986","0.0-3.0-1.2","../audio/22-3-fem.mp3"," ","","fumaça","","","",""
"","29","audio-keyboard-response","24","98290","0.0-3.0-1.3","../audio/22-4-fem.mp3"," ","","de","","","",""
"","2579","audio-keyboard-response","25","101154","0.0-3.0-1.4","../audio/22-5-fem.mp3"," ","","cachimbo","","","",""
"","1181","audio-keyboard-response","26","102610","0.0-3.0-1.5","../audio/22-6-fem.mp3"," ","","e","","","",""
"","1019","audio-keyboard-response","27","103906","0.0-3.0-1.6","../audio/22-7-fem.mp3"," ","","de","","","",""
"","1101","audio-keyboard-response","28","105298","0.0-3.0-1.7","../audio/22-8-fem.mp3"," ","","cigarro.","","","",""
"","null","html-keyboard-response","29","106564","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2051","audio-keyboard-response","30","108898","0.0-3.0-1.8","../audio/21-1-fem.mp3"," ","","Precisamos","","","",""
"","800","audio-keyboard-response","31","109986","0.0-3.0-1.9","../audio/21-2-fem.mp3"," ","","de","","","",""
"","1291","audio-keyboard-response","32","111570","0.0-3.0-1.10","../audio/21-3-fem.mp3"," ","","paciência","","","",""
"","789","audio-keyboard-response","33","112626","0.0-3.0-1.11","../audio/21-4-fem.mp3"," ","","e","","","",""
"","1352","audio-keyboard-response","34","114258","0.0-3.0-1.12","../audio/21-5-fem.mp3"," ","","bondade","","","",""
"","1419","audio-keyboard-response","35","115954","0.0-3.0-1.13","../audio/21-6-fem.mp3"," ","","para","","","",""
"","851","audio-keyboard-response","36","117090","0.0-3.0-1.14","../audio/21-7-fem.mp3"," ","","um","","","",""
"","1149","audio-keyboard-response","37","118514","0.0-3.0-1.15","../audio/21-8-fem.mp3"," ","","mundo","","","",""
"","1160","audio-keyboard-response","38","119954","0.0-3.0-1.16","../audio/21-9-fem.mp3"," ","","melhor.","","","",""
"","null","html-keyboard-response","39","121220","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2080","audio-keyboard-response","40","123586","0.0-3.0-1.17","../audio/24-1-masc.mp3"," ","","As","","","",""
"","1712","audio-keyboard-response","41","125570","0.0-3.0-1.18","../audio/24-2-masc.mp3"," ","","crianças","","","",""
"","1320","audio-keyboard-response","42","127170","0.0-3.0-1.19","../audio/24-3-masc.mp3"," ","","vão","","","",""
"","1080","audio-keyboard-response","43","128530","0.0-3.0-1.20","../audio/24-4-masc.mp3"," ","","ao","","","",""
"","1211","audio-keyboard-response","44","130018","0.0-3.0-1.21","../audio/24-5-masc.mp3"," ","","cinema","","","",""
"","941","audio-keyboard-response","45","131250","0.0-3.0-1.22","../audio/24-6-masc.mp3"," ","","mais","","","",""
"","909","audio-keyboard-response","46","132434","0.0-3.0-1.23","../audio/24-7-masc.mp3"," ","","tarde.","","","",""
"","null","html-keyboard-response","47","133693","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","120","audio-keyboard-response","48","134082","0.0-3.0-1.24","../audio/23-1-masc.mp3"," ","","Português","","","",""
"","952","audio-keyboard-response","49","135298","0.0-3.0-1.25","../audio/23-2-masc.mp3"," ","","é","","","",""
"","771","audio-keyboard-response","50","136338","0.0-3.0-1.26","../audio/23-3-masc.mp3"," ","","um","","","",""
"","1320","audio-keyboard-response","51","137938","0.0-3.0-1.27","../audio/23-4-masc.mp3"," ","","assunto","","","",""
"","1560","audio-keyboard-response","52","139762","0.0-3.0-1.28","../audio/23-5-masc.mp3"," ","","elementar","","","",""
"","1021","audio-keyboard-response","53","141058","0.0-3.0-1.29","../audio/23-6-masc.mp3"," ","","para","","","",""
"","909","audio-keyboard-response","54","142242","0.0-3.0-1.30","../audio/23-7-masc.mp3"," ","","os","","","",""
"","1181","audio-keyboard-response","55","143698","0.0-3.0-1.31","../audio/23-8-masc.mp3"," ","","alunos.","","","",""
"","null","html-keyboard-response","56","144955","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1141","audio-keyboard-response","57","146370","0.0-3.0-1.32","../audio/25-1-fem.mp3"," ","","Ela","","","",""
"","1069","audio-keyboard-response","58","147714","0.0-3.0-1.33","../audio/25-2-fem.mp3"," ","","faz","","","",""
"","1200","audio-keyboard-response","59","149186","0.0-3.0-1.34","../audio/25-3-fem.mp3"," ","","tanto","","","",""
"","1101","audio-keyboard-response","60","150562","0.0-3.0-1.35","../audio/25-4-fem.mp3"," ","","cabelo","","","",""
"","1211","audio-keyboard-response","61","152050","0.0-3.0-1.36","../audio/25-5-fem.mp3"," ","","liso","","","",""
"","1011","audio-keyboard-response","62","153330","0.0-3.0-1.37","../audio/25-6-fem.mp3"," ","","quanto","","","",""
"","1499","audio-keyboard-response","63","155106","0.0-3.0-1.38","../audio/25-7-fem.mp3"," ","","cacheado.","","","",""
"","89658","html-keyboard-response","64","245026","0.0-3.0-2.38-0.38","<span style=""font-size:25px; font-family: monospace"">Ela só faz cabelo cacheado?</span>","s","","","Ela só faz cabelo cacheado?","null","exp-sent","false"
"","null","html-keyboard-response","65","246528","0.0-3.0-0.39-0.39","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3069","audio-keyboard-response","66","249922","0.0-3.0-1.39","../audio/59-1-fem.mp3"," ","","O","","","",""
"","3299","audio-keyboard-response","67","253506","0.0-3.0-1.40","../audio/59-2-fem.mp3"," ","","carteiro","","","",""
"","1741","audio-keyboard-response","68","255522","0.0-3.0-1.41","../audio/59-3-fem.mp3"," ","","fez","","","",""
"","931","audio-keyboard-response","69","256722","0.0-3.0-1.42","../audio/59-4-fem.mp3"," ","","uma","","","",""
"","1680","audio-keyboard-response","70","258690","0.0-3.0-1.43","../audio/59-5-fem.mp3"," ","","tentativa","","","",""
"","851","audio-keyboard-response","71","259810","0.0-3.0-1.44","../audio/59-6-fem.mp3"," ","","de","","","",""
"","2320","audio-keyboard-response","72","262402","0.0-3.0-1.45","../audio/59-7-fem.mp3"," ","","entrega.","","","",""
"","null","html-keyboard-response","73","263659","0.0-3.0-0.46-0.46","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1341","audio-keyboard-response","74","265282","0.0-3.0-1.46","../audio/58-1-fem.mp3"," ","","Havia","","","",""
"","1309","audio-keyboard-response","75","266866","0.0-3.0-1.47","../audio/58-2-fem.mp3"," ","","apenas","","","",""
"","1160","audio-keyboard-response","76","268306","0.0-3.0-1.48","../audio/58-3-fem.mp3"," ","","um","","","",""
"","1381","audio-keyboard-response","77","269970","0.0-3.0-1.49","../audio/58-4-fem.mp3"," ","","último","","","",""
"","1280","audio-keyboard-response","78","271522","0.0-3.0-1.50","../audio/58-5-fem.mp3"," ","","herdeiro","","","",""
"","869","audio-keyboard-response","79","272674","0.0-3.0-1.51","../audio/58-6-fem.mp3"," ","","do","","","",""
"","2549","audio-keyboard-response","80","275506","0.0-3.0-1.52","../audio/58-7-fem.mp3"," ","","dinheiro.","","","",""
"","null","html-keyboard-response","81","276768","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1109","audio-keyboard-response","82","278146","0.0-3.0-1.53","../audio/56-1-fem.mp3"," ","","A","","","",""
"","1051","audio-keyboard-response","83","279474","0.0-3.0-1.54","../audio/56-2-fem.mp3"," ","","moça","","","",""
