"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":2543},{""page_index"":1,""viewing_time"":18248}]","20792","instructions","0","20793","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","21920","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2673","html-keyboard-response","2","24849","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","12034","html-keyboard-response","3","37136","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","2566","html-keyboard-response","4","39952","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","2325","html-keyboard-response","5","42528","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","2037","html-keyboard-response","6","44816","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1541","html-keyboard-response","7","46608","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","1701","html-keyboard-response","8","48560","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","49811","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1265","html-keyboard-response","10","51328","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","5141","html-keyboard-response","11","56720","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1829","html-keyboard-response","12","58800","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1669","html-keyboard-response","13","60720","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","757","html-keyboard-response","14","61728","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","916","html-keyboard-response","15","62896","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","710","html-keyboard-response","16","63856","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1349","html-keyboard-response","17","65456","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","14677","html-keyboard-response","18","80384","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":6558}]","6558","instructions","19","87448","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","88550","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","174","html-keyboard-response","21","88976","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","6438","html-keyboard-response","22","95664","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">travesseiro</span>"," ","","exp-sent","travesseiro","","",""
"","996","html-keyboard-response","23","96912","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">era</span>"," ","","exp-sent","era","","",""
"","837","html-keyboard-response","24","98000","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">muito</span>"," ","","exp-sent","muito","","",""
"","1541","html-keyboard-response","25","99792","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">macio</span>"," ","","exp-sent","macio","","",""
"","709","html-keyboard-response","26","100752","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","3300","html-keyboard-response","27","104304","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">confortável.</span>"," ","","exp-sent","confortável.","","",""
"","null","html-keyboard-response","28","105556","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1121","html-keyboard-response","29","106928","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Hoje</span>"," ","","exp-sent","Hoje","","",""
"","756","html-keyboard-response","30","107935","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1094","html-keyboard-response","31","109280","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">atendente</span>"," ","","exp-sent","atendente","","",""
"","1236","html-keyboard-response","32","110768","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
