"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":48658}]","48658","instructions","0","48660","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","49269","0.0-1.0-0.0","+","null","","","","","",""
"","31309","html-keyboard-response","2","80579","0.0-1.0-1.0","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","81080","0.0-1.0-0.1","+","null","","","","","",""
"","2746","html-keyboard-response","4","83826","0.0-1.0-1.1","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","84328","0.0-1.0-0.2","+","null","","","","","",""
"","4202","html-keyboard-response","6","88530","0.0-1.0-1.2","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","89032","0.0-1.0-0.3","+","null","","","","","",""
"","6986","html-keyboard-response","8","96018","0.0-1.0-1.3","oliva","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","96520","0.0-1.0-0.4","+","null","","","","","",""
"","2458","html-keyboard-response","10","98978","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","99480","0.0-1.0-0.5","+","null","","","","","",""
"","6858","html-keyboard-response","12","106338","0.0-1.0-1.5","órgão","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","106840","0.0-1.0-0.6","+","null","","","","","",""
"","10793","html-keyboard-response","14","117635","0.0-1.0-1.6","calmaria","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":5095}]","5096","instructions","15","122731","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","123333","0.0-3.0-0.0","+","null","","","","","",""
"","25693","html-keyboard-response","17","149026","0.0-3.0-1.0","aparme","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","149528","0.0-3.0-0.1","+","null","","","","","",""
"","6362","html-keyboard-response","19","155890","0.0-3.0-1.1","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","20","156403","0.0-3.0-0.2","+","null","","","","","",""
"","14687","html-keyboard-response","21","171091","0.0-3.0-1.2","quenzina","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","171592","0.0-3.0-0.3","+","null","","","","","",""
"","4506","html-keyboard-response","23","176098","0.0-3.0-1.3","socorro","n","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","24","176600","0.0-3.0-0.4","+","null","","","","","",""
"","9114","html-keyboard-response","25","185714","0.0-3.0-1.4","candifência","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","186215","0.0-3.0-0.5","+","null","","","","","",""
"","3658","html-keyboard-response","27","189874","0.0-3.0-1.5","bracos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","190375","0.0-3.0-0.6","+","null","","","","","",""
"","4970","html-keyboard-response","29","195346","0.0-3.0-1.6","espinho","n","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","30","195847","0.0-3.0-0.7","+","null","","","","","",""
"","4267","html-keyboard-response","31","200114","0.0-3.0-1.7","nevela","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","200615","0.0-3.0-0.8","+","null","","","","","",""
"","6426","html-keyboard-response","33","207042","0.0-3.0-1.8","dobradiça","n","n","noncog","word","S","exp","9"
"","null","html-keyboard-response","34","207543","0.0-3.0-0.9","+","null","","","","","",""
"","6251","html-keyboard-response","35","213794","0.0-3.0-1.9","pimada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","214295","0.0-3.0-0.10","+","null","","","","","",""
"","5083","html-keyboard-response","37","219378","0.0-3.0-1.10","farcas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","219880","0.0-3.0-0.11","+","null","","","","","",""
"","1850","html-keyboard-response","39","221730","0.0-3.0-1.11","país","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","40","222231","0.0-3.0-0.12","+","null","","","","","",""
"","7339","html-keyboard-response","41","229570","0.0-3.0-1.12","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","42","230072","0.0-3.0-0.13","+","null","","","","","",""
"","7994","html-keyboard-response","43","238066","0.0-3.0-1.13","distraído","n","a","cog","word","S","exp","9"
"","null","html-keyboard-response","44","238567","0.0-3.0-0.14","+","null","","","","","",""
"","7435","html-keyboard-response","45","246002","0.0-3.0-1.14","mabras","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","246504","0.0-3.0-0.15","+","null","","","","","",""
"","4202","html-keyboard-response","47","250706","0.0-3.0-1.15","faínas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","251207","0.0-3.0-0.16","+","null","","","","","",""
"","4379","html-keyboard-response","49","255586","0.0-3.0-1.16","perbas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","256088","0.0-3.0-0.17","+","null","","","","","",""
"","4330","html-keyboard-response","51","260418","0.0-3.0-1.17","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","52","260919","0.0-3.0-0.18","+","null","","","","","",""
"","7370","html-keyboard-response","53","268290","0.0-3.0-1.18","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","54","268791","0.0-3.0-0.19","+","null","","","","","",""
"","3706","html-keyboard-response","55","272498","0.0-3.0-1.19","nervoso","s","a","noncog","word","S","exp","7"
"","null","html-keyboard-response","56","272999","0.0-3.0-0.20","+","null","","","","","",""
"","4187","html-keyboard-response","57","277186","0.0-3.0-1.20","taberia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","277687","0.0-3.0-0.21","+","null","","","","","",""
"","4682","html-keyboard-response","59","282370","0.0-3.0-1.21","dipata","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","282870","0.0-3.0-0.22","+","null","","","","","",""
"","1035","html-keyboard-response","61","283906","0.0-3.0-1.22","verde","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","62","284406","0.0-3.0-0.23","+","null","","","","","",""
