"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":1481}]","1481","instructions","0","1483","0.0-0.0","",""
"","10903","survey-text","1","12489","0.0-1.0","{""age"":""34""}",""
"","4522","survey-multi-choice","2","17121","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","5939","survey-multi-choice","3","23161","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","23169","survey-multi-choice","4","46433","0.0-4.0","{""mother_schooling"":""Educação infantil""}","[0]"
"","5266","survey-multi-choice","5","51801","0.0-5.0","{""father_schooling"":""Educação infantil""}","[0]"
"","54899","survey-html-form","6","106802","0.0-6.0","{""language_0"":""creoulo"",""listening_0"":""1"",""speaking_0"":""1"",""reading_0"":""5"",""writing_0"":""5"",""language_1"":"""",""listening_1"":"""",""speaking_1"":"""",""reading_1"":"""",""writing_1"":"""",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":"""",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","69658","survey-html-form","7","176561","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":"""",""listening_1"":"""",""speaking_1"":"""",""reading_1"":"""",""writing_1"":"""",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":""""}",""
"","14369","survey-text","8","191033","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","28002","survey-text","9","219137","0.0-9.0","{""country_of_residence"":""DO BRASIL""}",""
"","47876","survey-html-form","10","267114","0.0-10.0","{""country_0"":""nunca"",""duration_0"":""nunca"",""language_0"":""nunca"",""frequency_0"":""nunca"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","89632","survey-html-form","11","356848","0.0-11.0","{""language_0"":""BRASIL"",""context_0"":""2"",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","73570","survey-html-form","12","430520","0.0-12.0","{""language_0"":""BRASIL"",""home_0"":""2"",""friends_0"":""2"",""school_0"":""2"",""work_0"":""2"",""computer_0"":""2"",""games_0"":""2"",""language_1"":"""",""home_1"":"""",""friends_1"":"""",""school_1"":"""",""work_1"":"""",""computer_1"":"""",""games_1"":"""",""language_2"":"""",""home_2"":"""",""friends_2"":"""",""school_2"":"""",""work_2"":"""",""computer_2"":"""",""games_2"":"""",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","30066","survey-likert","13","460689","0.0-13.0","{""new_languages"":4}","[0]"
"","83546","survey-html-form","14","544336","0.0-14.0","{""language_0"":""BRASIL"",""listen_0"":""3"",""talk_0"":""2"",""read_0"":""3"",""write_0"":""3"",""language_1"":"""",""listen_1"":"""",""talk_1"":"""",""read_1"":"""",""write_1"":"""",""language_2"":"""",""listen_2"":"""",""talk_2"":"""",""read_2"":"""",""write_2"":"""",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","333737","survey-html-form","15","878176","0.0-15.0","{""language_0"":""BRASIL"",""tv_0"":""2 m"",""radio_0"":""1hora"",""read_fun_0"":""11 m"",""read_work_0"":""30 m "",""write_0"":"""",""social_nets_0"":""2 horas"",""language_1"":"""",""tv_1"":"""",""radio_1"":"""",""read_fun_1"":"""",""read_work_1"":"""",""write_1"":"""",""social_nets_1"":"""",""language_2"":"""",""tv_2"":"""",""radio_2"":"""",""read_fun_2"":"""",""read_work_2"":"""",""write_2"":"""",""social_nets_2"":"""",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","190824","survey-html-form","16","1069102","0.0-16.0","{""language_0"":""BRASIL"",""family_0"":""3horas"",""friends_0"":""3 horass"",""work_0"":""14horas"",""school_0"":"""",""language_1"":"""",""family_1"":"""",""friends_1"":"""",""work_1"":"""",""school_1"":"""",""language_2"":"""",""family_2"":"""",""friends_2"":"""",""work_2"":"""",""school_2"":"""",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","598224","survey-html-form","17","1667429","0.0-17.0","{""language_0_0"":""CREOULO"",""language_0_1"":""CREOULO"",""language_0_2"":""CREOULO"",""language_0_3"":""CREOULO"",""language_1_0"":""PORTUG"",""language_1_1"":""PORTUG E CREOULO"",""language_1_2"":""PORTUG E CREOULO"",""language_1_3"":""PORTUG E CREOULO"",""language_2_0"":""PORTUG"",""language_2_1"":""PORTUG"",""language_2_2"":""PORTUG"",""language_2_3"":""PORTUG"",""language_3_0"":""PORTUG"",""language_3_1"":""PORTUG"",""language_3_2"":""PORTUG"",""language_3_3"":""PORTUG""}",""
"","390994","survey-html-form","18","2058524","0.0-18.0","{""language_2"":""FRANCES"",""think_2"":"""",""selftalk_2"":""4"",""emotions_2"":"""",""dream_2"":"""",""math_2"":"""",""remember_2"":"""",""pray_2"":"""",""language_1"":""CREOULO"",""think_1"":""2"",""selftalk_1"":""3"",""emotions_1"":""4"",""dream_1"":""2"",""math_1"":""3"",""remember_1"":""3"",""pray_1"":"""",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","17441","survey-multi-choice","19","2076067","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","7155","survey-text","20","2083331","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","46793","survey-text","21","2130227","0.0-21.0","{""additional_info"":""EU GOSTO""}",""
