"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":147083},{""page_index"":1,""viewing_time"":3954}]","151037","instructions","0","151039","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","152142","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9687","html-keyboard-response","2","162080","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","4488","html-keyboard-response","3","166820","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","2286","html-keyboard-response","4","169358","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1419","html-keyboard-response","5","171027","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","1559","html-keyboard-response","6","172837","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2029","html-keyboard-response","7","175118","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","1244","html-keyboard-response","8","176615","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","177867","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2031","html-keyboard-response","10","180150","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","1216","html-keyboard-response","11","181617","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","697","html-keyboard-response","12","182565","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","572","html-keyboard-response","13","183388","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","465","html-keyboard-response","14","184105","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","366","html-keyboard-response","15","184722","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","477","html-keyboard-response","16","185451","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","3727","html-keyboard-response","17","189429","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","49364","html-keyboard-response","18","239044","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":30079}]","30080","instructions","19","269626","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","270727","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","7083","html-keyboard-response","21","278063","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","932","html-keyboard-response","22","279247","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">senhora</span>"," ","","exp-sent","senhora","","",""
"","1538","html-keyboard-response","23","281036","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">cumprimentou</span>"," ","","exp-sent","cumprimentou","","",""
"","822","html-keyboard-response","24","282109","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","965","html-keyboard-response","25","283326","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">operador</span>"," ","","exp-sent","operador","","",""
"","644","html-keyboard-response","26","284221","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","2218","html-keyboard-response","27","286691","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">caixa.</span>"," ","","exp-sent","caixa.","","",""
"","null","html-keyboard-response","28","287944","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","774","html-keyboard-response","29","288970","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","699","html-keyboard-response","30","289920","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">gente</span>"," ","","exp-sent","gente","","",""
"","790","html-keyboard-response","31","290961","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">viu</span>"," ","","exp-sent","viu","","",""
"","635","html-keyboard-response","32","291847","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","797","html-keyboard-response","33","292896","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">eclipse</span>"," ","","exp-sent","eclipse","","",""
"","720","html-keyboard-response","34","293868","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">lunar</span>"," ","","exp-sent","lunar","","",""
"","910","html-keyboard-response","35","295031","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","604","html-keyboard-response","36","295886","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","948","html-keyboard-response","37","297085","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
