"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":78594}]","78595","instructions","0","78599","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","79204","0.0-1.0-0.0","+","null","","","","","",""
"","10614","html-keyboard-response","2","89820","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","90323","0.0-1.0-0.1","+","null","","","","","",""
"","3512","html-keyboard-response","4","93836","0.0-1.0-1.1","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","94338","0.0-1.0-0.2","+","null","","","","","",""
"","2593","html-keyboard-response","6","96933","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","97434","0.0-1.0-0.3","+","null","","","","","",""
"","2338","html-keyboard-response","8","99773","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","100274","0.0-1.0-0.4","+","null","","","","","",""
"","4330","html-keyboard-response","10","104605","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","105116","0.0-1.0-0.5","+","null","","","","","",""
"","2102","html-keyboard-response","12","107219","0.0-1.0-1.5","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","107721","0.0-1.0-0.6","+","null","","","","","",""
"","1967","html-keyboard-response","14","109688","0.0-1.0-1.6","chassi","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":9868}]","9869","instructions","15","119557","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","120159","0.0-3.0-0.0","+","null","","","","","",""
"","2842","html-keyboard-response","17","123002","0.0-3.0-1.0","ideisa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","123503","0.0-3.0-0.1","+","null","","","","","",""
"","3606","html-keyboard-response","19","127110","0.0-3.0-1.1","verceja","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","127627","0.0-3.0-0.2","+","null","","","","","",""
"","3064","html-keyboard-response","21","130692","0.0-3.0-1.2","suipestar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","131193","0.0-3.0-0.3","+","null","","","","","",""
"","1259","html-keyboard-response","23","132453","0.0-3.0-1.3","gordo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","24","132953","0.0-3.0-0.4","+","null","","","","","",""
"","1378","html-keyboard-response","25","134332","0.0-3.0-1.4","traduzir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","26","134833","0.0-3.0-0.5","+","null","","","","","",""
"","851","html-keyboard-response","27","135685","0.0-3.0-1.5","filme","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","28","136186","0.0-3.0-0.6","+","null","","","","","",""
"","1976","html-keyboard-response","29","138163","0.0-3.0-1.6","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","30","138665","0.0-3.0-0.7","+","null","","","","","",""
"","2027","html-keyboard-response","31","140692","0.0-3.0-1.7","sanque","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","141193","0.0-3.0-0.8","+","null","","","","","",""
"","3000","html-keyboard-response","33","144194","0.0-3.0-1.8","encelhor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","144696","0.0-3.0-0.9","+","null","","","","","",""
"","1615","html-keyboard-response","35","146312","0.0-3.0-1.9","nivelado","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","36","146813","0.0-3.0-0.10","+","null","","","","","",""
"","1801","html-keyboard-response","37","148615","0.0-3.0-1.10","loaco","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","149124","0.0-3.0-0.11","+","null","","","","","",""
"","2054","html-keyboard-response","39","151179","0.0-3.0-1.11","rovaz","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","151686","0.0-3.0-0.12","+","null","","","","","",""
"","1167","html-keyboard-response","41","152854","0.0-3.0-1.12","memória","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","42","153356","0.0-3.0-0.13","+","null","","","","","",""
"","2202","html-keyboard-response","43","155558","0.0-3.0-1.13","podilo","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","156060","0.0-3.0-0.14","+","null","","","","","",""
"","1082","html-keyboard-response","45","157143","0.0-3.0-1.14","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","46","157644","0.0-3.0-0.15","+","null","","","","","",""
"","980","html-keyboard-response","47","158625","0.0-3.0-1.15","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","48","159127","0.0-3.0-0.16","+","null","","","","","",""
"","2968","html-keyboard-response","49","162097","0.0-3.0-1.16","fasdas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","162599","0.0-3.0-0.17","+","null","","","","","",""
"","2926","html-keyboard-response","51","165526","0.0-3.0-1.17","aitrou","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","166028","0.0-3.0-0.18","+","null","","","","","",""
"","2242","html-keyboard-response","53","168270","0.0-3.0-1.18","beima","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","168774","0.0-3.0-0.19","+","null","","","","","",""
"","1240","html-keyboard-response","55","170014","0.0-3.0-1.19","refletir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","56","170516","0.0-3.0-0.20","+","null","","","","","",""
"","2919","html-keyboard-response","57","173436","0.0-3.0-1.20","revear","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","173937","0.0-3.0-0.21","+","null","","","","","",""
"","1235","html-keyboard-response","59","175173","0.0-3.0-1.21","fofo","s","a","noncog","word","S","exp","4"
"","null","html-keyboard-response","60","175674","0.0-3.0-0.22","+","null","","","","","",""
"","856","html-keyboard-response","61","176530","0.0-3.0-1.22","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","62","177031","0.0-3.0-0.23","+","null","","","","","",""
"","1253","html-keyboard-response","63","178286","0.0-3.0-1.23","perbas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","178786","0.0-3.0-0.24","+","null","","","","","",""
