"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":36268},{""page_index"":1,""viewing_time"":2168}]","38437","instructions","0","38441","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","39546","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","17011","audio-keyboard-response","2","57118","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3832","audio-keyboard-response","3","61366","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1859","audio-keyboard-response","4","63665","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1251","audio-keyboard-response","5","65300","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1112","audio-keyboard-response","6","66767","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1512","audio-keyboard-response","7","68608","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1320","audio-keyboard-response","8","70340","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","71614","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1411","audio-keyboard-response","10","73408","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","960","audio-keyboard-response","11","74702","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1301","audio-keyboard-response","12","76354","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","920","audio-keyboard-response","13","77636","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","901","audio-keyboard-response","14","78849","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","960","audio-keyboard-response","15","80140","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","869","audio-keyboard-response","16","81343","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","939","audio-keyboard-response","17","82707","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","5141","html-keyboard-response","18","88107","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":6070}]","6070","instructions","19","94679","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","95795","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1560","audio-keyboard-response","21","97788","0.0-3.0-1.0","../audio/64-1-fem.mp3"," ","","O","","","",""
"","1221","audio-keyboard-response","22","99351","0.0-3.0-1.1","../audio/64-2-fem.mp3"," ","","dia","","","",""
"","1480","audio-keyboard-response","23","101156","0.0-3.0-1.2","../audio/64-3-fem.mp3"," ","","começou","","","",""
"","1051","audio-keyboard-response","24","102558","0.0-3.0-1.3","../audio/64-4-fem.mp3"," ","","com","","","",""
"","1229","audio-keyboard-response","25","104118","0.0-3.0-1.4","../audio/64-5-fem.mp3"," ","","garoa","","","",""
"","1189","audio-keyboard-response","26","105639","0.0-3.0-1.5","../audio/64-6-fem.mp3"," ","","gelada","","","",""
