"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":18927}]","18929","instructions","0","18933","0.0-0.0","","","",""
"","null","html-keyboard-response","1","19556","0.0-1.0-0.0","+","null","",""
"","2771","audio-keyboard-response","2","22501","0.0-1.0-1.0","../audio/teste-vocab--29.mp3","s","rasgar","chire"
"","null","html-keyboard-response","3","23008","0.0-1.0-0.1","+","null","",""
"","2509","audio-keyboard-response","4","25697","0.0-1.0-1.1","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","5","26212","0.0-1.0-0.2","+","null","",""
"","2280","audio-keyboard-response","6","28647","0.0-1.0-1.2","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","7","29151","0.0-1.0-0.3","+","null","",""
"","4149","audio-keyboard-response","8","33486","0.0-1.0-1.3","../audio/teste-vocab--74.mp3","s","desilusão","dezilizyon"
"","null","html-keyboard-response","9","33995","0.0-1.0-0.4","+","null","",""
"","1920","audio-keyboard-response","10","36053","0.0-1.0-1.4","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","11","36563","0.0-1.0-0.5","+","null","",""
"","1971","audio-keyboard-response","12","38666","0.0-1.0-1.5","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","13","39175","0.0-1.0-0.6","+","null","",""
"","2211","audio-keyboard-response","14","41540","0.0-1.0-1.6","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","15","42044","0.0-1.0-0.7","+","null","",""
"","3840","audio-keyboard-response","16","46047","0.0-1.0-1.7","../audio/teste-vocab--119.mp3","n","numeroso","anpil"
"","null","html-keyboard-response","17","46559","0.0-1.0-0.8","+","null","",""
"","1760","audio-keyboard-response","18","48447","0.0-1.0-1.8","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","19","48952","0.0-1.0-0.9","+","null","",""
"","2240","audio-keyboard-response","20","51328","0.0-1.0-1.9","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","21","51839","0.0-1.0-0.10","+","null","",""
"","4331","audio-keyboard-response","22","56347","0.0-1.0-1.10","../audio/teste-vocab--109.mp3","s","anfíbio","anfibyen"
"","null","html-keyboard-response","23","56850","0.0-1.0-0.11","+","null","",""
"","2931","audio-keyboard-response","24","59934","0.0-1.0-1.11","../audio/teste-vocab--127.mp3","s","côncavo","konkav"
"","null","html-keyboard-response","25","60449","0.0-1.0-0.12","+","null","",""
"","2200","audio-keyboard-response","26","62782","0.0-1.0-1.12","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","27","63294","0.0-1.0-0.13","+","null","",""
"","2520","audio-keyboard-response","28","65980","0.0-1.0-1.13","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","29","66484","0.0-1.0-0.14","+","null","",""
"","1901","audio-keyboard-response","30","68510","0.0-1.0-1.14","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","31","69018","0.0-1.0-0.15","+","null","",""
"","1920","audio-keyboard-response","32","71059","0.0-1.0-1.15","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","33","71567","0.0-1.0-0.16","+","null","",""
"","1912","audio-keyboard-response","34","73717","0.0-1.0-1.16","../audio/teste-vocab--21.mp3","s","baleia","balèn"
"","null","html-keyboard-response","35","74233","0.0-1.0-0.17","+","null","",""
"","2469","audio-keyboard-response","36","76828","0.0-1.0-1.17","../audio/teste-vocab--76.mp3","s","arquivar","achive"
"","null","html-keyboard-response","37","77342","0.0-1.0-0.18","+","null","",""
"","2928","audio-keyboard-response","38","80409","0.0-1.0-1.18","../audio/teste-vocab--103.mp3","s","utensílio","istansil"
"","null","html-keyboard-response","39","80919","0.0-1.0-0.19","+","null","",""
"","2032","audio-keyboard-response","40","83078","0.0-1.0-1.19","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","41","83588","0.0-1.0-0.20","+","null","",""
"","2080","audio-keyboard-response","42","85832","0.0-1.0-1.20","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","43","86345","0.0-1.0-0.21","+","null","",""
"","1971","audio-keyboard-response","44","88463","0.0-1.0-1.21","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","45","88970","0.0-1.0-0.22","+","null","",""
"","2451","audio-keyboard-response","46","91561","0.0-1.0-1.22","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","47","92066","0.0-1.0-0.23","+","null","",""
"","2120","audio-keyboard-response","48","94297","0.0-1.0-1.23","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","49","94802","0.0-1.0-0.24","+","null","",""
"","2069","audio-keyboard-response","50","97050","0.0-1.0-1.24","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","51","97555","0.0-1.0-0.25","+","null","",""
"","1912","audio-keyboard-response","52","99596","0.0-1.0-1.25","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","53","100105","0.0-1.0-0.26","+","null","",""
"","3421","audio-keyboard-response","54","103675","0.0-1.0-1.26","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","55","104183","0.0-1.0-0.27","+","null","",""
"","1989","audio-keyboard-response","56","106331","0.0-1.0-1.27","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","57","106845","0.0-1.0-0.28","+","null","",""
"","3371","audio-keyboard-response","58","110338","0.0-1.0-1.28","../audio/teste-vocab--79.mp3","n","moldura"," chanbranl"
"","null","html-keyboard-response","59","110847","0.0-1.0-0.29","+","null","",""
"","1971","audio-keyboard-response","60","112947","0.0-1.0-1.29","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","61","113448","0.0-1.0-0.30","+","null","",""
"","2219","audio-keyboard-response","62","115858","0.0-1.0-1.30","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","63","116373","0.0-1.0-0.31","+","null","",""
"","2000","audio-keyboard-response","64","118513","0.0-1.0-1.31","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","65","119028","0.0-1.0-0.32","+","null","",""
"","2779","audio-keyboard-response","66","121928","0.0-1.0-1.32","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","67","122438","0.0-1.0-0.33","+","null","",""
"","3461","audio-keyboard-response","68","126120","0.0-1.0-1.33","../audio/teste-vocab--101.mp3","n","incandescente","enkandesan"
"","null","html-keyboard-response","69","126631","0.0-1.0-0.34","+","null","",""
"","2011","audio-keyboard-response","70","128796","0.0-1.0-1.34","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","71","129305","0.0-1.0-0.35","+","null","",""
"","3259","audio-keyboard-response","72","132700","0.0-1.0-1.35","../audio/teste-vocab--19.mp3","n","hora","è"
"","null","html-keyboard-response","73","133205","0.0-1.0-0.36","+","null","",""
"","2579","audio-keyboard-response","74","135927","0.0-1.0-1.36","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","75","136440","0.0-1.0-0.37","+","null","",""
"","2029","audio-keyboard-response","76","138610","0.0-1.0-1.37","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","77","139111","0.0-1.0-0.38","+","null","",""
"","1851","audio-keyboard-response","78","141080","0.0-1.0-1.38","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","79","141589","0.0-1.0-0.39","+","null","",""
"","2419","audio-keyboard-response","80","144130","0.0-1.0-1.39","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","81","144635","0.0-1.0-0.40","+","null","",""
"","3661","audio-keyboard-response","82","148435","0.0-1.0-1.40","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","83","148948","0.0-1.0-0.41","+","null","",""
"","6931","audio-keyboard-response","84","156035","0.0-1.0-1.41","../audio/teste-vocab--104.mp3","n","ira","pwal"
"","null","html-keyboard-response","85","156544","0.0-1.0-0.42","+","null","",""
"","2480","audio-keyboard-response","86","159178","0.0-1.0-1.42","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","87","159685","0.0-1.0-0.43","+","null","",""
"","1960","audio-keyboard-response","88","161781","0.0-1.0-1.43","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","89","162297","0.0-1.0-0.44","+","null","",""
