"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":84053}]","84054","instructions","0","84057","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","84669","0.0-1.0-0.0","+","null","","","","","",""
"","9950","html-keyboard-response","2","94623","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","95126","0.0-1.0-0.1","+","null","","","","","",""
"","15154","html-keyboard-response","4","110281","0.0-1.0-1.1","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","110783","0.0-1.0-0.2","+","null","","","","","",""
"","11383","html-keyboard-response","6","122169","0.0-1.0-1.2","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","122673","0.0-1.0-0.3","+","null","","","","","",""
"","5071","html-keyboard-response","8","127747","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","128250","0.0-1.0-0.4","+","null","","","","","",""
"","3914","html-keyboard-response","10","132167","0.0-1.0-1.4","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","132669","0.0-1.0-0.5","+","null","","","","","",""
"","5935","html-keyboard-response","12","138606","0.0-1.0-1.5","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","139109","0.0-1.0-0.6","+","null","","","","","",""
"","4145","html-keyboard-response","14","143256","0.0-1.0-1.6","calmaria","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":56058}]","56059","instructions","15","199316","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","199920","0.0-3.0-0.0","+","null","","","","","",""
"","3198","html-keyboard-response","17","203120","0.0-3.0-1.0","traduzir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","18","203622","0.0-3.0-0.1","+","null","","","","","",""
"","2644","html-keyboard-response","19","206269","0.0-3.0-1.1","protas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","206772","0.0-3.0-0.2","+","null","","","","","",""
"","2218","html-keyboard-response","21","208992","0.0-3.0-1.2","gertas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","209495","0.0-3.0-0.3","+","null","","","","","",""
"","3030","html-keyboard-response","23","212527","0.0-3.0-1.3","delirar","n","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","24","213029","0.0-3.0-0.4","+","null","","","","","",""
"","2121","html-keyboard-response","25","215152","0.0-3.0-1.4","pulmão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","26","215655","0.0-3.0-0.5","+","null","","","","","",""
"","1550","html-keyboard-response","27","217207","0.0-3.0-1.5","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","28","217710","0.0-3.0-0.6","+","null","","","","","",""
"","1933","html-keyboard-response","29","219645","0.0-3.0-1.6","avenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","220148","0.0-3.0-0.7","+","null","","","","","",""
