"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":40524},{""page_index"":1,""viewing_time"":7105}]","47630","instructions","0","47635","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","48761","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1991","audio-keyboard-response","2","51823","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1611","audio-keyboard-response","3","53751","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1411","audio-keyboard-response","4","55468","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1132","audio-keyboard-response","5","56908","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1120","audio-keyboard-response","6","58326","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1251","audio-keyboard-response","7","59878","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1109","audio-keyboard-response","8","61279","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","62551","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1431","audio-keyboard-response","10","64275","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1382","audio-keyboard-response","11","65957","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1431","audio-keyboard-response","12","67692","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1260","audio-keyboard-response","13","69245","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","969","audio-keyboard-response","14","70512","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1190","audio-keyboard-response","15","71998","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1001","audio-keyboard-response","16","73305","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1422","audio-keyboard-response","17","75034","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","2682","html-keyboard-response","18","77971","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":9420}]","9421","instructions","19","87896","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","89016","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1210","audio-keyboard-response","21","90649","0.0-3.0-1.0","../audio/49-1-masc.mp3"," ","","Eu","","","",""
"","900","audio-keyboard-response","22","91906","0.0-3.0-1.1","../audio/49-2-masc.mp3"," ","","quero","","","",""
"","842","audio-keyboard-response","23","93114","0.0-3.0-1.2","../audio/49-3-masc.mp3"," ","","um","","","",""
"","1019","audio-keyboard-response","24","94527","0.0-3.0-1.3","../audio/49-4-masc.mp3"," ","","lanche","","","",""
"","1202","audio-keyboard-response","25","96067","0.0-3.0-1.4","../audio/49-5-masc.mp3"," ","","duplo","","","",""
"","879","audio-keyboard-response","26","97542","0.0-3.0-1.5","../audio/49-6-masc.mp3"," ","","e","","","",""
"","900","audio-keyboard-response","27","98786","0.0-3.0-1.6","../audio/49-7-masc.mp3"," ","","um","","","",""
"","1440","audio-keyboard-response","28","100571","0.0-3.0-1.7","../audio/49-8-masc.mp3"," ","","suco.","","","",""
"","null","html-keyboard-response","29","101836","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1141","audio-keyboard-response","30","103395","0.0-3.0-1.8","../audio/47-1-fem.mp3"," ","","O","","","",""
"","1202","audio-keyboard-response","31","104940","0.0-3.0-1.9","../audio/47-2-fem.mp3"," ","","tio","","","",""
"","1419","audio-keyboard-response","32","106707","0.0-3.0-1.10","../audio/47-3-fem.mp3"," ","","recusou","","","",""
"","990","audio-keyboard-response","33","108052","0.0-3.0-1.11","../audio/47-4-fem.mp3"," ","","a","","","",""
"","1698","audio-keyboard-response","34","110118","0.0-3.0-1.12","../audio/47-5-fem.mp3"," ","","sobremesa","","","",""
"","911","audio-keyboard-response","35","111450","0.0-3.0-1.13","../audio/47-6-fem.mp3"," ","","no","","","",""
"","1698","audio-keyboard-response","36","113508","0.0-3.0-1.14","../audio/47-7-fem.mp3"," ","","almoço.","","","",""
"","null","html-keyboard-response","37","114781","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","990","audio-keyboard-response","38","116188","0.0-3.0-1.15","../audio/48-1-fem.mp3"," ","","Ela","","","",""
"","1030","audio-keyboard-response","39","117586","0.0-3.0-1.16","../audio/48-2-fem.mp3"," ","","come","","","",""
"","1379","audio-keyboard-response","40","119331","0.0-3.0-1.17","../audio/48-3-fem.mp3"," ","","feijão","","","",""
"","879","audio-keyboard-response","41","120561","0.0-3.0-1.18","../audio/48-4-fem.mp3"," ","","com","","","",""
"","1158","audio-keyboard-response","42","122074","0.0-3.0-1.19","../audio/48-5-fem.mp3"," ","","arroz","","","",""
"","1010","audio-keyboard-response","43","123443","0.0-3.0-1.20","../audio/48-6-fem.mp3"," ","","todos","","","",""
"","830","audio-keyboard-response","44","124633","0.0-3.0-1.21","../audio/48-7-fem.mp3"," ","","os","","","",""
"","1942","audio-keyboard-response","45","126933","0.0-3.0-1.22","../audio/48-8-fem.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","46","128195","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","940","audio-keyboard-response","47","129562","0.0-3.0-1.23","../audio/46-1-fem.mp3"," ","","Meu","","","",""
"","990","audio-keyboard-response","48","130899","0.0-3.0-1.24","../audio/46-2-fem.mp3"," ","","primo","","","",""
"","1120","audio-keyboard-response","49","132360","0.0-3.0-1.25","../audio/46-3-fem.mp3"," ","","estava","","","",""
"","1019","audio-keyboard-response","50","133738","0.0-3.0-1.26","../audio/46-4-fem.mp3"," ","","muito","","","",""
"","1260","audio-keyboard-response","51","135363","0.0-3.0-1.27","../audio/46-5-fem.mp3"," ","","deprimido","","","",""
"","1019","audio-keyboard-response","52","136735","0.0-3.0-1.28","../audio/46-6-fem.mp3"," ","","no","","","",""
"","1538","audio-keyboard-response","53","138929","0.0-3.0-1.29","../audio/46-7-fem.mp3"," ","","inverno.","","","",""
"","null","html-keyboard-response","54","140198","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","830","audio-keyboard-response","55","141431","0.0-3.0-1.30","../audio/50-1-fem.mp3"," ","","O","","","",""
"","1181","audio-keyboard-response","56","142991","0.0-3.0-1.31","../audio/50-2-fem.mp3"," ","","pássaro","","","",""
"","1161","audio-keyboard-response","57","144515","0.0-3.0-1.32","../audio/50-3-fem.mp3"," ","","fugiu","","","",""
"","879","audio-keyboard-response","58","145746","0.0-3.0-1.33","../audio/50-4-fem.mp3"," ","","da","","","",""
"","1181","audio-keyboard-response","59","147290","0.0-3.0-1.34","../audio/50-5-fem.mp3"," ","","gaiola","","","",""
"","949","audio-keyboard-response","60","148590","0.0-3.0-1.35","../audio/50-6-fem.mp3"," ","","pela","","","",""
"","981","audio-keyboard-response","61","149934","0.0-3.0-1.36","../audio/50-7-fem.mp3"," ","","portinhola.","","","",""
"","2683","html-keyboard-response","62","152874","0.0-3.0-2.36-0.36","<span style=""font-size:25px; font-family: monospace"">O pássaro fugiu da gaiola?</span>","s","","","O pássaro fugiu da gaiola?","null","exp-sent","false"
"","null","html-keyboard-response","63","154394","0.0-3.0-0.37-0.37","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1210","audio-keyboard-response","64","155899","0.0-3.0-1.37","../audio/51-1-masc.mp3"," ","","Suco","","","",""
"","1141","audio-keyboard-response","65","157339","0.0-3.0-1.38","../audio/51-2-masc.mp3"," ","","de","","","",""
"","1382","audio-keyboard-response","66","159017","0.0-3.0-1.39","../audio/51-3-masc.mp3"," ","","acerola","","","",""
"","1010","audio-keyboard-response","67","160321","0.0-3.0-1.40","../audio/51-4-masc.mp3"," ","","é","","","",""
"","1271","audio-keyboard-response","68","161892","0.0-3.0-1.41","../audio/51-5-masc.mp3"," ","","azedo","","","",""
"","1010","audio-keyboard-response","69","163207","0.0-3.0-1.42","../audio/51-6-masc.mp3"," ","","e","","","",""
"","1112","audio-keyboard-response","70","164636","0.0-3.0-1.43","../audio/51-7-masc.mp3"," ","","até","","","",""
"","1390","audio-keyboard-response","71","166334","0.0-3.0-1.44","../audio/51-8-masc.mp3"," ","","barato.","","","",""
"","null","html-keyboard-response","72","167595","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1231","audio-keyboard-response","73","169241","0.0-3.0-1.45","../audio/52-1-fem.mp3"," ","","Às","","","",""
"","1132","audio-keyboard-response","74","170743","0.0-3.0-1.46","../audio/52-2-fem.mp3"," ","","vezes","","","",""
"","929","audio-keyboard-response","75","172027","0.0-3.0-1.47","../audio/52-3-fem.mp3"," ","","eu","","","",""
"","1120","audio-keyboard-response","76","173505","0.0-3.0-1.48","../audio/52-4-fem.mp3"," ","","tenho","","","",""
"","1338","audio-keyboard-response","77","175202","0.0-3.0-1.49","../audio/52-5-fem.mp3"," ","","azia","","","",""
"","1350","audio-keyboard-response","78","176900","0.0-3.0-1.50","../audio/52-6-fem.mp3"," ","","depois","","","",""
"","1202","audio-keyboard-response","79","178456","0.0-3.0-1.51","../audio/52-7-fem.mp3"," ","","da","","","",""
"","1390","audio-keyboard-response","80","180205","0.0-3.0-1.52","../audio/52-8-fem.mp3"," ","","janta.","","","",""
"","null","html-keyboard-response","81","181465","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","879","audio-keyboard-response","82","182761","0.0-3.0-1.53","../audio/53-1-masc.mp3"," ","","O","","","",""
"","1190","audio-keyboard-response","83","184306","0.0-3.0-1.54","../audio/53-2-masc.mp3"," ","","médico","","","",""
"","1100","audio-keyboard-response","84","185765","0.0-3.0-1.55","../audio/53-3-masc.mp3"," ","","foi","","","",""
"","1321","audio-keyboard-response","85","187649","0.0-3.0-1.56","../audio/53-4-masc.mp3"," ","","bastante","","","",""
"","1451","audio-keyboard-response","86","189426","0.0-3.0-1.57","../audio/53-5-masc.mp3"," ","","preciso","","","",""
"","1248","audio-keyboard-response","87","191005","0.0-3.0-1.58","../audio/53-6-masc.mp3"," ","","durante","","","",""
"","1051","audio-keyboard-response","88","192616","0.0-3.0-1.59","../audio/53-7-masc.mp3"," ","","a","","","",""
"","1660","audio-keyboard-response","89","194640","0.0-3.0-1.60","../audio/53-8-masc.mp3"," ","","cirurgia.","","","",""
"","null","html-keyboard-response","90","195901","0.0-3.0-0.61-0.61","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
