"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":11409}]","11410","instructions","0","11414","0.0-0.0","","","",""
"","null","html-keyboard-response","1","12031","0.0-1.0-0.0","+","null","",""
"","3651","audio-keyboard-response","2","16655","0.0-1.0-1.0","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","3","17161","0.0-1.0-0.1","+","null","",""
"","3471","audio-keyboard-response","4","20822","0.0-1.0-1.1","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","5","21326","0.0-1.0-0.2","+","null","",""
"","2548","audio-keyboard-response","6","24068","0.0-1.0-1.2","../audio/teste-vocab--05.mp3","s","limpar","netwaye"
"","null","html-keyboard-response","7","24575","0.0-1.0-0.3","+","null","",""
"","3030","audio-keyboard-response","8","27779","0.0-1.0-1.3","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","9","28291","0.0-1.0-0.4","+","null","",""
"","2432","audio-keyboard-response","10","30901","0.0-1.0-1.4","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","11","31408","0.0-1.0-0.5","+","null","",""
"","2580","audio-keyboard-response","12","34168","0.0-1.0-1.5","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","13","34677","0.0-1.0-0.6","+","null","",""
"","2319","audio-keyboard-response","14","37182","0.0-1.0-1.6","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","15","37692","0.0-1.0-0.7","+","null","",""
"","2752","audio-keyboard-response","16","40628","0.0-1.0-1.7","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","17","41135","0.0-1.0-0.8","+","null","",""
"","2911","audio-keyboard-response","18","44225","0.0-1.0-1.8","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","19","44743","0.0-1.0-0.9","+","null","",""
"","2380","audio-keyboard-response","20","47304","0.0-1.0-1.9","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","21","47816","0.0-1.0-0.10","+","null","",""
"","2319","audio-keyboard-response","22","50309","0.0-1.0-1.10","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","23","50822","0.0-1.0-0.11","+","null","",""
"","2412","audio-keyboard-response","24","53491","0.0-1.0-1.11","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","25","54008","0.0-1.0-0.12","+","null","",""
"","2577","audio-keyboard-response","26","56807","0.0-1.0-1.12","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
