"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":13706},{""page_index"":1,""viewing_time"":2791}]","16498","instructions","0","16499","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","17606","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","8040","audio-keyboard-response","2","25992","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3181","audio-keyboard-response","3","29468","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","3200","audio-keyboard-response","4","32995","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","3299","audio-keyboard-response","5","36612","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","2080","audio-keyboard-response","6","38995","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1949","audio-keyboard-response","7","41255","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","2200","audio-keyboard-response","8","43754","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","45011","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1360","audio-keyboard-response","10","47033","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1600","audio-keyboard-response","11","48953","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1661","audio-keyboard-response","12","50916","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","2240","audio-keyboard-response","13","53445","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1549","audio-keyboard-response","14","55293","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1669","audio-keyboard-response","15","57257","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1461","audio-keyboard-response","16","58999","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","3109","audio-keyboard-response","17","62409","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","37990","html-keyboard-response","18","100656","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":12201}]","12204","instructions","19","113363","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","114474","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5819","audio-keyboard-response","21","121579","0.0-3.0-1.0","../audio/62-1-masc.mp3"," ","","As","","","",""
"","2779","audio-keyboard-response","22","124675","0.0-3.0-1.1","../audio/62-2-masc.mp3"," ","","artesãs","","","",""
"","2000","audio-keyboard-response","23","126976","0.0-3.0-1.2","../audio/62-3-masc.mp3"," ","","gostam","","","",""
"","1571","audio-keyboard-response","24","128853","0.0-3.0-1.3","../audio/62-4-masc.mp3"," ","","de","","","",""
"","6560","audio-keyboard-response","25","135725","0.0-3.0-1.4","../audio/62-5-masc.mp3"," ","","maquiagem","","","",""
"","1389","audio-keyboard-response","26","137419","0.0-3.0-1.5","../audio/62-6-masc.mp3"," ","","e","","","",""
"","1309","audio-keyboard-response","27","139207","0.0-3.0-1.6","../audio/62-7-masc.mp3"," ","","de","","","",""
"","1979","audio-keyboard-response","28","142266","0.0-3.0-1.7","../audio/62-8-masc.mp3"," ","","crochê.","","","",""
"","null","html-keyboard-response","29","143538","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1659","audio-keyboard-response","30","145499","0.0-3.0-1.8","../audio/64-1-masc.mp3"," ","","O","","","",""
"","1171","audio-keyboard-response","31","146961","0.0-3.0-1.9","../audio/64-2-masc.mp3"," ","","dia","","","",""
"","1411","audio-keyboard-response","32","148675","0.0-3.0-1.10","../audio/64-3-masc.mp3"," ","","começou","","","",""
"","1080","audio-keyboard-response","33","150042","0.0-3.0-1.11","../audio/64-4-masc.mp3"," ","","com","","","",""
"","1461","audio-keyboard-response","34","151801","0.0-3.0-1.12","../audio/64-5-masc.mp3"," ","","garoa","","","",""
"","1352","audio-keyboard-response","35","153455","0.0-3.0-1.13","../audio/64-6-masc.mp3"," ","","gelada","","","",""
"","1131","audio-keyboard-response","36","154876","0.0-3.0-1.14","../audio/64-7-masc.mp3"," ","","e","","","",""
"","1789","audio-keyboard-response","37","156960","0.0-3.0-1.15","../audio/64-8-masc.mp3"," ","","leve.","","","",""
"","null","html-keyboard-response","38","158231","0.0-3.0-0.16-0.16","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2269","audio-keyboard-response","39","160804","0.0-3.0-1.16","../audio/61-1-fem.mp3"," ","","Aquele","","","",""
"","1221","audio-keyboard-response","40","162327","0.0-3.0-1.17","../audio/61-2-fem.mp3"," ","","senhor","","","",""
"","949","audio-keyboard-response","41","163567","0.0-3.0-1.18","../audio/61-3-fem.mp3"," ","","é","","","",""
"","1120","audio-keyboard-response","42","164979","0.0-3.0-1.19","../audio/61-4-fem.mp3"," ","","muito","","","",""
"","1571","audio-keyboard-response","43","166843","0.0-3.0-1.20","../audio/61-5-fem.mp3"," ","","sovina","","","",""
"","840","audio-keyboard-response","44","168116","0.0-3.0-1.21","../audio/61-6-fem.mp3"," ","","e","","","",""
"","3291","audio-keyboard-response","45","172085","0.0-3.0-1.22","../audio/61-7-fem.mp3"," ","","inflexível.","","","",""
"","null","html-keyboard-response","46","173355","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1179","audio-keyboard-response","47","174831","0.0-3.0-1.23","../audio/63-1-fem.mp3"," ","","A","","","",""
"","1200","audio-keyboard-response","48","176329","0.0-3.0-1.24","../audio/63-2-fem.mp3"," ","","chuva","","","",""
"","1240","audio-keyboard-response","49","177859","0.0-3.0-1.25","../audio/63-3-fem.mp3"," ","","entrou","","","",""
"","1120","audio-keyboard-response","50","179272","0.0-3.0-1.26","../audio/63-4-fem.mp3"," ","","pela","","","",""
"","1331","audio-keyboard-response","51","180918","0.0-3.0-1.27","../audio/63-5-fem.mp3"," ","","abertura","","","",""
"","989","audio-keyboard-response","52","182194","0.0-3.0-1.28","../audio/63-6-fem.mp3"," ","","na","","","",""
"","2288","audio-keyboard-response","53","184788","0.0-3.0-1.29","../audio/63-7-fem.mp3"," ","","janela.","","","",""
"","null","html-keyboard-response","54","186055","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","939","audio-keyboard-response","55","187307","0.0-3.0-1.30","../audio/65-1-fem.mp3"," ","","O","","","",""
"","1419","audio-keyboard-response","56","189028","0.0-3.0-1.31","../audio/65-2-fem.mp3"," ","","fantasma","","","",""
"","1501","audio-keyboard-response","57","190814","0.0-3.0-1.32","../audio/65-3-fem.mp3"," ","","veio","","","",""
"","1032","audio-keyboard-response","58","192140","0.0-3.0-1.33","../audio/65-4-fem.mp3"," ","","da","","","",""
"","2091","audio-keyboard-response","59","194524","0.0-3.0-1.34","../audio/65-5-fem.mp3"," ","","escuridão","","","",""
"","1299","audio-keyboard-response","60","196119","0.0-3.0-1.35","../audio/65-6-fem.mp3"," ","","do","","","",""
"","1869","audio-keyboard-response","61","198284","0.0-3.0-1.36","../audio/65-7-fem.mp3"," ","","armário.","","","",""
"","9661","html-keyboard-response","62","208200","0.0-3.0-2.36-0.36","<span style=""font-size:25px; font-family: monospace"">O fantasma veio da escuridão do armário?</span>","s","","","O fantasma veio da escuridão do armário?","null","exp-sent","false"
"","null","html-keyboard-response","63","209703","0.0-3.0-0.37-0.37","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1640","audio-keyboard-response","64","211649","0.0-3.0-1.37","../audio/51-1-fem.mp3"," ","","Suco","","","",""
"","968","audio-keyboard-response","65","212906","0.0-3.0-1.38","../audio/51-2-fem.mp3"," ","","de","","","",""
"","1651","audio-keyboard-response","66","214855","0.0-3.0-1.39","../audio/51-3-fem.mp3"," ","","acerola","","","",""
"","981","audio-keyboard-response","67","216128","0.0-3.0-1.40","../audio/51-4-fem.mp3"," ","","é","","","",""
"","2229","audio-keyboard-response","68","218667","0.0-3.0-1.41","../audio/51-5-fem.mp3"," ","","azedo","","","",""
"","1320","audio-keyboard-response","69","220284","0.0-3.0-1.42","../audio/51-6-fem.mp3"," ","","e","","","",""
"","1968","audio-keyboard-response","70","222554","0.0-3.0-1.43","../audio/51-7-fem.mp3"," ","","até","","","",""
"","2131","audio-keyboard-response","71","224971","0.0-3.0-1.44","../audio/51-8-fem.mp3"," ","","barato.","","","",""
"","null","html-keyboard-response","72","226231","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1251","audio-keyboard-response","73","227765","0.0-3.0-1.45","../audio/53-1-masc.mp3"," ","","O","","","",""
"","1312","audio-keyboard-response","74","229376","0.0-3.0-1.46","../audio/53-2-masc.mp3"," ","","médico","","","",""
"","952","audio-keyboard-response","75","230624","0.0-3.0-1.47","../audio/53-3-masc.mp3"," ","","foi","","","",""
"","1139","audio-keyboard-response","76","232074","0.0-3.0-1.48","../audio/53-4-masc.mp3"," ","","bastante","","","",""
"","1120","audio-keyboard-response","77","233487","0.0-3.0-1.49","../audio/53-5-masc.mp3"," ","","preciso","","","",""
"","1128","audio-keyboard-response","78","234908","0.0-3.0-1.50","../audio/53-6-masc.mp3"," ","","durante","","","",""
"","949","audio-keyboard-response","79","236147","0.0-3.0-1.51","../audio/53-7-masc.mp3"," ","","a","","","",""
"","2400","audio-keyboard-response","80","238853","0.0-3.0-1.52","../audio/53-8-masc.mp3"," ","","cirurgia.","","","",""
"","null","html-keyboard-response","81","240124","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1312","audio-keyboard-response","82","241742","0.0-3.0-1.53","../audio/54-1-fem.mp3"," ","","Estou","","","",""
"","779","audio-keyboard-response","83","242795","0.0-3.0-1.54","../audio/54-2-fem.mp3"," ","","com","","","",""
"","1080","audio-keyboard-response","84","244171","0.0-3.0-1.55","../audio/54-3-fem.mp3"," ","","medo","","","",""
"","888","audio-keyboard-response","85","245352","0.0-3.0-1.56","../audio/54-4-fem.mp3"," ","","da","","","",""
"","1179","audio-keyboard-response","86","246830","0.0-3.0-1.57","../audio/54-5-fem.mp3"," ","","atual","","","",""
"","1880","audio-keyboard-response","87","249015","0.0-3.0-1.58","../audio/54-6-fem.mp3"," ","","organização","","","",""
"","1240","audio-keyboard-response","88","250566","0.0-3.0-1.59","../audio/54-7-fem.mp3"," ","","do","","","",""
"","2360","audio-keyboard-response","89","253222","0.0-3.0-1.60","../audio/54-8-fem.mp3"," ","","país.","","","",""
"","null","html-keyboard-response","90","254484","0.0-3.0-0.61-0.61","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1128","audio-keyboard-response","91","255912","0.0-3.0-1.61","../audio/52-1-fem.mp3"," ","","Às","","","",""
"","1120","audio-keyboard-response","92","257340","0.0-3.0-1.62","../audio/52-2-fem.mp3"," ","","vezes","","","",""
"","1011","audio-keyboard-response","93","258634","0.0-3.0-1.63","../audio/52-3-fem.mp3"," ","","eu","","","",""
"","1168","audio-keyboard-response","94","260109","0.0-3.0-1.64","../audio/52-4-fem.mp3"," ","","tenho","","","",""
"","1240","audio-keyboard-response","95","261647","0.0-3.0-1.65","../audio/52-5-fem.mp3"," ","","azia","","","",""
"","1160","audio-keyboard-response","96","263099","0.0-3.0-1.66","../audio/52-6-fem.mp3"," ","","depois","","","",""
"","1051","audio-keyboard-response","97","264443","0.0-3.0-1.67","../audio/52-7-fem.mp3"," ","","da","","","",""
"","2381","audio-keyboard-response","98","267132","0.0-3.0-1.68","../audio/52-8-fem.mp3"," ","","janta.","","","",""
"","null","html-keyboard-response","99","268394","0.0-3.0-0.69-0.69","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1000","audio-keyboard-response","100","269694","0.0-3.0-1.69","../audio/55-1-masc.mp3"," ","","O","","","",""
"","1392","audio-keyboard-response","101","271384","0.0-3.0-1.70","../audio/55-2-masc.mp3"," ","","insulto","","","",""
"","4040","audio-keyboard-response","102","275739","0.0-3.0-1.71","../audio/55-3-masc.mp3"," ","","recente","","","",""
"","2411","audio-keyboard-response","103","278442","0.0-3.0-1.72","../audio/55-4-masc.mp3"," ","","causou","","","",""
"","2901","audio-keyboard-response","104","281653","0.0-3.0-1.73","../audio/55-5-masc.mp3"," ","","indignação","","","",""
"","1411","audio-keyboard-response","105","283367","0.0-3.0-1.74","../audio/55-6-masc.mp3"," ","","em","","","",""
"","1560","audio-keyboard-response","106","285219","0.0-3.0-1.75","../audio/55-7-masc.mp3"," ","","todos.","","","",""
"","12703","html-keyboard-response","107","298177","0.0-3.0-2.75-0.75","<span style=""font-size:25px; font-family: monospace"">O insulto causou calmaria?</span>","n","","","O insulto causou calmaria?","null","exp-sent","false"
"","null","html-keyboard-response","108","299698","0.0-3.0-0.76-0.76","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4539","audio-keyboard-response","109","304538","0.0-3.0-1.76","../audio/46-1-fem.mp3"," ","","Meu","","","",""
"","1019","audio-keyboard-response","110","305867","0.0-3.0-1.77","../audio/46-2-fem.mp3"," ","","primo","","","",""
"","1112","audio-keyboard-response","111","307289","0.0-3.0-1.78","../audio/46-3-fem.mp3"," ","","estava","","","",""
"","1072","audio-keyboard-response","112","308655","0.0-3.0-1.79","../audio/46-4-fem.mp3"," ","","muito","","","",""
"","1960","audio-keyboard-response","113","310913","0.0-3.0-1.80","../audio/46-5-fem.mp3"," ","","deprimido","","","",""
"","1131","audio-keyboard-response","114","312333","0.0-3.0-1.81","../audio/46-6-fem.mp3"," ","","no","","","",""
"","1909","audio-keyboard-response","115","314539","0.0-3.0-1.82","../audio/46-7-fem.mp3"," ","","inverno.","","","",""
"","null","html-keyboard-response","116","315798","0.0-3.0-0.83-0.83","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1491","audio-keyboard-response","117","317573","0.0-3.0-1.83","../audio/47-1-fem.mp3"," ","","O","","","",""
"","979","audio-keyboard-response","118","318831","0.0-3.0-1.84","../audio/47-2-fem.mp3"," ","","tio","","","",""
"","1168","audio-keyboard-response","119","320301","0.0-3.0-1.85","../audio/47-3-fem.mp3"," ","","recusou","","","",""
"","1051","audio-keyboard-response","120","321632","0.0-3.0-1.86","../audio/47-4-fem.mp3"," ","","a","","","",""
"","1848","audio-keyboard-response","121","323780","0.0-3.0-1.87","../audio/47-5-fem.mp3"," ","","sobremesa","","","",""
"","1149","audio-keyboard-response","122","325232","0.0-3.0-1.88","../audio/47-6-fem.mp3"," ","","no","","","",""
"","1709","audio-keyboard-response","123","327247","0.0-3.0-1.89","../audio/47-7-fem.mp3"," ","","almoço.","","","",""
"","null","html-keyboard-response","124","328519","0.0-3.0-0.90-0.90","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1091","audio-keyboard-response","125","329911","0.0-3.0-1.90","../audio/48-1-fem.mp3"," ","","Ela","","","",""
"","909","audio-keyboard-response","126","331122","0.0-3.0-1.91","../audio/48-2-fem.mp3"," ","","come","","","",""
"","829","audio-keyboard-response","127","332427","0.0-3.0-1.92","../audio/48-3-fem.mp3"," ","","feijão","","","",""
"","1029","audio-keyboard-response","128","333780","0.0-3.0-1.93","../audio/48-4-fem.mp3"," ","","com","","","",""
"","989","audio-keyboard-response","129","335064","0.0-3.0-1.94","../audio/48-5-fem.mp3"," ","","arroz","","","",""
"","949","audio-keyboard-response","130","336301","0.0-3.0-1.95","../audio/48-6-fem.mp3"," ","","todos","","","",""
"","960","audio-keyboard-response","131","337563","0.0-3.0-1.96","../audio/48-7-fem.mp3"," ","","os","","","",""
"","3251","audio-keyboard-response","132","341120","0.0-3.0-1.97","../audio/48-8-fem.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","133","342378","0.0-3.0-0.98-0.98","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1019","audio-keyboard-response","134","343715","0.0-3.0-1.98","../audio/49-1-masc.mp3"," ","","Eu","","","",""
"","920","audio-keyboard-response","135","344935","0.0-3.0-1.99","../audio/49-2-masc.mp3"," ","","quero","","","",""
"","880","audio-keyboard-response","136","346106","0.0-3.0-1.100","../audio/49-3-masc.mp3"," ","","um","","","",""
"","979","audio-keyboard-response","137","347389","0.0-3.0-1.101","../audio/49-4-masc.mp3"," ","","lanche","","","",""
"","1299","audio-keyboard-response","138","348991","0.0-3.0-1.102","../audio/49-5-masc.mp3"," ","","duplo","","","",""
"","1051","audio-keyboard-response","139","350334","0.0-3.0-1.103","../audio/49-6-masc.mp3"," ","","e","","","",""
"","931","audio-keyboard-response","140","351566","0.0-3.0-1.104","../audio/49-7-masc.mp3"," ","","um","","","",""
"","1688","audio-keyboard-response","141","353546","0.0-3.0-1.105","../audio/49-8-masc.mp3"," ","","suco.","","","",""
"","null","html-keyboard-response","142","354813","0.0-3.0-0.106-0.106","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1219","audio-keyboard-response","143","356325","0.0-3.0-1.106","../audio/50-1-fem.mp3"," ","","O","","","",""
"","1579","audio-keyboard-response","144","358204","0.0-3.0-1.107","../audio/50-2-fem.mp3"," ","","pássaro","","","",""
"","1099","audio-keyboard-response","145","359598","0.0-3.0-1.108","../audio/50-3-fem.mp3"," ","","fugiu","","","",""
"","1040","audio-keyboard-response","146","360927","0.0-3.0-1.109","../audio/50-4-fem.mp3"," ","","da","","","",""
"","1400","audio-keyboard-response","147","362636","0.0-3.0-1.110","../audio/50-5-fem.mp3"," ","","gaiola","","","",""
"","1080","audio-keyboard-response","148","364015","0.0-3.0-1.111","../audio/50-6-fem.mp3"," ","","pela","","","",""
"","2211","audio-keyboard-response","149","366535","0.0-3.0-1.112","../audio/50-7-fem.mp3"," ","","portinhola.","","","",""
"","4849","html-keyboard-response","150","371648","0.0-3.0-2.112-0.112","<span style=""font-size:25px; font-family: monospace"">O pássaro fugiu da gaiola?</span>","s","","","O pássaro fugiu da gaiola?","null","exp-sent","false"
"","null","html-keyboard-response","151","373159","0.0-3.0-0.113-0.113","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1392","audio-keyboard-response","152","374857","0.0-3.0-1.113","../audio/73-1-fem.mp3"," ","","O","","","",""
"","1531","audio-keyboard-response","153","376692","0.0-3.0-1.114","../audio/73-2-fem.mp3"," ","","cliente","","","",""
"","2040","audio-keyboard-response","154","379020","0.0-3.0-1.115","../audio/73-3-fem.mp3"," ","","era","","","",""
"","1211","audio-keyboard-response","155","380530","0.0-3.0-1.116","../audio/73-4-fem.mp3"," ","","um","","","",""
"","2440","audio-keyboard-response","156","383276","0.0-3.0-1.117","../audio/73-5-fem.mp3"," ","","homem","","","",""
"","2560","audio-keyboard-response","157","386147","0.0-3.0-1.118","../audio/73-6-fem.mp3"," ","","muito","","","",""
"","3560","audio-keyboard-response","158","390024","0.0-3.0-1.119","../audio/73-7-fem.mp3"," ","","educado.","","","",""
"","null","html-keyboard-response","159","391288","0.0-3.0-0.120-0.120","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2400","audio-keyboard-response","160","393986","0.0-3.0-1.120","../audio/74-1-fem.mp3"," ","","Este","","","",""
"","1829","audio-keyboard-response","161","396127","0.0-3.0-1.121","../audio/74-2-fem.mp3"," ","","emprego","","","",""
"","1160","audio-keyboard-response","162","397577","0.0-3.0-1.122","../audio/74-3-fem.mp3"," ","","é","","","",""
"","1219","audio-keyboard-response","163","399080","0.0-3.0-1.123","../audio/74-4-fem.mp3"," ","","muito","","","",""
"","1920","audio-keyboard-response","164","401308","0.0-3.0-1.124","../audio/74-5-fem.mp3"," ","","cansativo","","","",""
"","1211","audio-keyboard-response","165","402813","0.0-3.0-1.125","../audio/74-6-fem.mp3"," ","","a","","","",""
"","1349","audio-keyboard-response","166","404455","0.0-3.0-1.126","../audio/74-7-fem.mp3"," ","","longo","","","",""
"","1211","audio-keyboard-response","167","405976","0.0-3.0-1.127","../audio/74-8-fem.mp3"," ","","prazo.","","","",""
"","null","html-keyboard-response","168","407246","0.0-3.0-0.128-0.128","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1101","audio-keyboard-response","169","408657","0.0-3.0-1.128","../audio/72-1-masc.mp3"," ","","A","","","",""
"","1669","audio-keyboard-response","170","410633","0.0-3.0-1.129","../audio/72-2-masc.mp3"," ","","vencedora","","","",""
"","1221","audio-keyboard-response","171","412141","0.0-3.0-1.130","../audio/72-3-masc.mp3"," ","","recebeu","","","",""
"","891","audio-keyboard-response","172","413320","0.0-3.0-1.131","../audio/72-4-masc.mp3"," ","","um","","","",""
"","1051","audio-keyboard-response","173","414820","0.0-3.0-1.132","../audio/72-5-masc.mp3"," ","","prêmio","","","",""
"","920","audio-keyboard-response","174","416034","0.0-3.0-1.133","../audio/72-6-masc.mp3"," ","","em","","","",""
"","1469","audio-keyboard-response","175","417796","0.0-3.0-1.134","../audio/72-7-masc.mp3"," ","","dinheiro.","","","",""
"","null","html-keyboard-response","176","419056","0.0-3.0-0.135-0.135","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2069","audio-keyboard-response","177","421429","0.0-3.0-1.135","../audio/71-1-fem.mp3"," ","","Minhas","","","",""
"","1141","audio-keyboard-response","178","423453","0.0-3.0-1.136","../audio/71-2-fem.mp3"," ","","comidas","","","",""
"","1371","audio-keyboard-response","179","425281","0.0-3.0-1.137","../audio/71-3-fem.mp3"," ","","favoritas","","","",""
"","989","audio-keyboard-response","180","426558","0.0-3.0-1.138","../audio/71-4-fem.mp3"," ","","são","","","",""
"","1240","audio-keyboard-response","181","428106","0.0-3.0-1.139","../audio/71-5-fem.mp3"," ","","morango","","","",""
"","981","audio-keyboard-response","182","429377","0.0-3.0-1.140","../audio/71-6-fem.mp3"," ","","e","","","",""
"","2531","audio-keyboard-response","183","432203","0.0-3.0-1.141","../audio/71-7-fem.mp3"," ","","uva.","","","",""
"","null","html-keyboard-response","184","433458","0.0-3.0-0.142-0.142","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1621","audio-keyboard-response","185","435372","0.0-3.0-1.142","../audio/75-1-fem.mp3"," ","","Só","","","",""
"","1760","audio-keyboard-response","186","437435","0.0-3.0-1.143","../audio/75-2-fem.mp3"," ","","existe","","","",""
"","1051","audio-keyboard-response","187","438759","0.0-3.0-1.144","../audio/75-3-fem.mp3"," ","","uma","","","",""
"","979","audio-keyboard-response","188","440079","0.0-3.0-1.145","../audio/75-4-fem.mp3"," ","","pessoa","","","",""
"","1499","audio-keyboard-response","189","441877","0.0-3.0-1.146","../audio/75-5-fem.mp3"," ","","canhota","","","",""
"","1120","audio-keyboard-response","190","443298","0.0-3.0-1.147","../audio/75-6-fem.mp3"," ","","nesta","","","",""
"","1541","audio-keyboard-response","191","445137","0.0-3.0-1.148","../audio/75-7-fem.mp3"," ","","cidade.","","","",""
"","7085","html-keyboard-response","192","452482","0.0-3.0-2.148-0.148","<span style=""font-size:25px; font-family: monospace"">Só existe uma pessoa canhota na cidade?</span>","s","","","Só existe uma pessoa canhota na cidade?","null","exp-sent","false"
"","null","html-keyboard-response","193","453997","0.0-3.0-0.149-0.149","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1880","audio-keyboard-response","194","456179","0.0-3.0-1.149","../audio/58-1-fem.mp3"," ","","Havia","","","",""
"","1160","audio-keyboard-response","195","457649","0.0-3.0-1.150","../audio/58-2-fem.mp3"," ","","apenas","","","",""
"","1349","audio-keyboard-response","196","459291","0.0-3.0-1.151","../audio/58-3-fem.mp3"," ","","um","","","",""
"","1629","audio-keyboard-response","197","461211","0.0-3.0-1.152","../audio/58-4-fem.mp3"," ","","último","","","",""
