"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":90644}]","90648","instructions","0","90650","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","91265","0.0-1.0-0.0","+","null","","","","","",""
"","4043","html-keyboard-response","2","95312","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","95820","0.0-1.0-0.1","+","null","","","","","",""
"","5652","html-keyboard-response","4","101474","0.0-1.0-1.1","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","101983","0.0-1.0-0.2","+","null","","","","","",""
"","2445","html-keyboard-response","6","104430","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","104940","0.0-1.0-0.3","+","null","","","","","",""
"","2411","html-keyboard-response","8","107354","0.0-1.0-1.3","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","107858","0.0-1.0-0.4","+","null","","","","","",""
"","3872","html-keyboard-response","10","111732","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","112245","0.0-1.0-0.5","+","null","","","","","",""
"","3677","html-keyboard-response","12","115924","0.0-1.0-1.5","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","116429","0.0-1.0-0.6","+","null","","","","","",""
"","3464","html-keyboard-response","14","119895","0.0-1.0-1.6","chassi","n","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":26674}]","26676","instructions","15","146575","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","147187","0.0-3.0-0.0","+","null","","","","","",""
"","2173","html-keyboard-response","17","149363","0.0-3.0-1.0","dipata","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","149867","0.0-3.0-0.1","+","null","","","","","",""
"","1912","html-keyboard-response","19","151781","0.0-3.0-1.1","salpicado","n","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","20","152290","0.0-3.0-0.2","+","null","","","","","",""
"","1313","html-keyboard-response","21","153607","0.0-3.0-1.2","papai","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","22","154111","0.0-3.0-0.3","+","null","","","","","",""
"","2012","html-keyboard-response","23","156126","0.0-3.0-1.3","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","24","156635","0.0-3.0-0.4","+","null","","","","","",""
"","2191","html-keyboard-response","25","158830","0.0-3.0-1.4","rédesa","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","159336","0.0-3.0-0.5","+","null","","","","","",""
"","1198","html-keyboard-response","27","160538","0.0-3.0-1.5","esperar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","28","161046","0.0-3.0-0.6","+","null","","","","","",""
"","1393","html-keyboard-response","29","162442","0.0-3.0-1.6","chato","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","30","162948","0.0-3.0-0.7","+","null","","","","","",""
"","1778","html-keyboard-response","31","164730","0.0-3.0-1.7","enxarto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","165238","0.0-3.0-0.8","+","null","","","","","",""
"","1621","html-keyboard-response","33","166863","0.0-3.0-1.8","revear","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","167368","0.0-3.0-0.9","+","null","","","","","",""
"","1951","html-keyboard-response","35","169323","0.0-3.0-1.9","ronronar","n","v","cog","word","S","exp","8"
"","null","html-keyboard-response","36","169831","0.0-3.0-0.10","+","null","","","","","",""
"","1108","html-keyboard-response","37","170943","0.0-3.0-1.10","viver","s","v","cog","word","S","exp","5"
"","null","html-keyboard-response","38","171452","0.0-3.0-0.11","+","null","","","","","",""
"","1123","html-keyboard-response","39","172579","0.0-3.0-1.11","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","40","173083","0.0-3.0-0.12","+","null","","","","","",""
"","1587","html-keyboard-response","41","174674","0.0-3.0-1.12","costra","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","175180","0.0-3.0-0.13","+","null","","","","","",""
"","1405","html-keyboard-response","43","176589","0.0-3.0-1.13","árovre","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","177094","0.0-3.0-0.14","+","null","","","","","",""
"","1461","html-keyboard-response","45","178559","0.0-3.0-1.14","delirar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","46","179068","0.0-3.0-0.15","+","null","","","","","",""
"","1134","html-keyboard-response","47","180206","0.0-3.0-1.15","civil","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","48","180716","0.0-3.0-0.16","+","null","","","","","",""
"","2073","html-keyboard-response","49","182792","0.0-3.0-1.16","crolatário","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","183301","0.0-3.0-0.17","+","null","","","","","",""
"","1278","html-keyboard-response","51","184583","0.0-3.0-1.17","revista","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","52","185093","0.0-3.0-0.18","+","null","","","","","",""
"","1509","html-keyboard-response","53","186606","0.0-3.0-1.18","selir","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","187113","0.0-3.0-0.19","+","null","","","","","",""
"","1494","html-keyboard-response","55","188611","0.0-3.0-1.19","gilha","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","189116","0.0-3.0-0.20","+","null","","","","","",""
"","2018","html-keyboard-response","57","191139","0.0-3.0-1.20","aletiê","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","191646","0.0-3.0-0.21","+","null","","","","","",""
"","1260","html-keyboard-response","59","192910","0.0-3.0-1.21","alfabeto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","60","193416","0.0-3.0-0.22","+","null","","","","","",""
"","1394","html-keyboard-response","61","194815","0.0-3.0-1.22","cápsula","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","62","195324","0.0-3.0-0.23","+","null","","","","","",""
"","1330","html-keyboard-response","63","196658","0.0-3.0-1.23","motros","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","197173","0.0-3.0-0.24","+","null","","","","","",""
"","1826","html-keyboard-response","65","199003","0.0-3.0-1.24","macras","s","null","noncog","pseudo","N","exp","null"
