"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":17195}]","17196","instructions","0","17197","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","17802","0.0-1.0-0.0","+","null","","","","","",""
"","2216","html-keyboard-response","2","20021","0.0-1.0-1.0","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","20523","0.0-1.0-0.1","+","null","","","","","",""
"","1098","html-keyboard-response","4","21623","0.0-1.0-1.1","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","22126","0.0-1.0-0.2","+","null","","","","","",""
"","1026","html-keyboard-response","6","23154","0.0-1.0-1.2","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","23656","0.0-1.0-0.3","+","null","","","","","",""
"","1301","html-keyboard-response","8","24958","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","25461","0.0-1.0-0.4","+","null","","","","","",""
"","1236","html-keyboard-response","10","26698","0.0-1.0-1.4","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","27201","0.0-1.0-0.5","+","null","","","","","",""
"","1645","html-keyboard-response","12","28848","0.0-1.0-1.5","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","29351","0.0-1.0-0.6","+","null","","","","","",""
"","1341","html-keyboard-response","14","30694","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":10269}]","10269","instructions","15","40964","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","41568","0.0-3.0-0.0","+","null","","","","","",""
"","1040","html-keyboard-response","17","42610","0.0-3.0-1.0","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","18","43113","0.0-3.0-0.1","+","null","","","","","",""
"","858","html-keyboard-response","19","43973","0.0-3.0-1.1","areia","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","20","44476","0.0-3.0-0.2","+","null","","","","","",""
"","1764","html-keyboard-response","21","46241","0.0-3.0-1.2","dacada","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","46744","0.0-3.0-0.3","+","null","","","","","",""
"","1202","html-keyboard-response","23","47948","0.0-3.0-1.3","ejerro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","48451","0.0-3.0-0.4","+","null","","","","","",""
"","753","html-keyboard-response","25","49207","0.0-3.0-1.4","trair","s","v","cog","word","S","exp","5"
"","null","html-keyboard-response","26","49709","0.0-3.0-0.5","+","null","","","","","",""
"","907","html-keyboard-response","27","50618","0.0-3.0-1.5","arranjar","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","28","51121","0.0-3.0-0.6","+","null","","","","","",""
"","906","html-keyboard-response","29","52028","0.0-3.0-1.6","parceter","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","52531","0.0-3.0-0.7","+","null","","","","","",""
"","713","html-keyboard-response","31","53245","0.0-3.0-1.7","refletir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","32","53747","0.0-3.0-0.8","+","null","","","","","",""
"","714","html-keyboard-response","33","54462","0.0-3.0-1.8","adoçar","s","v","noncog","word","S","exp","6"
