"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":13654},{""page_index"":1,""viewing_time"":585731}]","599386","instructions","0","599388","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","600496","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","0","audio-keyboard-response","2","607624","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1852","audio-keyboard-response","3","609893","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1013","audio-keyboard-response","4","611294","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","865","audio-keyboard-response","5","612458","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","633","audio-keyboard-response","6","613396","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","717","audio-keyboard-response","7","614418","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","691","audio-keyboard-response","8","615401","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","616654","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","618","audio-keyboard-response","10","617638","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","673","audio-keyboard-response","11","618646","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1251","audio-keyboard-response","12","620205","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1039","audio-keyboard-response","13","621536","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","807","audio-keyboard-response","14","622637","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","940","audio-keyboard-response","15","623874","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","897","audio-keyboard-response","16","625074","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1152","audio-keyboard-response","17","626556","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","3581","html-keyboard-response","18","630391","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":3369}]","3369","instructions","19","634262","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","635366","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1222","audio-keyboard-response","21","636942","0.0-3.0-1.0","../audio/24-1-masc.mp3"," ","","As","","","",""
"","978","audio-keyboard-response","22","638256","0.0-3.0-1.1","../audio/24-2-masc.mp3"," ","","crianças","","","",""
"","740","audio-keyboard-response","23","639294","0.0-3.0-1.2","../audio/24-3-masc.mp3"," ","","vão","","","",""
"","705","audio-keyboard-response","24","640290","0.0-3.0-1.3","../audio/24-4-masc.mp3"," ","","ao","","","",""
"","955","audio-keyboard-response","25","641566","0.0-3.0-1.4","../audio/24-5-masc.mp3"," ","","cinema","","","",""
"","787","audio-keyboard-response","26","642639","0.0-3.0-1.5","../audio/24-6-masc.mp3"," ","","mais","","","",""
"","1657","audio-keyboard-response","27","644598","0.0-3.0-1.6","../audio/24-7-masc.mp3"," ","","tarde.","","","",""
"","null","html-keyboard-response","28","645852","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1042","audio-keyboard-response","29","647284","0.0-3.0-1.7","../audio/21-1-masc.mp3"," ","","Precisamos","","","",""
"","627","audio-keyboard-response","30","648202","0.0-3.0-1.8","../audio/21-2-masc.mp3"," ","","de","","","",""
"","926","audio-keyboard-response","31","649430","0.0-3.0-1.9","../audio/21-3-masc.mp3"," ","","paciência","","","",""
"","702","audio-keyboard-response","32","650428","0.0-3.0-1.10","../audio/21-4-masc.mp3"," ","","e","","","",""
"","1135","audio-keyboard-response","33","651878","0.0-3.0-1.11","../audio/21-5-masc.mp3"," ","","bondade","","","",""
"","644","audio-keyboard-response","34","652821","0.0-3.0-1.12","../audio/21-6-masc.mp3"," ","","para","","","",""
"","630","audio-keyboard-response","35","653761","0.0-3.0-1.13","../audio/21-7-masc.mp3"," ","","um","","","",""
"","871","audio-keyboard-response","36","654936","0.0-3.0-1.14","../audio/21-8-masc.mp3"," ","","mundo","","","",""
"","2159","audio-keyboard-response","37","657398","0.0-3.0-1.15","../audio/21-9-masc.mp3"," ","","melhor.","","","",""
"","null","html-keyboard-response","38","658652","0.0-3.0-0.16-0.16","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1146","audio-keyboard-response","39","660167","0.0-3.0-1.16","../audio/23-1-fem.mp3"," ","","Português","","","",""
"","726","audio-keyboard-response","40","661184","0.0-3.0-1.17","../audio/23-2-fem.mp3"," ","","é","","","",""
"","612","audio-keyboard-response","41","662092","0.0-3.0-1.18","../audio/23-3-fem.mp3"," ","","um","","","",""
"","932","audio-keyboard-response","42","663336","0.0-3.0-1.19","../audio/23-4-fem.mp3"," ","","assunto","","","",""
"","1283","audio-keyboard-response","43","664928","0.0-3.0-1.20","../audio/23-5-fem.mp3"," ","","elementar","","","",""
"","714","audio-keyboard-response","44","665958","0.0-3.0-1.21","../audio/23-6-fem.mp3"," ","","para","","","",""
