"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":12417}]","12418","instructions","0","12418","0.0-0.0","","","",""
"","null","html-keyboard-response","1","13024","0.0-1.0-0.0","+","null","",""
"","3410","audio-keyboard-response","2","16551","0.0-1.0-1.0","../audio/teste-vocab--95.mp3","s","submergir","plonje"
"","null","html-keyboard-response","3","17054","0.0-1.0-0.1","+","null","",""
"","2563","audio-keyboard-response","4","19783","0.0-1.0-1.1","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","5","20286","0.0-1.0-0.2","+","null","",""
"","1890","audio-keyboard-response","6","22343","0.0-1.0-1.2","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","7","22846","0.0-1.0-0.3","+","null","",""
"","2882","audio-keyboard-response","8","25862","0.0-1.0-1.3","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","9","26365","0.0-1.0-0.4","+","null","",""
"","1753","audio-keyboard-response","10","28247","0.0-1.0-1.4","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","11","28751","0.0-1.0-0.5","+","null","",""
"","2035","audio-keyboard-response","12","30995","0.0-1.0-1.5","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","13","31498","0.0-1.0-0.6","+","null","",""
"","2293","audio-keyboard-response","14","33955","0.0-1.0-1.6","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","15","34457","0.0-1.0-0.7","+","null","",""
"","2032","audio-keyboard-response","16","36851","0.0-1.0-1.7","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","17","37355","0.0-1.0-0.8","+","null","",""
"","1878","audio-keyboard-response","18","39367","0.0-1.0-1.8","../audio/teste-vocab--76.mp3","s","arquivar","achive"
"","null","html-keyboard-response","19","39870","0.0-1.0-0.9","+","null","",""
"","1675","audio-keyboard-response","20","41670","0.0-1.0-1.9","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","21","42173","0.0-1.0-0.10","+","null","",""
"","2331","audio-keyboard-response","22","44722","0.0-1.0-1.10","../audio/teste-vocab--74.mp3","s","desilusão","dezilizyon"
"","null","html-keyboard-response","23","45224","0.0-1.0-0.11","+","null","",""
"","1800","audio-keyboard-response","24","47193","0.0-1.0-1.11","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","25","47696","0.0-1.0-0.12","+","null","",""
"","1802","audio-keyboard-response","26","49643","0.0-1.0-1.12","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","27","50146","0.0-1.0-0.13","+","null","",""
"","1924","audio-keyboard-response","28","52316","0.0-1.0-1.13","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","29","52818","0.0-1.0-0.14","+","null","",""
"","2188","audio-keyboard-response","30","55152","0.0-1.0-1.14","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","31","55656","0.0-1.0-0.15","+","null","",""
"","2397","audio-keyboard-response","32","58206","0.0-1.0-1.15","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","33","58708","0.0-1.0-0.16","+","null","",""
"","1622","audio-keyboard-response","34","60464","0.0-1.0-1.16","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","35","60966","0.0-1.0-0.17","+","null","",""
"","2371","audio-keyboard-response","36","63478","0.0-1.0-1.17","../audio/teste-vocab--68.mp3","s","surpreendido","sezi"
"","null","html-keyboard-response","37","63981","0.0-1.0-0.18","+","null","",""
"","1579","audio-keyboard-response","38","65687","0.0-1.0-1.18","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","39","66190","0.0-1.0-0.19","+","null","",""
"","1950","audio-keyboard-response","40","68304","0.0-1.0-1.19","../audio/teste-vocab--40.mp3","s","bebida","bwason"
"","null","html-keyboard-response","41","68807","0.0-1.0-0.20","+","null","",""
"","1782","audio-keyboard-response","42","70720","0.0-1.0-1.20","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","43","71224","0.0-1.0-0.21","+","null","",""
"","1393","audio-keyboard-response","44","72765","0.0-1.0-1.21","../audio/teste-vocab--73.mp3","s","ângulo","ang"
"","null","html-keyboard-response","45","73268","0.0-1.0-0.22","+","null","",""
"","1416","audio-keyboard-response","46","74751","0.0-1.0-1.22","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","47","75254","0.0-1.0-0.23","+","null","",""
"","1805","audio-keyboard-response","48","77158","0.0-1.0-1.23","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","49","77661","0.0-1.0-0.24","+","null","",""
"","1518","audio-keyboard-response","50","79325","0.0-1.0-1.24","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","51","79827","0.0-1.0-0.25","+","null","",""
"","1596","audio-keyboard-response","52","81570","0.0-1.0-1.25","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","53","82073","0.0-1.0-0.26","+","null","",""
"","2119","audio-keyboard-response","54","84344","0.0-1.0-1.26","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","55","84847","0.0-1.0-0.27","+","null","",""
"","2470","audio-keyboard-response","56","87517","0.0-1.0-1.27","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","57","88019","0.0-1.0-0.28","+","null","",""
"","1753","audio-keyboard-response","58","89919","0.0-1.0-1.28","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","59","90422","0.0-1.0-0.29","+","null","",""
"","2273","audio-keyboard-response","60","92817","0.0-1.0-1.29","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","61","93320","0.0-1.0-0.30","+","null","",""
"","1527","audio-keyboard-response","62","95001","0.0-1.0-1.30","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","63","95504","0.0-1.0-0.31","+","null","",""
"","1332","audio-keyboard-response","64","96999","0.0-1.0-1.31","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","65","97501","0.0-1.0-0.32","+","null","",""
"","2252","audio-keyboard-response","66","99823","0.0-1.0-1.32","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","67","100326","0.0-1.0-0.33","+","null","",""
"","1521","audio-keyboard-response","68","102261","0.0-1.0-1.33","../audio/teste-vocab--21.mp3","s","baleia","balèn"
"","null","html-keyboard-response","69","102764","0.0-1.0-0.34","+","null","",""
"","1814","audio-keyboard-response","70","104763","0.0-1.0-1.34","../audio/teste-vocab--83.mp3","s","morsa","mòs"
"","null","html-keyboard-response","71","105266","0.0-1.0-0.35","+","null","",""
"","2400","audio-keyboard-response","72","107856","0.0-1.0-1.35","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","73","108359","0.0-1.0-0.36","+","null","",""
"","2058","audio-keyboard-response","74","111077","0.0-1.0-1.36","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","75","111580","0.0-1.0-0.37","+","null","",""
"","2235","audio-keyboard-response","76","113975","0.0-1.0-1.37","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","77","114477","0.0-1.0-0.38","+","null","",""
"","1759","audio-keyboard-response","78","117505","0.0-1.0-1.38","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","79","118008","0.0-1.0-0.39","+","null","",""
"","1829","audio-keyboard-response","80","120013","0.0-1.0-1.39","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","81","120516","0.0-1.0-0.40","+","null","",""
"","1329","audio-keyboard-response","82","121973","0.0-1.0-1.40","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","83","122476","0.0-1.0-0.41","+","null","",""
"","1982","audio-keyboard-response","84","124542","0.0-1.0-1.41","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","85","125045","0.0-1.0-0.42","+","null","",""
"","1765","audio-keyboard-response","86","126973","0.0-1.0-1.42","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","87","127477","0.0-1.0-0.43","+","null","",""
"","1715","audio-keyboard-response","88","129311","0.0-1.0-1.43","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","89","129813","0.0-1.0-0.44","+","null","",""
"","1608","audio-keyboard-response","90","131540","0.0-1.0-1.44","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","91","132042","0.0-1.0-0.45","+","null","",""
"","2450","audio-keyboard-response","92","134656","0.0-1.0-1.45","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","93","135159","0.0-1.0-0.46","+","null","",""
"","1750","audio-keyboard-response","94","137053","0.0-1.0-1.46","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","95","137555","0.0-1.0-0.47","+","null","",""
"","2177","audio-keyboard-response","96","139970","0.0-1.0-1.47","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","97","140473","0.0-1.0-0.48","+","null","",""
"","2496","audio-keyboard-response","98","143220","0.0-1.0-1.48","../audio/teste-vocab--52.mp3","s","construção","konstriksyon"
"","null","html-keyboard-response","99","143723","0.0-1.0-0.49","+","null","",""
"","1939","audio-keyboard-response","100","145845","0.0-1.0-1.49","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","101","146348","0.0-1.0-0.50","+","null","",""
"","2464","audio-keyboard-response","102","148972","0.0-1.0-1.50","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","103","149474","0.0-1.0-0.51","+","null","",""
"","2249","audio-keyboard-response","104","151864","0.0-1.0-1.51","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","105","152367","0.0-1.0-0.52","+","null","",""
"","3291","audio-keyboard-response","106","155831","0.0-1.0-1.52","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","107","156334","0.0-1.0-0.53","+","null","",""
"","2136","audio-keyboard-response","108","158624","0.0-1.0-1.53","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","109","159126","0.0-1.0-0.54","+","null","",""
