"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":136595}]","136595","instructions","0","136596","0.0-0.0","",""
"","5389","survey-text","1","142089","0.0-1.0","{""age"":""24""}",""
"","2689","survey-multi-choice","2","144882","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","17647","survey-multi-choice","3","162633","0.0-3.0","{""own_schooling"":""Outro""}","[0]"
"","4848","survey-multi-choice","4","167583","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","5179","survey-multi-choice","5","172865","0.0-5.0","{""father_schooling"":""Ensino Médio completo""}","[0]"
"","115063","survey-html-form","6","288032","0.0-6.0","{""language_0"":""Crioulo"",""listening_0"":""0"",""speaking_0"":""+- 1"",""reading_0"":""4"",""writing_0"":""4"",""language_1"":""Francês"",""listening_1"":""0"",""speaking_1"":""+- 1"",""reading_1"":""4"",""writing_1"":""4"",""language_2"":""Português"",""listening_2"":""19"",""speaking_2"":""19"",""reading_2"":""19"",""writing_2"":""19"",""language_3"":""Inglês"",""listening_3"":""11"",""speaking_3"":""12"",""reading_3"":""12"",""writing_3"":""12""}",""
"","98885","survey-html-form","7","387020","0.0-7.0","{""language_3"":""Português"",""listening_3"":""6 meses"",""speaking_3"":""6 meses"",""reading_3"":""6 meses"",""writing_3"":""6 meses"",""language_1"":""Francês"",""listening_1"":""0"",""speaking_1"":""1"",""reading_1"":""1"",""writing_1"":""1"",""language_2"":""Inglês"",""listening_2"":""1"",""speaking_2"":""1"",""reading_2"":""1"",""writing_2"":""1""}",""
"","12763","survey-text","8","399886","0.0-8.0","{""country_of_origin"":""República do Haiti""}",""
"","11381","survey-text","9","411371","0.0-9.0","{""country_of_residence"":""República do Brasil""}",""
"","56747","survey-html-form","10","468222","0.0-10.0","{""country_0"":""Canadá"",""duration_0"":""6"",""language_0"":""Francês"",""frequency_0"":""7"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","45898","survey-html-form","11","514222","0.0-11.0","{""language_0"":""Francês"",""context_0"":""1"",""language_1"":""Inglês"",""context_1"":""3"",""language_2"":""Português"",""context_2"":""1"",""language_3"":""Espanhol"",""context_3"":""2""}",""
"","102401","survey-html-form","12","616726","0.0-12.0","{""language_0"":""Francês"",""home_0"":""1"",""friends_0"":""3"",""school_0"":""3"",""work_0"":""12"",""computer_0"":""7"",""games_0"":""0"",""language_1"":""Inglês"",""home_1"":""10"",""friends_1"":""10"",""school_1"":""10"",""work_1"":""17"",""computer_1"":""9"",""games_1"":""0"",""language_2"":""Português"",""home_2"":""19"",""friends_2"":""19"",""school_2"":""20"",""work_2"":""20"",""computer_2"":""19"",""games_2"":""19"",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","4395","survey-likert","13","621225","0.0-13.0","{""new_languages"":6}","[0]"
"","100048","survey-html-form","14","721376","0.0-14.0","{""language_0"":""Crioulo"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""Francês"",""listen_1"":""7"",""talk_1"":""7"",""read_1"":""7"",""write_1"":""7"",""language_2"":""Português"",""listen_2"":""6"",""talk_2"":""6"",""read_2"":""7"",""write_2"":""7"",""language_3"":""Inglês"",""listen_3"":""6"",""talk_3"":""6"",""read_3"":""7"",""write_3"":""6""}",""
"","145307","survey-html-form","15","866786","0.0-15.0","{""language_0"":""Crioulo"",""tv_0"":""0"",""radio_0"":""0"",""read_fun_0"":""12"",""read_work_0"":""0"",""write_0"":""0"",""social_nets_0"":""24"",""language_1"":""Francês"",""tv_1"":""0"",""radio_1"":""0"",""read_fun_1"":""12"",""read_work_1"":""0"",""write_1"":""0"",""social_nets_1"":""24"",""language_2"":""Inglês"",""tv_2"":""0"",""radio_2"":""0"",""read_fun_2"":""12"",""read_work_2"":""15"",""write_2"":""15"",""social_nets_2"":""24"",""language_3"":""Português"",""tv_3"":""24"",""radio_3"":""24"",""read_fun_3"":""24"",""read_work_3"":""24"",""write_3"":""24"",""social_nets_3"":""24""}",""
"","107727","survey-html-form","16","974616","0.0-16.0","{""language_0"":""crioulo"",""family_0"":""24"",""friends_0"":""24"",""work_0"":""0"",""school_0"":""0"",""language_1"":""Francês"",""family_1"":""24"",""friends_1"":""24"",""work_1"":""0"",""school_1"":""0"",""language_2"":""Português"",""family_2"":""12"",""friends_2"":""12"",""work_2"":""24"",""school_2"":""24"",""language_3"":""Inglês"",""family_3"":""12"",""friends_3"":""24"",""work_3"":""0"",""school_3"":""0""}",""
"","120582","survey-html-form","17","1095301","0.0-17.0","{""language_0_0"":""Francês"",""language_0_1"":""Francês"",""language_0_2"":""Inglês"",""language_0_3"":""Inglês"",""language_1_0"":""Inglês"",""language_1_1"":""Inglês"",""language_1_2"":""Inglês"",""language_1_3"":""Inglês"",""language_2_0"":""Português"",""language_2_1"":""Português"",""language_2_2"":""Português"",""language_2_3"":""Português"",""language_3_0"":""Português"",""language_3_1"":""Português"",""language_3_2"":""Português"",""language_3_3"":""Português""}",""
"","156118","survey-html-form","18","1251522","0.0-18.0","{""language_2"":""Português"",""think_2"":""2"",""selftalk_2"":""2"",""emotions_2"":""2"",""dream_2"":""1"",""math_2"":""1"",""remember_2"":""6"",""pray_2"":""1"",""language_1"":""Francês"",""think_1"":""7"",""selftalk_1"":""7"",""emotions_1"":""3"",""dream_1"":""7"",""math_1"":""7"",""remember_1"":""7"",""pray_1"":""7"",""language_3"":""Inglês"",""think_3"":""6"",""selftalk_3"":""7"",""emotions_3"":""7"",""dream_3"":""1"",""math_3"":""1"",""remember_3"":""1"",""pray_3"":""1""}",""
"","35199","survey-multi-choice","19","1286823","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","14514","survey-text","20","1301440","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","23101","survey-text","21","1324643","0.0-21.0","{""additional_info"":""""}",""
