"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":19696}]","22455","instructions","0","22455","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","23565","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5629","audio-keyboard-response","2","29463","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3680","audio-keyboard-response","3","33430","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","3160","audio-keyboard-response","4","36902","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2669","audio-keyboard-response","5","39861","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","2861","audio-keyboard-response","6","42998","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","3371","audio-keyboard-response","7","46678","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","2499","audio-keyboard-response","8","49461","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","50724","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1992","audio-keyboard-response","10","52998","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2749","audio-keyboard-response","11","56021","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","2419","audio-keyboard-response","12","58742","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","2099","audio-keyboard-response","13","61173","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","2109","audio-keyboard-response","14","63574","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1851","audio-keyboard-response","15","65701","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1931","audio-keyboard-response","16","67909","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2669","audio-keyboard-response","17","70870","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","12066","html-keyboard-response","18","83190","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":44483}]","44483","instructions","19","128174","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","129275","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2128","audio-keyboard-response","21","131781","0.0-3.0-1.0","../audio/09-1-masc.mp3"," ","","O","","","",""
"","2088","audio-keyboard-response","22","134181","0.0-3.0-1.1","../audio/09-2-masc.mp3"," ","","rapaz","","","",""
"","2219","audio-keyboard-response","23","136709","0.0-3.0-1.2","../audio/09-3-masc.mp3"," ","","limpou","","","",""
"","3019","audio-keyboard-response","24","140021","0.0-3.0-1.3","../audio/09-4-masc.mp3"," ","","o","","","",""
"","2461","audio-keyboard-response","25","142773","0.0-3.0-1.4","../audio/09-5-masc.mp3"," ","","terreno","","","",""
"","2288","audio-keyboard-response","26","145381","0.0-3.0-1.5","../audio/09-6-masc.mp3"," ","","com","","","",""
"","2360","audio-keyboard-response","27","148021","0.0-3.0-1.6","../audio/09-7-masc.mp3"," ","","uma","","","",""
"","2941","audio-keyboard-response","28","151253","0.0-3.0-1.7","../audio/09-8-masc.mp3"," ","","pá.","","","",""
"","null","html-keyboard-response","29","152527","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2691","audio-keyboard-response","30","155525","0.0-3.0-1.8","../audio/06-1-masc.mp3"," ","","Ouvimos","","","",""
"","2379","audio-keyboard-response","31","158181","0.0-3.0-1.9","../audio/06-2-masc.mp3"," ","","a","","","",""
"","2040","audio-keyboard-response","32","160500","0.0-3.0-1.10","../audio/06-3-masc.mp3"," ","","fala","","","",""
"","1720","audio-keyboard-response","33","162517","0.0-3.0-1.11","../audio/06-4-masc.mp3"," ","","do","","","",""
"","2499","audio-keyboard-response","34","165300","0.0-3.0-1.12","../audio/06-5-masc.mp3"," ","","profeta","","","",""
"","2091","audio-keyboard-response","35","167684","0.0-3.0-1.13","../audio/06-6-masc.mp3"," ","","no","","","",""
"","2560","audio-keyboard-response","36","170548","0.0-3.0-1.14","../audio/06-7-masc.mp3"," ","","púlpito","","","",""
"","2341","audio-keyboard-response","37","173172","0.0-3.0-1.15","../audio/06-8-masc.mp3"," ","","da","","","",""
"","3571","audio-keyboard-response","38","177044","0.0-3.0-1.16","../audio/06-9-masc.mp3"," ","","igreja.","","","",""
"","null","html-keyboard-response","39","178309","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2421","audio-keyboard-response","40","181012","0.0-3.0-1.17","../audio/07-1-masc.mp3"," ","","Meu","","","",""
"","1901","audio-keyboard-response","41","183205","0.0-3.0-1.18","../audio/07-2-masc.mp3"," ","","filho","","","",""
"","1899","audio-keyboard-response","42","185380","0.0-3.0-1.19","../audio/07-3-masc.mp3"," ","","é","","","",""
"","2131","audio-keyboard-response","43","187796","0.0-3.0-1.20","../audio/07-4-masc.mp3"," ","","muito","","","",""
"","2368","audio-keyboard-response","44","190468","0.0-3.0-1.21","../audio/07-5-masc.mp3"," ","","responsável","","","",""
"","1939","audio-keyboard-response","45","192708","0.0-3.0-1.22","../audio/07-6-masc.mp3"," ","","nos","","","",""
"","3000","audio-keyboard-response","46","196004","0.0-3.0-1.23","../audio/07-7-masc.mp3"," ","","estudos.","","","",""
"","null","html-keyboard-response","47","197262","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1589","audio-keyboard-response","48","199204","0.0-3.0-1.24","../audio/08-1-fem.mp3"," ","","A","","","",""
"","1979","audio-keyboard-response","49","201476","0.0-3.0-1.25","../audio/08-2-fem.mp3"," ","","receita","","","",""
"","1520","audio-keyboard-response","50","203284","0.0-3.0-1.26","../audio/08-3-fem.mp3"," ","","pede","","","",""
"","1731","audio-keyboard-response","51","205284","0.0-3.0-1.27","../audio/08-4-fem.mp3"," ","","um","","","",""
"","1760","audio-keyboard-response","52","207332","0.0-3.0-1.28","../audio/08-5-fem.mp3"," ","","litro","","","",""
"","1981","audio-keyboard-response","53","209604","0.0-3.0-1.29","../audio/08-6-fem.mp3"," ","","de","","","",""
"","2029","audio-keyboard-response","54","211956","0.0-3.0-1.30","../audio/08-7-fem.mp3"," ","","leite","","","",""
"","2299","audio-keyboard-response","55","214548","0.0-3.0-1.31","../audio/08-8-fem.mp3"," ","","integral.","","","",""
"","null","html-keyboard-response","56","215815","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1229","audio-keyboard-response","57","217348","0.0-3.0-1.32","../audio/10-1-fem.mp3"," ","","O","","","",""
"","1989","audio-keyboard-response","58","219636","0.0-3.0-1.33","../audio/10-2-fem.mp3"," ","","pássaro","","","",""
"","2091","audio-keyboard-response","59","222004","0.0-3.0-1.34","../audio/10-3-fem.mp3"," ","","azul","","","",""
"","1888","audio-keyboard-response","60","224180","0.0-3.0-1.35","../audio/10-4-fem.mp3"," ","","estava","","","",""
"","1811","audio-keyboard-response","61","226292","0.0-3.0-1.36","../audio/10-5-fem.mp3"," ","","vivo","","","",""
"","2240","audio-keyboard-response","62","228836","0.0-3.0-1.37","../audio/10-6-fem.mp3"," ","","e","","","",""
"","1451","audio-keyboard-response","63","230564","0.0-3.0-1.38","../audio/10-7-fem.mp3"," ","","em","","","",""
"","2691","audio-keyboard-response","64","233524","0.0-3.0-1.39","../audio/10-8-fem.mp3"," ","","segurança.","","","",""
"","28034","html-keyboard-response","65","261812","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O pássaro vermelho estava em segurança?</span>","s","","","O pássaro vermelho estava em segurança?","null","exp-sent","false"
"","null","html-keyboard-response","66","263314","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","80","audio-keyboard-response","67","263668","0.0-3.0-1.40","../audio/46-1-masc.mp3"," ","","Meu","","","",""
"","3051","audio-keyboard-response","68","266996","0.0-3.0-1.41","../audio/46-2-masc.mp3"," ","","primo","","","",""
"","2341","audio-keyboard-response","69","269636","0.0-3.0-1.42","../audio/46-3-masc.mp3"," ","","estava","","","",""
"","2072","audio-keyboard-response","70","271988","0.0-3.0-1.43","../audio/46-4-masc.mp3"," ","","muito","","","",""
"","3029","audio-keyboard-response","71","275300","0.0-3.0-1.44","../audio/46-5-masc.mp3"," ","","deprimido","","","",""
"","1840","audio-keyboard-response","72","277412","0.0-3.0-1.45","../audio/46-6-masc.mp3"," ","","no","","","",""
"","2589","audio-keyboard-response","73","280292","0.0-3.0-1.46","../audio/46-7-masc.mp3"," ","","inverno.","","","",""
"","null","html-keyboard-response","74","281559","0.0-3.0-0.47-0.47","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2192","audio-keyboard-response","75","284036","0.0-3.0-1.47","../audio/47-1-masc.mp3"," ","","O","","","",""
"","2261","audio-keyboard-response","76","286596","0.0-3.0-1.48","../audio/47-2-masc.mp3"," ","","tio","","","",""
"","2600","audio-keyboard-response","77","289491","0.0-3.0-1.49","../audio/47-3-masc.mp3"," ","","recusou","","","",""
"","1451","audio-keyboard-response","78","291235","0.0-3.0-1.50","../audio/47-4-masc.mp3"," ","","a","","","",""
"","1971","audio-keyboard-response","79","293491","0.0-3.0-1.51","../audio/47-5-masc.mp3"," ","","sobremesa","","","",""
"","1571","audio-keyboard-response","80","295348","0.0-3.0-1.52","../audio/47-6-masc.mp3"," ","","no","","","",""
"","2309","audio-keyboard-response","81","297940","0.0-3.0-1.53","../audio/47-7-masc.mp3"," ","","almoço.","","","",""
"","null","html-keyboard-response","82","299202","0.0-3.0-0.54-0.54","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1859","audio-keyboard-response","83","301363","0.0-3.0-1.54","../audio/48-1-fem.mp3"," ","","Ela","","","",""
"","1901","audio-keyboard-response","84","303540","0.0-3.0-1.55","../audio/48-2-fem.mp3"," ","","come","","","",""
"","1669","audio-keyboard-response","85","305524","0.0-3.0-1.56","../audio/48-3-fem.mp3"," ","","feijão","","","",""
"","1549","audio-keyboard-response","86","307363","0.0-3.0-1.57","../audio/48-4-fem.mp3"," ","","com","","","",""
"","1789","audio-keyboard-response","87","309444","0.0-3.0-1.58","../audio/48-5-fem.mp3"," ","","arroz","","","",""
"","1661","audio-keyboard-response","88","311380","0.0-3.0-1.59","../audio/48-6-fem.mp3"," ","","todos","","","",""
"","1731","audio-keyboard-response","89","313380","0.0-3.0-1.60","../audio/48-7-fem.mp3"," ","","os","","","",""
"","1848","audio-keyboard-response","90","315524","0.0-3.0-1.61","../audio/48-8-fem.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","91","316799","0.0-3.0-0.62-0.62","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1491","audio-keyboard-response","92","318580","0.0-3.0-1.62","../audio/49-1-masc.mp3"," ","","Eu","","","",""
"","2131","audio-keyboard-response","93","320979","0.0-3.0-1.63","../audio/49-2-masc.mp3"," ","","quero","","","",""
"","1760","audio-keyboard-response","94","323028","0.0-3.0-1.64","../audio/49-3-masc.mp3"," ","","um","","","",""
"","1760","audio-keyboard-response","95","325075","0.0-3.0-1.65","../audio/49-4-masc.mp3"," ","","lanche","","","",""
"","1581","audio-keyboard-response","96","326948","0.0-3.0-1.66","../audio/49-5-masc.mp3"," ","","duplo","","","",""
"","1531","audio-keyboard-response","97","328756","0.0-3.0-1.67","../audio/49-6-masc.mp3"," ","","e","","","",""
"","1861","audio-keyboard-response","98","330916","0.0-3.0-1.68","../audio/49-7-masc.mp3"," ","","um","","","",""
"","2360","audio-keyboard-response","99","333572","0.0-3.0-1.69","../audio/49-8-masc.mp3"," ","","suco.","","","",""
"","null","html-keyboard-response","100","334843","0.0-3.0-0.70-0.70","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1680","audio-keyboard-response","101","336836","0.0-3.0-1.70","../audio/50-1-masc.mp3"," ","","O","","","",""
"","2411","audio-keyboard-response","102","339572","0.0-3.0-1.71","../audio/50-2-masc.mp3"," ","","pássaro","","","",""
"","1960","audio-keyboard-response","103","341828","0.0-3.0-1.72","../audio/50-3-masc.mp3"," ","","fugiu","","","",""
"","1872","audio-keyboard-response","104","343988","0.0-3.0-1.73","../audio/50-4-masc.mp3"," ","","da","","","",""
"","1611","audio-keyboard-response","105","345891","0.0-3.0-1.74","../audio/50-5-masc.mp3"," ","","gaiola","","","",""
