"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":35719}]","35720","instructions","0","35721","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","36323","0.0-1.0-0.0","+","null","","","","","",""
"","6013","html-keyboard-response","2","42336","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","42838","0.0-1.0-0.1","+","null","","","","","",""
"","9561","html-keyboard-response","4","52400","0.0-1.0-1.1","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","52900","0.0-1.0-0.2","+","null","","","","","",""
"","17387","html-keyboard-response","6","70288","0.0-1.0-1.2","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","70789","0.0-1.0-0.3","+","null","","","","","",""
"","9691","html-keyboard-response","8","80480","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","80981","0.0-1.0-0.4","+","null","","","","","",""
"","4810","html-keyboard-response","10","85792","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","86293","0.0-1.0-0.5","+","null","","","","","",""
"","19674","html-keyboard-response","12","105967","0.0-1.0-1.5","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","106468","0.0-1.0-0.6","+","null","","","","","",""
"","5867","html-keyboard-response","14","112335","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":23440}]","23440","instructions","15","135775","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","136381","0.0-3.0-0.0","+","null","","","","","",""
"","7538","html-keyboard-response","17","143919","0.0-3.0-1.0","espaço","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","18","144427","0.0-3.0-0.1","+","null","","","","","",""
"","10532","html-keyboard-response","19","154959","0.0-3.0-1.1","espinho","n","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","20","155461","0.0-3.0-0.2","+","null","","","","","",""
"","10043","html-keyboard-response","21","165503","0.0-3.0-1.2","pangos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","166004","0.0-3.0-0.3","+","null","","","","","",""
"","19178","html-keyboard-response","23","185183","0.0-3.0-1.3","pega-pega","n","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","24","185685","0.0-3.0-0.4","+","null","","","","","",""
"","5786","html-keyboard-response","25","191471","0.0-3.0-1.4","boreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","191972","0.0-3.0-0.5","+","null","","","","","",""
"","4730","html-keyboard-response","27","196703","0.0-3.0-1.5","aitrou","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","197204","0.0-3.0-0.6","+","null","","","","","",""
"","9706","html-keyboard-response","29","206911","0.0-3.0-1.6","rédesa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","207412","0.0-3.0-0.7","+","null","","","","","",""
"","9290","html-keyboard-response","31","216703","0.0-3.0-1.7","delirar","n","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","32","217203","0.0-3.0-0.8","+","null","","","","","",""
"","7115","html-keyboard-response","33","224318","0.0-3.0-1.8","casuas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","224819","0.0-3.0-0.9","+","null","","","","","",""
"","11146","html-keyboard-response","35","235966","0.0-3.0-1.9","morija","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","236469","0.0-3.0-0.10","+","null","","","","","",""
"","30137","html-keyboard-response","37","266607","0.0-3.0-1.10","atitro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","267108","0.0-3.0-0.11","+","null","","","","","",""
"","5882","html-keyboard-response","39","272990","0.0-3.0-1.11","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","40","273492","0.0-3.0-0.12","+","null","","","","","",""
"","23642","html-keyboard-response","41","297134","0.0-3.0-1.12","faínas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","297634","0.0-3.0-0.13","+","null","","","","","",""
"","6155","html-keyboard-response","43","303790","0.0-3.0-1.13","motros","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","304292","0.0-3.0-0.14","+","null","","","","","",""
"","4954","html-keyboard-response","45","309246","0.0-3.0-1.14","reduzir","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","46","309747","0.0-3.0-0.15","+","null","","","","","",""
"","2539","html-keyboard-response","47","312286","0.0-3.0-1.15","viver","s","v","cog","word","S","exp","5"
"","null","html-keyboard-response","48","312787","0.0-3.0-0.16","+","null","","","","","",""
"","10443","html-keyboard-response","49","323230","0.0-3.0-1.16","tela","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","50","323732","0.0-3.0-0.17","+","null","","","","","",""
"","25802","html-keyboard-response","51","349534","0.0-3.0-1.17","árovre","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","350036","0.0-3.0-0.18","+","null","","","","","",""
